"time","CNA","EAS","ECA","ENA","ESB","GIC","MED","NCA","NEAF","NEN","NEU","NWN","NWS","NZ","SAH","SAS","SAU","SCA","SEA","SEAF","TIB","WCA","WCE","WNA","WSAF"
0,0.499324563635311,-2.6108518669348,-0.624491788752225,1.72080404499258,-0.194511492461007,5.07192233270567,0.273157134875016,1.59234575378132,-0.897030987310045,-0.248245580104231,0.0096907329688801,-0.80759860322502,1.53579582593753,1.7463398375084,NA,-3.61590187982477,-0.947689666084426,-0.327221849618528,-0.78048792939512,-0.849049403586773,-1.4031100433851,0.253893608004495,0.357875900642107,0.955133901571686,0.395132941802719
100,0.533462137385265,-2.60909819571621,-0.619064397012156,1.52435582781815,-0.247774170344371,3.24621288436481,0.0512902871744582,1.00782408538695,-0.908478037483007,-0.502007609564447,0.406757392969551,-0.421257135914236,1.20453856107248,2.91667261140905,NA,-3.61590187982477,0.171761796480698,-0.449204588224315,-1.43099918957289,-1.63912708502391,-1.64522881059775,0.235569263864332,0.394472475135298,0.836792985001901,0.797388847730758
200,0.359584330385638,-2.28194754672172,-0.241529666691854,1.18471090116554,-0.171904743398912,1.08666745406529,0.0496057216375789,0.165182940841374,-0.669176422308934,-0.406554822085898,0.240248038878732,-0.304955028454217,1.7309680906097,1.47787228944736,NA,-2.70741242312278,0.26978646290405,0.00760706884684423,-1.53757882900635,-1.77792880358991,-1.47672444617724,0.19281821123591,1.00806038738821,0.506288219728894,1.2402350424163
300,0.59344689120487,-2.31140974557168,-0.489334511871001,0.903337587513655,-0.0801852635128817,-0.334448380766684,0.517948642531492,0.21689714977698,-0.597371518470773,-0.497320677877105,-0.147302999488498,-0.283683950455328,1.78768536909725,1.52591153726493,NA,-2.34095581170332,1.23580226239033,-0.417676889882043,-1.36039863084424,-1.6238829298609,-1.6284479829541,-0.462404266597811,0.743426197996186,0.655177520777812,1.43150558315634
400,0.912992723365505,-2.31405224258613,-0.465001455782504,1.08291519642783,0.147497012118188,-0.290246165144491,0.297857753621094,0.107644278004473,-0.457274087057806,-0.409010254673002,-0.00757167799456203,-0.476055543626452,1.81358062469633,1.71860117375505,NA,-2.34095581170332,1.08426789780613,-0.202029767327362,-0.698318614761029,-2.03390950172855,-2.08291881454465,-0.0958441105881878,0.359654300096941,0.794393752135634,1.28289049754014
500,1.01124865962551,-2.07713781074473,-0.281299868752707,0.947922330314523,-0.0364349470484218,-0.142035277517046,0.191715721273327,0.135423774880935,-0.490670493903557,-0.485174788528531,-0.0165564962198837,-0.560608749229118,1.80984688558187,1.08414349792854,-1.67889119126152,-2.34095581170332,-0.253750611302076,0.222613237057588,-0.982817117761628,-1.8655310788595,-1.54922429195716,0.167178014024577,0.544562055011491,0.814108871092551,1.22603121801146
600,1.24770618959745,-2.0958805287495,-0.0360047304294897,0.842696668744995,-0.222884989494962,-0.248136392057573,-0.193276112712935,0.0459401889546797,-0.39217224553915,-0.179101532297669,0.341538800902972,-0.518414495963959,1.51668934589899,0.21465855487256,-0.463162391039614,-1.14013763176408,-0.0915976384986598,-0.257840590212141,-0.813670412820752,-4.82622587499167,-1.6938587507754,-0.233829382067159,0.32165736614174,0.688809456545156,1.35109572642054
700,1.86562478665802,-2.51576195773831,-0.218738357433602,0.689994222995882,-0.259597285279778,0.0643027598888404,-0.302609811524769,-0.102788231152323,-0.370937495024237,-0.152068127646205,0.173955858734591,-0.369908307059639,1.68725384347073,0.518134559729555,-0.87512601570055,-1.00668319160343,1.09340452408453,-0.671301145177605,-0.602050532022988,-3.88348948228266,-1.84906684509777,-0.42182770794964,0.410989147711257,0.455532208363498,1.41540018100845
800,0.975517870622969,-2.21897929728261,-0.833943384743444,0.669629271796839,-0.680701343798982,-0.0467777377866206,0.021405669797979,-0.396698513807737,-0.266284474858091,-0.517349689547804,0.0471537951046295,-0.175737080342838,1.81523159376981,1.34694444653243,-1.20739946605147,-1.00668319160343,1.37569312323283,-0.454713718379123,-0.55663976915824,-3.98490798459569,-1.67462490431312,-0.179349780377416,0.297893623396767,0.677489146352894,1.54504782095774
900,0.844259817592366,-2.40391838108968,-0.681256891030737,0.796760298952636,-0.194560705044694,-0.0252678707517866,0.119421160423498,-0.538761390858636,-0.0890131775455263,-0.478427040691546,0.111331559909147,-0.294321727294736,1.75567025760697,1.36879140326241,-0.467163929396662,-1.47133223509811,0.828297321430302,-0.791700355652828,-0.475023112889221,-2.95666002313142,-2.00350382535887,0.0642099439014804,0.231882897686083,0.184807141913455,1.2679708069859
1000,0.987988692098876,-2.18938501121228,-0.9790307667631,0.844904017686806,-0.0163986190829721,0.138763344577418,-0.0525651742529051,-0.182213405299233,-0.00977538910943995,-0.286958991463079,-0.0702416110386612,-0.450906537321642,1.77438659329994,0.882584703174758,-0.920293554158278,-3.34892519962577,0.411423724035258,-0.196498215599,-0.483747644488727,-2.4711428649301,-1.81869095040011,-0.263479552137582,0.355192197419332,0.517157540553013,0.930780718411216
1100,0.613731450439932,-2.07947192463479,-0.659208011190046,0.878437116301409,0.156798008583053,-0.62580157255061,-0.106492826036463,-0.19234225327369,-0.187950201944329,-0.240684523438343,0.00796587196069309,-0.372542906592965,1.58133251706455,0.626942806895236,-1.20279820472372,-3.34892519962577,-0.246195287268898,-0.572137574851853,-0.0040899654208201,-2.28008657275905,-2.33491682700891,-0.715233859640586,0.494916414318451,0.364477301620086,1.08813278795725
1200,0.672127028478602,-2.37256513864179,-1.60022316235347,0.922371909519989,-0.0292437434543612,-0.549824880596522,0.113282370182622,-0.638449005711807,-0.187950201944329,-0.220839171634536,-0.0603065366045822,-0.659472718493116,1.42803128804618,0.631659909960945,-1.30363344615917,-3.34892519962577,-0.372493341768612,-0.906743074755172,-0.0885545095173681,-3.5728200253501,-2.18419422825004,-0.651867655585019,0.386338927220949,0.270482606110703,1.17401089140667
1300,0.714019702886413,-2.13689033893088,-1.14266277932665,1.02341719710685,0.699072771766814,-0.190359136940885,-0.0776173012436442,-0.753420927104503,-0.185937203751033,-0.0576943629487836,-0.121371653385928,-0.204462866205548,1.38127758346303,0.601756556471056,-1.41182089495035,-3.09454826501926,-1.05732971802449,-0.714785237890468,0.182157840940501,-4.51531927871829,-2.32536734964021,-0.789960247347874,0.497057354813138,0.496156220669993,1.29317553570683
1400,0.694139812032005,-2.15921851671967,-0.670079298985111,1.08224199831236,0.854497234103825,0.325003489709226,-0.0725882701132022,-0.0412849616659262,-0.217206708861697,0.0827322491659517,-0.201102063518075,0.00585955263570426,1.33090520867538,0.588337456720127,-1.20792218552336,-2.83220830761501,-1.08830970214535,-0.735028109616124,-0.218925837491858,-2.61785791599913,-2.37998089945788,-0.258734219977152,0.363463331047294,0.504223313632613,1.07592519633057
1500,0.430990063735174,-2.32993203759254,-0.434133934351504,1.23485625667169,0.967648681045157,-0.0502402091642797,-0.0753175705575894,0.0959957246340507,-0.217206708861697,0.231314479512932,0.217415852897081,0.149475712815439,1.49467454653708,0.0321449813271969,-1.23630921638612,-2.83220830761501,-0.701780270952647,-0.481532638523716,-0.303832487551086,-1.03746008198747,-1.84067222150504,-0.382566125277914,0.298894826682268,0.625717139671217,1.32620654013372
1600,0.535013844058529,-2.27260216613709,-0.209372459319362,1.08453632834035,0.790630471646046,0.243725935365788,0.00144004497960781,0.219354374769996,-0.702436884176456,0.177143354208911,0.183562164979301,0.0549406846526056,1.32388080427315,-0.359547323188584,-1.42159363399363,-2.83220830761501,-0.454708914407481,-0.593541792148644,-0.478991469928146,-1.4536721180078,-1.46615732985267,-0.28767703001737,0.236128771472811,0.56870789952893,0.949978979508576
1700,0.769431705602784,-1.91618642766827,-0.23742402245626,0.924626621485454,0.885275151266828,0.560021364868544,-0.10856199500671,-0.0464829283471123,-0.460524290526453,0.113401825356274,0.321196521607322,-0.128415839238499,1.56210680609406,-0.536155268410662,-1.42819638905508,-2.49042470936211,-1.78901048408473,-0.293843634302641,-0.136395575259261,-1.58996391693401,-1.40105357957553,-0.378758442289698,0.045557279567748,0.683938980008165,0.82969381020875
1800,1.00324045955597,-1.96883756784044,-0.107119346189299,0.896057734987902,1.22853325448729,0.632266953226045,-0.132441237612326,0.128581118493165,-0.460524290526453,0.158243273619846,0.153607133662255,0.176015021864656,1.31766253844469,0.136861372071082,-1.53998655827533,-2.15532053162072,-2.02530539340158,-0.471884464798001,0.746301742429273,-0.900307113676887,-1.32110582071361,-0.449251421083462,-0.0847641553919607,0.517151302987859,0.474119389060164
1900,1.38442212304956,-1.9392635770464,-0.125238487913918,0.98035046109946,1.34898186762008,1.5320378697025,-0.136577421909238,0.24721084616603,-0.176390570814783,0.123269078285714,-0.096305263461123,0.0391937860342943,1.11108422907328,-0.194828232880473,-1.5216896301863,-2.15532053162072,-1.91515200949172,-0.0385953739377107,0.837693718229841,-0.759211878377657,-1.25272331133442,-0.295379182142605,-0.121721278716473,0.545898302150667,0.322766103133429
2000,0.673253953803305,-2.09999107542203,0.190835720524901,1.03922578108528,1.52844629448683,0.778346282763622,0.015173811650661,-0.248065396757159,-0.069807234101167,0.00125760338474326,0.110611015766509,-0.244245038642791,1.43181141691439,-0.609735729836589,-1.61043599460436,-2.15532053162072,-1.06756855173562,-0.321411685942334,0.132480746714907,-0.588014240048515,-1.29961601294771,-0.508507412786442,0.0376276158877237,0.171879305709064,-0.00800390037445767
2100,0.683499605928473,-1.92194557062395,0.360315673873314,0.951392018895759,1.17414553422029,0.856546962934026,0.0160819980992017,-0.115142058304359,-0.150692128477925,-0.0235026892805081,0.217219522390245,-0.0400963022758952,1.49800621586399,-0.581007389412177,-1.28446743665419,-1.31067222299761,-1.08763331592996,-0.698643462688578,-0.0417253729164208,-0.362777849162843,-1.72276222706431,-0.311782684043281,0.0268310931113453,0.172864735935858,0.578285511642928
2200,0.779988500827546,-1.97451236584327,-0.0805678023490619,0.969465291223879,0.759453781744367,0.793723892673539,0.0337936152920573,-0.115524636948231,1.20102882612756,-0.128511995443559,0.0722662348734399,0.170495866948457,1.68266420237213,-0.785933753557308,-1.17892286637754,-2.19594890762302,-0.639956953804034,-0.0512938734319168,0.172597943958851,-0.163318771919465,-1.83622588007569,-0.426471255181295,-0.119756404177948,0.0951706051801103,0.394045177680293
2300,0.695458837871622,-1.96632589643997,0.189473359193175,1.00617681811054,0.770449483998236,0.519897094406363,0.0765408497175776,0.410891824268316,-0.000645195484688684,-0.108433376249849,0.0862254269135171,0.050566405021618,1.75244514988929,-0.0747896491892213,-0.912105412692308,-1.40635457816036,-0.610547135034152,-0.0888236774710315,0.735112690698723,0.0193372492612748,-2.06279323045954,0.196665156612511,-0.241447436380976,0.162973964653602,0.526630521989983
2400,0.996081923138094,-1.58389467661493,0.153109509017833,1.01164189716532,0.768616967108094,0.468728875595006,0.250999340615492,0.0653958758303763,-0.693395201265272,-0.267956606312089,-0.0213720965419948,0.161870906060032,1.84650825505751,0.141775575052567,-1.01005574243591,-1.64886649631389,-0.360307907342064,-0.0492040969455602,0.0699981191413162,-0.310228641943896,-2.20933451830999,-0.464492454611181,-0.128774081983022,0.0300607435009464,0.234047018292862
2500,0.842886140368612,-1.71432853345453,-0.0841858665944626,0.956463221769241,1.18235257933034,0.260328913224184,0.223956570506054,0.238252672881975,-0.429117695275391,-0.20070217854257,-0.262284888282994,0.297757072067178,1.67892722363889,-0.320951738552338,-1.13136146599036,-1.7582061348075,-0.459463171150679,0.0402880384607898,-0.0308409560987427,-0.807856690202911,-1.80930543341942,-0.234504301051878,-0.223380354766283,0.0803685429362633,0.0687869752512422
2600,1.05894361873184,-1.57538894559832,-0.080334208595786,0.822452678834654,1.23107462665921,0.463682557861629,-0.0821514567807352,0.321080981705178,-0.104945052412468,0.00809772003847925,-0.223841561834256,0.255845737871257,1.44032996105334,-0.594451882541389,-1.1293840127927,-1.68317233066982,-0.536952232918835,0.184364042640187,-0.0535658586906181,-0.669060793546737,-2.02484481875384,0.0298266761012122,-0.318013082713162,0.183965623555921,0.330131386609897
2700,0.867774253814899,-1.76815667801325,-0.643507630664157,0.792812344372829,0.758050888903203,-0.2830090122858,-0.0480632707286618,-0.00140624921853191,-0.613385202788956,0.24030428138927,-0.0488318971240637,0.000157205935043129,1.24810410176683,-0.469272371028928,-1.12612848919775,-1.40345736171756,-0.929204839550574,-0.114251774233028,0.0387175576301795,-0.379453164522864,-2.11926722912939,-0.147641820540061,-0.232108351036792,0.126545092788208,0.483782494620689
2800,0.700709782313942,-1.60652306284165,-0.446735125237766,0.710183113417177,0.626108952612661,-0.109788448240643,-0.375719790517876,-0.121356110758829,0.949003364645713,0.393282585170266,0.166900043869413,0.010370647272637,1.52468594904855,-0.376391655261544,-1.07235143487245,-2.12474609930735,-1.65244960145573,0.0459123557787029,-0.111898106768056,-0.203752607714982,-1.22776087793428,-0.399769294094084,-0.208189650328518,0.0845941630894838,0.41945750065802
2900,0.660987257300975,-1.35416861751914,-0.680158566069894,0.670025213892646,0.221510720900641,-0.00772217324734985,-0.274564042844112,-0.175843752119503,0.201959114354338,0.532274598656687,0.0206286027494336,0.0581712100782576,1.80594173430047,-0.304906720095912,-0.991917990535664,-2.12762040168707,-1.81349966857863,-0.439017890269636,0.032728390072143,0.460325963782847,-1.11330950133447,-0.178104875747406,-0.217570807105202,0.196077330065705,0.144704828560092
3000,0.57523591769657,-1.40741696403179,-0.40332224992259,0.599890516214576,-0.792585076932702,0.476516074909575,-0.0831611327677773,-0.176233035871909,0.922536850833886,0.326133954313895,0.0172441008937364,-0.113649030804882,1.79456461824998,-0.641104272817862,-1.28291321343382,-2.76433618539316,-0.967581514135206,-0.217448871523764,-0.183221940927842,-0.32086783346479,-0.94906374706338,-0.259800219845433,0.0943846643144514,0.379062751393092,-0.325974385244008
3100,0.730071810499204,-1.32111128574333,-0.227955429822106,0.625029481047065,-0.856481916411682,0.0656974489776932,-0.327312691428648,-0.239028221959885,0.955067995051929,0.346707053421949,0.102939195267302,-0.0662415160148201,1.69869822583377,-1.33581380756702,-1.20326466241513,-1.45067583452283,-0.982391760687474,-0.15869170522446,0.746717099097943,-1.37758461129314,-0.770925612341599,-0.136787978051417,-0.0469474456646582,0.403886433148193,-0.300371078060518
