time,ARO,CAF,CAR,CNA,EAS,ENA,EPO,ESAF,GIC,MED,NAO,NCA,NEAF,NEN,NES,NEU,NSA,NWN,NWS,NZ,RAR,RFE,SAS,SAU,SCA,SEA,SEAF,SOO,SWS,WCE,WNA,WSAF
1200,0.542312811,-0.755233057,0.592388717,-0.21409283,-0.172610283,-0.240200281,0.17356678,-0.273541537,-0.280376547,0.185015151,-0.467719919,2.164173712,-1.516061289,-0.025407687,0.011075411,-0.256155051,-0.124082723,-0.159599971,-0.371554376,-0.403264942,-0.634607016,0.060062774,0.043247706,-0.736407,-1.433077502,0.00541212,-0.252812276,-0.436200868,-0.141695494,-0.707162945,-0.033226063,0.124449332
1300,-0.575253522,-0.882828856,0.537388717,-0.54012187,-0.135665083,-0.286249196,0.17356678,-0.357862024,-0.384509981,-0.13017223,-0.478438984,0.885231812,-0.798601441,-0.041594393,0.158050755,-0.28112813,0.191459548,-0.216590754,-0.007789789,-0.402454371,-0.218034544,-0.390668492,0.235845966,-0.183296548,-1.389267502,-0.085478827,0.413199611,0.02711216,-0.040383931,-0.944165884,-0.197042837,0.140901652
1400,-0.765792502,-0.845225526,0.300427833,-0.460178909,-0.04187235,-0.150701991,0.285166695,-0.419202486,-0.783132662,-0.471291133,-0.517760967,-0.645601595,-0.743604994,-0.238022513,-0.071113676,-0.262157484,0.497470058,-0.04963138,0.244459501,-0.373675868,-0.224948605,-0.35266663,0.083806237,-0.123820358,-1.214027502,-0.079310652,0.011594872,-0.723746317,-0.133699859,-1.006683981,-0.42764808,0.225489436
1500,-0.55001891,0.330285622,-0.379757794,-0.122970681,-0.318716622,-0.163365503,0.216714525,-0.37003166,-0.44232633,-0.395691925,-0.467788765,0.394986171,-1.051802127,-0.216707909,-0.164627892,-0.196927844,0.615287334,-0.182984514,0.176925043,-0.446211967,-0.287404112,-0.34315058,-0.072051483,-0.65922306,-1.214027502,-0.226897561,-0.127729773,-0.734922116,-0.283832494,-1.046628838,-0.401696636,0.033703315
1600,-0.042495566,0.263201685,-0.267784682,-0.19270819,-0.277675155,-0.171054769,0.253056294,-0.388434394,-0.272250759,-0.135599028,-0.722218837,-0.321896025,-0.352779947,-0.081779968,-0.176623482,-0.181193174,0.422475105,-0.01591069,0.053592051,-0.48416334,-0.551664497,0.054131915,-0.031677359,-0.656508774,-0.489803448,-0.283012629,-0.303146663,-0.548751251,0.131829913,-0.856034235,-0.131648967,-0.046212089
1700,-0.192539745,-0.122432366,-0.139838475,-0.215791255,-0.237010995,-0.223599157,0.381937548,-0.50163029,-0.636932133,-0.51803536,-0.851826129,-0.320205441,-0.36549806,0.075294205,-0.447245677,-0.175921683,0.196762876,-0.063537765,0.005341914,-0.304519481,-0.591334808,-0.364651967,0.098034179,-0.344007441,-0.489803448,-0.187501925,-0.171679456,-0.208385645,0.222417963,-0.901765112,-0.369965617,-0.067642104
1800,-0.130456557,-0.459261023,-0.164977172,-0.073868153,-0.238246872,-0.204512182,0.381937548,-0.634865053,-0.306898634,-0.396237713,-0.701702316,0.146313326,-0.313806026,-0.009192003,0.090240712,-0.131902811,0.017048686,0.004608533,0.13048079,-0.253827285,-0.449598646,0.024070247,0.082555989,-0.01280433,-0.489803448,-0.152282014,-0.265056979,-0.435124349,0.139491831,-0.812712934,-0.352608352,0.081708039
1900,-0.217519932,-0.371030837,0.187161263,-0.1690509,-0.252993446,-0.295345936,0.338675426,-0.392528211,-0.446126449,-0.176059065,-0.657794761,-0.333742857,-0.013181236,-0.213268085,0.222382117,-0.069658222,0.162459509,0.228691153,0.165302141,-0.77905057,-0.474289382,0.013912583,-0.296707075,-0.054232901,-0.489803448,-0.221664154,-0.162557483,-0.383546319,0.095602959,-0.827829331,-0.36911449,-0.130625563
2000,0.178827236,-0.386124095,0.252983455,-0.426059369,-0.1894994,-0.203066241,0.241325942,-0.576257163,-0.396005008,-0.174337768,-0.679479565,0.619764394,0.012384778,-0.350201129,0.201698412,-0.074718455,0.197623254,0.118549247,-0.037197245,-0.810047689,-0.548146811,-0.342502202,0.105028528,-0.458258152,0.396746552,-0.121680165,-0.313108429,-0.29101465,-0.014865694,-0.887702068,-0.555918642,-0.157618757
2100,-0.413358984,-0.140847687,0.230873722,-0.407545465,-0.0255915,-0.227856319,0.448641552,-0.623769886,-0.16727741,-0.014164996,-0.678923548,0.283849567,-0.302942241,-0.432266221,0.131622079,-0.031124906,-0.363616113,0.201863378,-0.214916917,-0.675276673,-0.49689847,-0.157882709,-0.460819147,-0.594487654,0.396746552,-0.071638752,0.0057208,-0.270433548,-0.173033524,-0.711341392,-0.314871858,-0.04595373
2200,-0.672499848,-0.306795037,0.175991362,0.030729098,-0.1462489,-0.165354777,0.435522529,-0.384130712,-0.276696333,-0.133496617,-0.578763885,0.237367182,-0.360423684,-0.308399458,0.169278353,-0.206521576,0.012012768,0.057570388,-0.151024305,-0.48748949,-0.334468019,-0.461814813,-0.250064613,-0.596492756,0.396746552,-0.133894969,-0.049955462,-0.339345742,-0.157679,-0.685045179,-0.130366996,0.061043765
2300,-0.520392045,-0.012764998,0.140394355,0.324346417,-0.208498549,-0.039128266,0.422457403,-0.217591036,0.003263089,-0.154244193,-0.485264529,-0.213444304,-0.361865339,-0.319883986,0.101056973,-0.179921663,0.083481408,0.166078523,-0.074748523,-0.040337247,-0.281027418,-0.393426613,0.214631647,-0.578659423,0.350162035,-0.124167176,0.073273233,-0.540875193,-0.137902911,-0.47723781,0.103737303,0.05699235
2400,-0.423174661,-0.144797299,0.195837274,0.210418101,-0.313071984,-0.052923064,0.39484136,-0.232913429,-0.119392774,-0.111297251,-0.553030208,1.144106909,-0.448710923,-0.398163754,0.116364473,-0.149479358,0.323224263,-0.024996657,0.042683709,-0.672066898,-0.204266158,-0.374227011,-0.074317782,-0.289295623,0.350162035,-0.126219891,-0.252782541,-0.553009263,0.052201855,-0.82847133,0.470093767,-0.03190471
2500,-0.464760164,-0.261052622,0.326578079,0.176817543,0.008515902,-0.097815306,0.369845153,-0.23727898,0.020175582,0.004206429,-0.515821593,1.025221689,-0.298499764,-0.043876761,0.575270583,-0.15106473,0.323224263,0.087403319,-0.074769541,-0.156408357,-0.341544891,-0.030940187,-0.25994158,-0.280890262,NA,-0.080296391,-0.38302563,-0.394171525,0.232561043,-0.846499749,0.267645324,-0.206375353
2600,-0.473828166,-0.077552496,0.165690276,0.280440016,0.063576513,-0.090622122,0.3761686,-0.368238362,-0.270159294,0.193876458,-0.457446868,0.64548708,-0.522883592,0.025207167,0.349643698,-0.311175034,0.075079426,0.050919856,-0.283027248,-0.58161773,-0.573658864,-0.44232576,-0.46062405,-0.430604548,0.032622074,0.091915256,-0.388177218,-0.455160852,0.245360792,-0.61406842,-0.023904217,-0.432910978
2700,-0.545942356,-0.36224049,-0.063374211,0.27566626,-0.069770211,-0.073315525,0.221870951,-0.386616569,-0.088679133,0.32015564,-0.445949052,1.546255678,-0.518956956,-0.034276521,0.422172377,-0.213030942,0.025733363,0.134762227,-0.295750821,-0.409303094,-0.407005731,-0.57121712,-0.466482784,-0.430604548,0.032622074,0.007028133,-0.513239684,-0.13101488,0.17169827,-0.598170638,-0.186840622,-0.341793582
2800,-0.558338796,-0.307986436,-0.181681205,0.093252876,-0.116144137,-0.068323421,0.221870951,0.051900679,-0.287411247,0.172236841,-0.383853902,0.553615436,-0.398187818,-0.306399872,0.475632199,-0.168900086,0.033302165,0.013865431,-0.239297496,-0.388395198,-0.354845755,-0.457418051,-0.184685459,-0.473494158,0.032622074,0.079288842,-0.620905914,-0.498716622,0.267820815,-0.631288809,-0.25136446,-0.391094141
2900,-0.221512199,-0.117058185,-0.11441673,-0.018644532,-0.174433931,-0.048301403,0.100753337,0.069889276,-0.162356886,-0.088062194,-0.362516035,0.269861976,-0.370055869,-0.223095776,-0.119741159,-0.14494758,0.033302165,0.052264799,-0.151445129,-0.413062439,-0.315222238,-0.070042242,-0.077818978,-0.473494158,0.974400497,0.137668216,-0.528310556,-0.570564111,0.40840727,-0.574568506,-0.226596238,-0.195061034
3000,-0.311043657,-0.214433122,-0.18834542,0.12958077,-0.20890265,-0.055542765,0.100753337,0.08601535,-0.258174779,-0.080211547,-0.213349576,-0.037616165,0.246868229,-0.248501198,-0.152865532,-0.094139454,0.038839642,0.122591204,-0.626755541,0.203112444,-0.12592434,0.149729523,0.182447513,-0.24960244,0.974400497,0.116717078,-0.520657239,-0.511160551,0.185731955,-0.4972136,-0.273641892,-0.162393466
3100,-0.466666898,-0.527413601,0.097220583,0.144041112,-0.296689003,-0.045332687,-0.118362529,0.132323099,-0.240360137,0.392619788,-0.066577994,1.483544048,0.261668884,0.031271166,-0.169955677,-0.239999524,0.176722975,0.191006231,-0.471467371,-0.231273085,-0.25474126,0.343348248,-0.026562132,-0.372659566,0.699820998,0.053866917,-0.55821705,-0.508096453,0.141435247,-0.428858465,-0.16349108,-0.021875498
3200,-0.5441189,-0.528007428,0.303089179,0.027108957,-0.438308454,-0.047830706,-0.038267072,0.065904255,-0.216899741,0.155271873,-0.238821524,1.711708513,0.135758912,0.135500528,-0.094247477,-0.238757469,0.515180032,-0.05721956,-0.533814244,0.069544195,-0.10390633,-0.131311328,-0.138844723,-0.313516709,0.245928981,-0.023038233,-0.650290565,-0.098652363,0.179503506,-0.365126366,-0.124822147,-0.245714879
3300,-0.359813632,-0.259662966,0.400012333,-0.017788099,-0.287312573,-0.028875642,0.059778515,0.065519936,0.131466696,-0.111051681,-0.378243956,0.040539232,0.140860007,-0.020252003,0.054140275,-0.236127109,0.515180032,0.029595464,-0.676221782,-0.309642831,0.001876035,-0.130144965,-0.234801336,-0.313516709,0.217913801,-0.211105189,-0.337515722,0.252206411,0.160279027,-0.389839165,0.092488989,0.13336608
3400,-0.283303443,-0.133502805,0.587955635,0.097567986,-0.197379076,-0.037901959,0.136156858,0.020314928,-0.006750745,-0.150857947,-0.379343931,-0.120840455,0.232093134,-0.108565338,0.067356707,-0.162424878,0.052985629,0.115557438,-0.479038109,-0.298747033,-0.167607687,-0.175183205,-0.315691722,-0.289091622,0.194321748,-0.085800559,0.003764451,0.11088412,-0.064286615,-0.306248865,-0.129355136,0.071146843
3500,-0.111812297,0.030415274,0.414275173,0.109948613,-0.259800511,-0.099901502,0.132069237,-0.044311795,-0.175779668,-0.160473644,-0.412168916,-0.731491104,0.116688703,-0.141038973,0.147778526,-0.187189322,-0.038030302,0.308170471,-0.397275565,-0.373413111,-0.274689722,-0.278386665,-0.437917088,-0.273091622,0.705025752,-0.078707166,-0.39770063,0.488542661,0.023954229,-0.054717041,-0.151451246,-0.037282264
3600,-0.147597334,0.287833266,0.386675173,0.21752598,-0.31456044,-0.034993349,0.091394465,-0.013103755,-0.054060154,-0.210929302,-0.293310002,0.026184479,0.138948784,-0.058729238,0.241967346,-0.114722015,-0.133662726,0.046337127,-0.456157901,-0.389380241,0.173973371,-0.627515841,-0.257613267,-0.15400173,0.705025752,-0.106673673,-0.026587748,0.24574521,0.119017303,-0.065425788,-0.189154212,0.142734227
3700,-0.20460371,-0.10384273,0.430887491,0.070222613,-0.420937448,0.09133516,0.071428648,-0.082999199,0.078896144,-0.20622625,-0.158863431,-0.270161811,0.162348364,0.01650718,0.284456638,-0.171209312,-0.310299041,0.125142256,-0.415547005,-0.306190892,0.273258574,-0.263050293,-0.00378589,-0.275712276,0.710631224,0.114053792,-0.136049954,0.098718124,0.028509901,0.143062921,-0.381738078,0.317570019
