,ARP,CAF,CAR,CAU,CNA,EAN,EAS,EAU,ECA,EEU,ENA,ESAF,ESB,GIC,MED,NAU,NCA,NEAF,NEN,NES,NEU,NSA,NWN,NWS,NZ,RAR,SAH,SAM,SAS,SAU,SCA,SEA,SEAF,SES,SSA,SWS,TIB,WAF,WAN,WCA,WCE,WNA,WSAF,WSB
28,1.1987576383768717,5.1863879963282065,1.3960398392498519,1.1076696805182356,2.2586498997324864,0.3741835333419673,3.439677982383003,1.4098233037157997,1.043935181979386,1.1487487232533222,2.3055770433727183,3.310256088623126,1.0051815276961322,0.7124571232031089,0.7123689922206555,3.0061525661871507,2.066867615673757,2.6435641598626898,1.1541645428850382,2.6230396695539175,1.489924437286504,3.504810635280575,1.4200760533254806,5.268576346835885,2.915364481947842,0.7286780170409072,0.41876379704182226,4.509385859834283,2.403536871369413,0.5311016727726042,1.3589088184892513,6.419775160069042,2.8937561979317543,2.23857573734063,2.6510723853091513,2.3973766828787317,1.8122543535743776,4.196716754733696,0.8167018355350089,0.545111917840164,1.6147131926685014,1.5606961095354177,2.9420283423981997,0.9324814136003081
29,1.257201253467068,5.1908565358886065,1.4763532330367266,1.1347236506754323,2.2685850556228107,0.37171277523273744,3.474738343103728,1.390297075627684,1.0530511136075218,1.1613153852691391,2.3411536972279743,3.306296275112659,1.0006266672686872,0.7510749250278544,0.7206265361912302,3.0441397897512217,1.9777756911380342,2.6394982176634745,1.1457792480896465,2.6126066416916403,1.4877112050408783,3.4982598926214794,1.4179504344121898,5.235489833201713,2.9387061622125175,0.7336627890759109,0.45221041571506043,4.38740836537948,2.3984450633670904,0.5383702490433689,1.4225410067394286,6.410821304730756,2.8856262001329966,2.2174810441067003,2.617428377233326,2.3980061178325873,1.8154896734175978,4.208081127253934,0.8217375153270112,0.5641143795759852,1.6323068431052097,1.5799344728377354,2.9426643905150507,0.9413267564560234
30,1.2555306891304554,5.153399875716071,1.3449956493391972,1.1031531466027458,2.2709525514758275,0.3716558907542973,3.5070698354918095,1.3848117656244536,1.0637396698899335,1.1433404327161627,2.3358492744781714,3.3007214241521234,1.0125244732718746,0.7359118283703014,0.7144987183771467,3.0280494631146637,2.013294256323776,2.6420419721235113,1.1389476147863076,2.6556614359787742,1.4824877647602648,3.46658524239947,1.4063043803353237,5.232280959268004,2.9187716862482005,0.7272749559398242,0.45525383914853174,4.412902060413244,2.4075472230817927,0.5315106601925818,1.3511600332298883,6.422999308849289,2.8686536955098725,2.2376908487586444,2.64403144018006,2.417172808277907,1.8334550413735622,4.176662560925824,0.8202967286708135,0.559129142116729,1.6061638846992758,1.5875702800301783,2.9387429135718466,0.9317706470890673
31,1.269420062223473,5.183421081411195,1.2700277309818375,1.1152770930511027,2.2226630360843846,0.3701155449363814,3.469208853018987,1.4349541869717577,1.0597337189026181,1.1297346206597476,2.313117291966292,3.350244067103533,0.9975156061116853,0.6868100104625617,0.7006820892106298,3.1028787479814812,2.030592165897752,2.6707823967736575,1.1282904867501455,2.7678296411185497,1.4593350263184368,3.5572880676714784,1.416706144432248,5.257898580200567,2.9061599023629476,0.7235558075232991,0.4593667568154985,4.490303647512956,2.415025078692353,0.5301066352834971,1.2852069203453278,6.292900791224317,2.896012486548303,2.1820178179625502,2.62587969335667,2.426089051085862,1.866139161486717,4.135179620244453,0.8191833023760362,0.5436606769601954,1.5819420224198868,1.554087862399091,2.9344060192419454,0.9186682680204789
32,1.347181069211992,5.190675998818608,1.2946079306175307,1.0775248260929773,2.2539477054818033,0.3699250703474246,3.453813570928347,1.4232730210247193,1.0641727077591856,1.1331216466693117,2.3399201550750894,3.3415998906554205,0.9999832738451929,0.7195600136221427,0.7182060692234395,3.2728117319946115,2.0426309321256366,2.6725406018845903,1.1307815136052333,2.665454729660126,1.463226458444729,3.5265156476666037,1.41795022869976,5.3752722893494935,2.941023512753107,0.7228168747350976,0.4872290198589955,4.4046384098059175,2.3810289900050012,0.5108018577729752,1.3421205545254495,6.170821416071586,2.8511781589731124,2.176453839636795,2.609702422641149,2.4322133077613857,1.854031782973391,4.167120962212364,0.8230915309145421,0.5681492147632712,1.609054859206773,1.5764000935471272,2.887488348695156,0.9202661212004729
33,1.334861799339919,5.190199053711878,1.2668133844329077,1.0902690593507274,2.257888728870268,0.37045737903321624,3.4188160481723675,1.4201572676595575,1.0716305045817343,1.1413755126553726,2.358445669588175,3.327771495850495,1.0076504752218187,0.719278590568318,0.709161493571158,3.3084288852111152,1.9954369982855964,2.6932606089524596,1.1311789694786236,2.6984235077459933,1.4648632418211414,3.53981344027732,1.4176085928955227,5.321426964684268,2.9344774630642467,0.7282718542870693,0.4834092116293823,4.4361445163565145,2.376104924586975,0.5005394801855333,1.3648305776610914,6.1402801061194285,2.8947903780355686,2.1843220929461604,2.6099486727608032,2.403337539794232,1.8528181979995537,4.16377612498673,0.8300183495226369,0.5599265104604583,1.6182158674581901,1.6136552855414614,2.9208732372466946,0.9285344959882598
34,1.310773084937249,5.151211960945051,1.0901983520739122,1.1030228128835131,2.26531801803535,0.3691267806984077,3.4214466834004043,1.4045247939653112,1.055018991158104,1.128650689470163,2.325174855284619,3.351693620239532,0.9944406777286231,0.6832690826880086,0.6984815217097166,3.245879168801349,1.996459664297268,2.6649021924959704,1.1100292568068424,2.8876596964129795,1.443211587976344,3.439940316258182,1.4270433073037667,5.371003476917444,2.9000498507017176,0.7188519358094432,0.486860685465099,4.553563832809569,2.3340136043499036,0.5193273416218179,1.2259164013958022,6.106241520875568,2.8233500573508934,2.1835341562582338,2.612377413935519,2.443430221852885,1.8307535299097732,4.104182267045016,0.8235938688946831,0.5319982014606573,1.5819617478890093,1.593373302634497,2.9835580027340103,0.9281763556312949
35,1.346808156023684,5.163072844837926,0.9503865688031965,1.1251098756927032,2.2583033021908756,0.3678740054968646,3.461069084617554,1.439507490832029,1.055022440653767,1.10685454485203,2.348531831234114,3.3738980770927363,0.9910689266443304,0.6745784382933819,0.6803544911865607,3.2696337965435216,2.0405752389820737,2.677222151221926,1.1096592444285456,3.0133932076958847,1.4517383418365177,3.4592285143533488,1.4218380973381537,5.293471475237741,2.908088315875352,0.7183785198228352,0.46938646775679244,4.615034281650203,2.349945460264358,0.5252763053120572,1.1082732027784465,6.072569141393572,2.885637081473167,2.1710274365681976,2.6121865098362966,2.447701371275847,1.847335316576554,4.063922569336905,0.810064101708455,0.5399294339212799,1.5325228391126087,1.5801002824986636,2.9901389508277343,0.912900185172244
36,1.3437584212057136,5.151517874262793,0.9519497190524362,1.0685854951736538,2.2713185652186034,0.37074621875085456,3.4439146475628233,1.4126800103677204,1.06944733256328,1.1033338562068014,2.3358208514150856,3.3314664664512077,0.9816060650633719,0.6709742884146365,0.6911311838184065,3.2124846375196245,1.9878871778298635,2.6754659306130617,1.0998919744718376,2.9649076232565954,1.4229469123899001,3.4519260874100652,1.4230740810590519,5.263738585835845,2.898952567662637,0.709874454498891,0.478893880582962,4.592435943634704,2.3271357722069923,0.5190350886225811,1.1444488894751765,6.075710964992561,2.882824642909331,2.1622863382036965,2.6306796623030047,2.4449006568055944,1.8533435851771358,4.026717393534003,0.817746951571762,0.5498746348426323,1.525985796121157,1.5852960654060946,3.005670913652752,0.906389489850859
37,1.362301338580696,5.156796001779999,0.9604959298314952,1.0376365153052916,2.2211347289648917,0.3671972008963151,3.4303674088273706,1.386302139124969,1.0639476524034035,1.1092733799872758,2.336686418252546,3.3325742519320363,0.989399376088628,0.6662037843053811,0.6940210289906118,3.1696823575570074,2.0042216000179334,2.7142491060200165,1.1008216700957685,3.040859448409733,1.425457412760682,3.481338031065648,1.416002199924959,5.413666261583324,2.8968722773994178,0.7125781109485202,0.49564936814942295,4.631725937219911,2.3431726846449954,0.5096402939926821,1.1449376256777009,6.105801544521259,2.8432471779075965,2.135847317378794,2.61181815379809,2.442913298330237,1.8819499977231111,4.063880067049416,0.8297586078550715,0.5633861806467851,1.558894617122592,1.5904046189584218,2.9964697961036064,0.9064909505526394
