,ARO,ARP,ARS,CAF,CAR,CNA,EAN,EAO,EAS,EAU,ECA,EEU,ENA,EPO,ESAF,ESB,GIC,MDG,MED,NAO,NAU,NCA,NEAF,NEN,NES,NEU,NPO,NSA,NWN,NWS,NZ,RAR,RFE,SAH,SAM,SAS,SAU,SCA,SEA,SEAF,SES,SOO,SSA,SWS,TIB,WAN,WCA,WCE,WNA,WSAF,WSB
2,-24.06915006236343,21.65811592637348,24.760597416141344,21.152104744429483,23.03562328692292,9.89653152032325,-29.70471019335612,24.693114274114087,12.433564465219117,18.926864924825658,-0.9866966258489281,-2.4713681103380596,9.796932499541674,24.638016293164338,18.00799337350888,-12.085748956214497,-20.949297306612728,22.868012636897816,13.485308038136147,13.802940509441958,25.345108128357506,18.001283148152403,22.528301870243848,-12.288927140849703,23.215911202584234,-6.420013105939402,16.352133946818654,23.74173314047762,-12.231435722726163,21.967667788412797,12.724699160466567,-21.770545600279412,-14.36657771332167,21.811956165395546,21.52877215324195,21.27994689935118,12.150357355883981,23.955554831140017,25.353914680839814,21.078564913195635,16.609437414952023,0.4167398948019009,5.715298294237549,13.472158407650756,-1.7257812958886118,-19.630537036539714,10.833037367126517,3.8240896860868547,4.176437056881327,17.30899722625797,-5.795864664321173
3,-24.2936981413649,21.59203386874909,24.75093200756422,21.204500785914103,22.95760472190161,10.0132434830199,-29.829879580213873,24.750611498771352,12.424002117574128,18.980506323717144,-1.1467576337930003,-2.498035335961891,9.849168768443112,24.635316890421475,18.074044406005235,-11.991454044299559,-21.8633140607165,22.972526515584033,13.38774541058612,13.552655264269234,25.453860168864516,18.009384615433905,22.45850927587278,-12.484232649133807,23.238054676031183,-7.132622503628631,16.343828581525095,23.766555752750083,-12.331835278911813,21.939120366934453,12.778683848904178,-21.766386867576784,-14.367494093930858,21.723228909078788,21.54149747442321,21.240212178896783,12.211771782022392,23.940491848719066,25.37639444805458,21.138680768503363,16.627423061147255,0.4190421721724458,5.591520594710197,13.414044795955451,-2.000941735096997,-19.631228513715737,10.706298365868632,3.6344753907129723,4.19068988603061,17.41116106224154,-5.738087635288938
4,-24.06792246619526,21.592444911221094,24.74089832945119,21.22851120869449,22.93037631703936,9.96257237459346,-29.74481714789194,24.749674987962507,12.363523631875598,18.919336138395725,-1.2201228150585914,-2.6379866068293865,9.775406336679415,24.6518640309682,18.073832467304022,-12.11174391275042,-21.628202527480656,22.976799269310085,13.37298836198061,13.516947468584382,25.48898608106171,17.94476921850037,22.478981010530276,-12.441101328272158,23.24957144446136,-7.074286104366786,16.300240948037764,23.758939103884476,-12.19185740441474,21.948610190554497,12.72163805331859,-21.60523096753544,-14.46043905559605,21.751647817849033,21.580171557893518,21.221394500836627,12.179154065826598,23.92210397317832,25.37926489517019,21.14987077730232,16.68274145086437,0.41619741221570156,5.5581147816538685,13.401296753236286,-2.037413474576963,-19.533610879494663,10.666674056034601,3.562720368065648,4.165263651692171,17.461606096792266,-5.942175326606338
5,-24.249452659185703,21.538053637546344,24.706001568932436,21.162550991404,22.911483487484727,9.976156522528077,-29.88023734243986,24.716546104481758,12.37436419754672,18.846684221436693,-1.2799034229731352,-2.7118627708668774,9.777705294239547,24.59263793816529,18.017865808931838,-12.11232447903685,-21.890513828998554,22.900187592099748,13.350800690328605,13.44594861715426,25.399123316666802,17.98540789862215,22.413068709271823,-12.716127810028349,23.223256618464692,-7.09734415068237,16.2973818908059,23.696503636878116,-12.498062953543293,21.921717145020033,12.762148354621825,-21.718504342296146,-14.363528767241416,21.678509187849187,21.50783891852483,21.18416975098793,12.168447837260189,23.907485178229813,25.3353523382058,21.081372152144304,16.566406411904083,0.38539317567977743,5.5341636834991474,13.353806388516137,-2.1124754107819492,-19.671618600845225,10.610216132772859,3.6551699874682755,4.098746540198804,17.452435075060837,-5.976891343726557
6,-24.09614507618593,21.54024669341958,24.684208972469396,21.137662353329986,22.946114671279442,9.984653987402343,-29.82640011611035,24.664877960354687,12.33842880287252,18.890121743985173,-1.2467694869687895,-2.5855244405955427,9.739357609463298,24.586206514055355,18.030780230689547,-12.145932280601407,-21.25806316255392,22.94084846688911,13.42301037525142,13.664617148224744,25.40737526960401,17.921309257656162,22.415075594028824,-12.316049011740894,23.232255826727176,-6.823894026594903,16.32800090740868,23.682920623523202,-12.175654907530353,21.890696927098997,12.662911981368334,-21.558659121884062,-14.324437568817903,21.7286933056591,21.48265570826902,21.12445742037418,12.111248514380067,23.896652807671728,25.32657722584664,21.083856981312994,16.584283293058196,0.3422476301040437,5.5111646633473725,13.349257122389096,-2.0754654675036193,-19.70048347803631,10.740685611499893,3.7503129426266817,4.190757034900071,17.41059174920585,-5.9944786500602865
7,-23.948992270416355,21.50446044708197,24.665038192532347,21.13318940350455,22.906967073681557,9.965358014783519,-29.885236863517072,24.650278912837425,12.225847895433292,18.848367549241146,-1.3880785444524297,-2.5846931683806074,9.732380246889937,24.54519992431752,17.9920078538208,-12.170202509467167,-21.525572381856005,22.880835900542802,13.300991272959376,13.562499026162453,25.36763442107196,17.946955313378137,22.360258911873444,-12.371359335749462,23.211328254875976,-7.121321189532415,16.2941822734343,23.573622673395707,-12.203884809925633,21.794537901524723,12.686827813635679,-21.487941500370283,-14.372881701872483,21.658125731972206,21.436641076493384,21.00033335770556,12.121958396380746,23.858501265336617,25.286589738200625,21.053293594286707,16.504411617345195,0.3534051932685874,5.507482259862813,13.313914466442998,-2.2591145029972273,-19.68454703961525,10.630468860594151,3.483172666223198,4.186509349587785,17.36848868835836,-5.964510280099025
8,-23.40690334207789,21.603345778379595,24.709754179310536,21.109393386259743,23.03246668351248,10.078355610115272,-29.7758482891529,24.64987781578296,12.392313814365728,18.85254820024065,-1.2000631060424631,-2.306386497154197,9.833331344564538,24.590084917518958,18.004003052796094,-11.90735219987725,-20.69762942972096,22.89802244871352,13.563936462367531,13.89580189390328,25.399012208669255,18.04831270119489,22.309301730966244,-12.013622357219019,23.241740885528362,-5.989605365794945,16.35390657319625,23.698155811669924,-11.98281749690701,21.848326977990414,12.650875833874851,-21.017140948995564,-13.962783641327817,21.728564946591902,21.451211765983548,21.20031030757736,12.12005284064629,23.941816395524217,25.319037539996696,21.056202649767336,16.568400107196055,0.334238228178756,5.561202035816726,13.342511453412435,-2.098334577682227,-19.67214084075664,10.802664007921155,4.104890510249792,4.314497643494983,17.34714814936928,-5.752735966075443
9,-23.477823527917597,21.532449379318983,24.714826120507116,21.090108094673337,22.96587541202604,10.033596554736475,-29.813425431446884,24.66077443516464,12.346608368750482,18.8299594517341,-1.2516332016426932,-2.379787852320338,9.816281059364833,24.58830072657364,18.007090065442267,-11.916355073173081,-20.935948935434247,22.911400130370765,13.508746514590378,13.741211627848866,25.415993952094073,17.94171887470109,22.290267367337854,-12.050855246418042,23.225432089129956,-6.453845149000459,16.353951160641884,23.700735257102263,-11.825463742048008,21.85660835118307,12.695296451671146,-21.064646240129086,-14.07283257516314,21.680939222750684,21.508619013453366,21.073585725621744,12.149109477238666,23.913672460495754,25.302317472979528,21.068878756629097,16.62273738194383,0.4111656832546881,5.5934362303516565,13.36968181756546,-2.1953813183826023,-19.56336889703983,10.775493382165624,3.9396449593292027,4.230544195619783,17.376291799296283,-5.688125673655492
10,-24.09587755224707,21.323977675471937,24.609017431654532,21.068198399851777,22.827905280471406,9.909051176550953,-29.762515799251336,24.67237279706663,12.137547730029613,18.783110277284095,-1.5298504378378113,-2.759015305995886,9.659674428193025,24.513227419755374,17.982220941031915,-12.189611891359108,-21.7988585752488,22.859764119367046,13.264448844840201,13.37961688212122,25.328055617451856,17.865202977547774,22.237584733578778,-12.68291816730241,23.150288980219475,-7.323337344578906,16.161809506050332,23.564075502477255,-12.606575162960407,21.805371745483864,12.794279882890242,-21.582692285137068,-14.549572239528326,21.50235001424375,21.358590413072356,20.957661997561466,12.20730569383274,23.79824040388094,25.254711649663744,21.05069426762512,16.559340727619702,0.4485899941875802,5.559975319827917,13.323604655650763,-2.3666180665051235,-19.6030266188109,10.48285025566198,3.408549601831473,4.003760611599074,17.339273694691318,-6.040343595154157
11,-23.836660111496307,21.348013937365504,24.607152907066055,21.065684816006975,22.87541639125642,9.87737676664428,-29.734966374639217,24.630432405095156,12.185026013588104,18.849789640563664,-1.4228208788249421,-2.741064084101291,9.664546924717921,24.56157446788477,17.979931106648994,-12.198514295283891,-21.763482396109545,22.8562137473583,13.269698900283084,13.425883861942134,25.389789224099797,17.900000991203726,22.243068019516592,-12.613115480632695,23.16231230310582,-7.236252957733275,16.249916841844918,23.599759582490055,-12.23380186947035,21.822523463125624,12.59073293796618,-21.453972044481436,-14.377452245450003,21.512358714638612,21.43912582863409,21.005349670454667,12.095807873598558,23.855349810608264,25.253636715355203,21.04295691275947,16.56546537920698,0.3861448163351298,5.469012020652798,13.324532155910243,-2.3326552342004905,-19.5805347139793,10.497408742542607,3.4545938485201666,4.06095370988429,17.330587619496313,-6.057254921125911
