"","Dataset","TSid","DOI_1","DOI_2","DOI_3","DOI_4","DOI_5","DOI_6","DOI_7"
"29","AyoodeVidriales.MoralesMolino.2014","lcRXz9wnygIFdmBJCJe","452","621","","","","",""
"30","BaaharNuurLake.Huang.2009","lcRDlSFQ3FGujgZJ3LN","256","621","","","","",""
"31","Babyloncave.Williams.2005","S2LRwdQvzjr8rq","480","","","","","",""
"32","Baeg-nyongcave.K..2017","S2LRShfLt8O8RR","357","","","","","",""
"33","Baikal.Swann.2018","WEB2b09ab9c","217","21","","","","",""
"34","Bakaly.Beer.2008","lcRKi1dhBq6WuciB6US","45","621","","","","",""
"35","Balukcave.Liu.2019","S2LRqArbF2JHFw","664","","","","","",""
"36","Bancannia.Dury.1973","OLS_RXfu7xAGzWB","168","186","","","","",""
"37","BangongCo.Hou.2017","WEB8d973712","328","443","","","","",""
"38","BattleGroundLake.Barnosky.1983","lcRM5YQeikjGgODpYRD","41","621","","","","",""
"39","BayanchaganLakeBY.Jiang.2006","lcRrnLoUTd7IMmW7hE5","303","621","","","","",""
"40","BayanNuur.Chen.2008","LPDb7ac9881","189","","","","","",""
"41","Beatties.Macphail.1975","OLS_RcRjSZzb1Kg","434","186","","","","",""
"42","BeaverhouseLake.Rivers.1999","lcROtMDEQsOa6CKzEBo","267","621","","","","",""
"43","BeaverLake.Calcote.2003","lcRhapwgU8yMeacBLgK","520","621","","","","",""
"44","BeaverLake.Schmieder.2011PaleoDIVER","pdRMMxRg4ypwnub7vhk","274","293","152","","","",""
"45","Bebedero.Gonzalez.1983","OLS_R4idEFGElHM","224","186","","","","",""
"46","BebrukasLake.Kabailiene.1986","lcRuTlqjPrHd2xH329d","341","621","","","","",""
"47","BednikundLake.Rawat.2021","WEBa5fcc0ed","629","","","","","",""
"48","BednikundLake.Rawat.2021","WEB22a46599","629","","","","","",""
"49","BegbieLake.Brown.2019Legacy","lcRfmVxd7PePxotBtxX","340","621","","","","",""
"50","BellsLake.Szeicz.1995Legacy","lcRCIhUix5QOaVYiSJ3","326","621","","","","",""
"51","BenitalLake.Bhushan.2018","WEB15b6e09f","509","","","","","",""
"52","BensonPond.Oswald.2018","lcRyuLsI0devWnXL9UK","639","621","","","","",""
"53","BerryPond.Oswald.2018","lcRmoUYX9CAfAdUW9Re","167","621","","","","",""
"54","BerryPond.Whitehead.1979","lcRFk9bWYJHqyCtFNx8","167","621","","","","",""
"55","Bibersee.vanderKnaap.2001","lcRux6T4mIrY0kwQeJs","702","621","","","","",""
"56","Big.Cumming.2002","NAm2kHydro030","72","","","","","",""
"57","Bilma.Faure.1966","OLS_RPARZQXyu1l","204","186","","","","",""
"58","BisonLake.Anderson.2011","NAm2kHydro001","372","","","","","",""
"59","BitschNaters.vanderKnaap.1997","lcRoCXWDdV0uxUvztLb","700","621","","","","",""
"60","BivierediGela.Colombaroli.2009","lcRvxK7zhrGHqqmmSr5","125","621","","","","",""
"61","BJ80370GGC.Tierney.2012","WEB8c80a27c","269","","","","","",""
"62","BlackGumSwamp.Foster.1993","lcRLcJzCjoqgEKwHqBs","137","621","","","","",""
"63","BloodPond.Oswald.2018","lcRFOyuRIeyddE3MuQ9","639","621","","","","",""
"64","Bogoria.Young.1979","OLS_RtPtAFW735C","266","186","","","","",""
"65","BoomerangLake.Brown.2006","WEB31e807ae","335","","","","","",""
"66","Bosten.Chen.2008","LPDf7422476","189","","","","","",""
"67","Bosumtwi.Shanahan.2015","LPD292174f8xxx","615","","","","","",""
