"","DOI","Year","Author","references"
"47","Begin, Z.B., W. Broecker, B. Buchbinder, Y. Druckman, A. Kaufman, M. Magaritz and D. Neev, 1985.Dead Sea and Lake Lisan levels in the last 30,000 years. Report of the Geological Survey of Israel29/85 : 1-17.","1972","Begin","Begin, Z.B., W. Broecker, B. Buchbinder, Y. Druckman, A. Kaufman, M. Magaritz and D. Neev, 1985.Dead Sea and Lake Lisan levels in the last 30,000 years. Report of the Geological Survey of Israel29/85 : 1-17."
"48","Beiswenger, J.M., 1987. Late quaternary vegetational history of Grays Lake, Idaho and the Ice Slough, Wyoming. Doctoral dissertation. University of Wyoming, Laramie, Wyoming, USA.","1987","Beiswenger","Beiswenger, J.M., 1987. Late quaternary vegetational history of Grays Lake, Idaho and the Ice Slough, Wyoming. Doctoral dissertation. University of Wyoming, Laramie, Wyoming, USA."
"49","10.1016/j.quascirev.2009.12.009","2010","Benjamin F. Clegg and Feng Sheng Hu","Clegg, B. F., & Hu, F. S. (2010). An oxygen-isotope record of Holocene climate change in the south-central Brooks Range, Alaska. Quaternary Science Reviews, 29(7–8), 928–939. https://doi.org/10.1016/j.quascirev.2009.12.009"
"50","Bennett, K.D., Boreham, S., Sharp, M.J. and Switsur, V.R., 1992. Holocene history of environment, vegetation and human settlement on Catta Ness, Lunnasting, Shetland. Journal of Ecology, 80, pp.241-273.","1992","Bennett","Bennett, K.D., Boreham, S., Sharp, M.J. and Switsur, V.R., 1992. Holocene history of environment, vegetation and human settlement on Catta Ness, Lunnasting, Shetland. Journal of Ecology, 80, pp.241-273."
"51","10.1029/2019GL085202","2019","Bernhard Aichner and Zafar Makhmudov and Ilhomjon Rajabov and Qiong Zhang and Francesco S. R. Pausata and Martin Werner and Liv Heinecke and Marie L. Kuessner and Sarah J. Feakins and Dirk Sachse and Steffen Mischke","Aichner, B., Makhmudov, Z., Rajabov, I., Zhang, Q., Pausata, F. S. R., Werner, M., et al. (2019). Hydroclimate in the Pamirs Was Driven by Changes in Precipitation‐Evaporation Seasonality Since the Last Glacial Period. Geophysical Research Letters, 46(23), 13972–13983. https://doi.org/10.1029/2019gl085202"
"52","Bigelow, N.H., 1997. Late-Quaternary vegetation and climate in Central Alaska. Doctoral dissertation. University of Alaska, Fairbanks, Alaska, USA.","1997","Bigelow","Bigelow, N.H., 1997. Late-Quaternary vegetation and climate in Central Alaska. Doctoral dissertation. University of Alaska, Fairbanks, Alaska, USA."
"53","Birks, H.J.B. and Williams, W., 1983. Late-Quaternary vegetational history of the Inner Hebrides. Proceedings of the Royal Society of Edinburgh, Section B: Biological Sciences, 83, pp.269-292.","1983","Birks","Birks, H.J.B. and Williams, W., 1983. Late-Quaternary vegetational history of the Inner Hebrides. Proceedings of the Royal Society of Edinburgh, Section B: Biological Sciences, 83, pp.269-292."
"54","Birks, H.J.B., 2007. Estimating the amount of compositional change in late-Quaternary pollen-stratigraphical data. Vegetation History and Archaeobotany, 16(2), pp.197-202.","2007","Birks","Birks, H.J.B., 2007. Estimating the amount of compositional change in late-Quaternary pollen-stratigraphical data. Vegetation History and Archaeobotany, 16(2), pp.197-202."
"55","Birks, H.H., H.J.B. Birks, A.E. Bjune, and V.A. Felde., 2012. XXXVI International Bog ('Moor') Excursion of the Institute of Plant Sciences, University of Bern, southern and south-eastern Norway, 8-13 September 2012, Excursion Guide. University of Bergen, Norway and Bjerknes Centre for Climate Research, Bergen, Norway.","2012","Birks","Birks, H.H., H.J.B. Birks, A.E. Bjune, and V.A. Felde., 2012. XXXVI International Bog ('Moor') Excursion of the Institute of Plant Sciences, University of Bern, southern and south-eastern Norway, 8-13 September 2012, Excursion Guide. University of Bergen, Norway and Bjerknes Centre for Climate Research, Bergen, Norway."
"56","Bjune, A.E., 2005. Holocene vegetation history and tree-line changes on a north-south transect crossing major climate gradients in southern Norway-evidence from pollen and plant macrofossils in lake sediments. Review of Palaeobotany and Palynology, 133(3-4), pp.249-275.","2005","Bjune","Bjune, A.E., 2005. Holocene vegetation history and tree-line changes on a north-south transect crossing major climate gradients in southern Norway-evidence from pollen and plant macrofossils in lake sediments. Review of Palaeobotany and Palynology, 133(3-4), pp.249-275."
"57","Bjune, A.E., Seppa, H. and Birks, H.J.B., 2009. Quantitative summer-temperature reconstructions for the last 2000 years based on pollen-stratigraphical data from northern Fennoscandia. Journal of Paleolimnology, 41(1), pp.43-56.","2009","Bjune","Bjune, A.E., Seppa, H. and Birks, H.J.B., 2009. Quantitative summer-temperature reconstructions for the last 2000 years based on pollen-stratigraphical data from northern Fennoscandia. Journal of Paleolimnology, 41(1), pp.43-56."
"58","Blake Jr, W., 1986. Geological Survey of Canada radiocarbon dates XXV. Geological Survey of Canada Paper, 85(7), pp.2-3.","1986","Blake Jr","Blake Jr, W., 1986. Geological Survey of Canada radiocarbon dates XXV. Geological Survey of Canada Paper, 85(7), pp.2-3."
"59","Blyakharchuk, T.A., 1989. Istorija rastitel'nosti yugovostoka Zapadnoi Sibiri v golotsene po dannym botanicheskogo i sporovo-pyl'tsevogo analiza torfa [The Holocene history of vegetation of south-eastern West Siberia by botanical and pollen analyses of peat deposits]. Doctoral dissertation. Tomsk State University, Tomsk, Russia.","1989","Blyakharchuk","Blyakharchuk, T.A., 1989. Istorija rastitel'nosti yugovostoka Zapadnoi Sibiri v golotsene po dannym botanicheskogo i sporovo-pyl'tsevogo analiza torfa [The Holocene history of vegetation of south-eastern West Siberia by botanical and pollen analyses of peat deposits]. Doctoral dissertation. Tomsk State University, Tomsk, Russia."
"60","Blyakharchuk, T.A., Wright, H.E., Borodavko, P.S., van der Knaap, W.O. and Ammann, B., 2004. Late Glacial and Holocene vegetational changes on the Ulagan high-mountain plateau, Altai Mountains, southern Siberia. Palaeogeography, Palaeoclimatology, Palaeoecology, 209(1-4), pp.259-279.","2004","Blyakharchuk","Blyakharchuk, T.A., Wright, H.E., Borodavko, P.S., van der Knaap, W.O. and Ammann, B., 2004. Late Glacial and Holocene vegetational changes on the Ulagan high-mountain plateau, Altai Mountains, southern Siberia. Palaeogeography, Palaeoclimatology, Palaeoecology, 209(1-4), pp.259-279."
"61","Bottcher, U., P-J. Ergenzinger, S.H. Jaeckel and K.Kaiser, 1972. Quartare Seebildungen und ihre Mollusken Inhalteim Tibesti-Gebirge. Zeitschrift fur Geomorphologie 16 : 182-234.","1972","Bottcher","Bottcher, U., P-J. Ergenzinger, S.H. Jaeckel and K.Kaiser, 1972. Quartare Seebildungen und ihre Mollusken Inhalteim Tibesti-Gebirge. Zeitschrift fur Geomorphologie 16 : 182-234."
"62","Bottema, S., 1988. A reconstruction of the Halos environment on the basis of palynological information. In: New Halos: a Hellenistic town in Thessalia, Greece ed. by H.R. Reinders (pp.216-226). H&S Publishers, Utrecht, The Netherlands.","1988","Bottema","Bottema, S., 1988. A reconstruction of the Halos environment on the basis of palynological information. In: New Halos: a Hellenistic town in Thessalia, Greece ed. by H.R. Reinders (pp.216-226). H&S Publishers, Utrecht, The Netherlands."
