,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN
10400,-42.846447,-26.119076,-40.16892,-7.434233,-6.0521183,-10.476148,7.812841,20.080233,28.662119,20.648108,26.422703,23.035252,22.204435,13.72223,25.33877,14.6503105,-13.399725,-9.310631,-22.421967,3.0703285,14.653195,21.609669,22.436518,22.964348,23.396229,22.382544,21.558855,25.822199,-43.904533,-28.103386,-33.44992,-36.15032,-6.8384247,-17.042757,-16.018879,-4.389256,12.5256605,13.394822,24.031599,28.33028,28.02144,24.006014,23.922365,13.619969,-28.868217,-16.927195
10500,-42.62122,-26.194021,-40.61634,-7.2728086,-6.380312,-10.981938,7.7400336,19.998335,28.375546,20.597364,26.57831,22.99513,22.173134,13.609647,25.326239,14.624197,-16.791857,-9.369754,-22.741234,3.1733003,14.622275,21.464926,22.405607,23.011734,23.33144,22.407715,21.57035,25.790123,-44.36429,-28.530804,-33.829857,-36.377533,-6.9945703,-17.187248,-16.180202,-4.503055,12.533484,13.309335,23.988047,28.305647,28.269361,24.279814,24.148254,13.679781,-28.691423,-17.076122
10600,-42.318794,-26.346437,-40.857925,-7.19365,-6.2645493,-10.904449,7.8761635,20.09665,28.393484,20.609642,26.479986,22.967894,22.142033,13.718785,25.422657,14.730519,-16.047613,-9.199078,-23.104795,3.1911156,14.604439,21.631504,22.514545,23.072384,23.738638,22.396069,21.608654,25.941477,-44.455086,-28.624252,-33.590145,-36.037487,-6.884633,-17.106726,-16.081715,-4.4100647,12.614634,13.2863655,24.017942,28.243244,28.116737,24.226912,24.109945,13.548005,-28.836794,-17.175842
10700,-42.36671,-26.732468,-41.024277,-7.3607354,-6.712243,-11.334366,7.8957925,20.090483,28.36402,20.537806,26.42513,22.936241,22.097136,13.609282,25.25399,14.612319,-17.027327,-9.676782,-23.507364,3.1918745,14.6597805,21.598602,22.392658,23.007275,23.406565,22.311012,21.573902,25.754774,-44.91484,-29.154572,-33.749474,-35.98767,-6.958071,-16.979078,-16.095999,-4.4598265,12.498128,13.402066,23.907108,28.167017,27.683764,23.828264,23.8445,13.748832,-28.970972,-17.233389
10800,-42.942226,-26.507816,-41.162533,-7.356683,-6.506744,-11.25495,7.807784,20.050186,28.394287,20.509554,26.37425,22.90496,22.099268,13.567917,25.2933,14.566618,-17.386839,-10.121361,-23.426622,3.0188835,14.588611,21.536242,22.400064,23.022455,23.500923,22.298536,21.491444,25.64138,-44.981846,-28.874338,-33.859226,-36.456932,-6.913928,-17.041239,-16.278042,-4.4585857,12.571762,13.2166,23.892622,28.213806,28.03971,24.007917,23.934908,13.5887575,-28.940458,-17.256163
10900,-42.48744,-25.969471,-41.096878,-7.0779305,-6.6109304,-11.4355135,7.820216,20.362963,28.719997,20.623005,26.554956,23.028353,22.180344,13.758716,25.484625,14.877217,-16.833864,-9.2554455,-23.004213,3.1411462,14.78977,21.86934,22.627174,23.07655,23.461016,22.44793,21.718464,25.97038,-44.55348,-28.509438,-33.49656,-36.09399,-6.787853,-16.87012,-16.193846,-4.266859,12.691247,13.493924,23.978714,28.306562,27.979267,24.120852,24.132675,13.558309,-29.165363,-17.59035
11000,-42.414146,-25.865356,-41.097054,-7.066067,-6.6084113,-11.533276,7.931547,20.478018,28.8694,20.768888,26.69858,23.080082,22.25116,13.779567,25.357357,15.011837,-16.194485,-9.162602,-22.517706,3.2322257,14.82237,21.884535,22.681444,23.258755,23.729334,22.479029,21.730438,26.026089,-44.70727,-28.180656,-33.30182,-35.90525,-6.536815,-16.7789,-15.958229,-4.286278,12.857464,13.480896,24.05676,28.36476,28.279327,24.308819,24.405668,13.8038025,-29.689304,-18.493889
11100,-42.457558,-25.403296,-41.46336,-7.28772,-6.556357,-11.498244,7.784005,20.157257,28.538074,20.580736,26.503147,22.940086,22.150862,13.602722,25.338419,15.001832,-16.54664,-9.699371,-23.134491,2.9642277,14.719943,21.832245,22.576603,23.159098,23.727762,22.366825,21.675507,25.862976,-44.958904,-28.610119,-33.94657,-36.87108,-6.774794,-16.91351,-16.075764,-4.4133496,12.662469,13.3267975,23.976822,28.193905,27.880243,24.060984,23.931952,13.838492,-29.897387,-18.990726
11200,-42.692562,-26.036764,-42.03141,-7.2302556,-6.722622,-11.900248,7.8602214,20.515617,28.694675,20.63746,26.633854,22.96485,22.1986,13.631713,25.359404,14.935088,-16.91681,-9.79594,-23.355972,3.0090861,14.728336,21.839294,22.62086,23.206964,23.608875,22.461296,21.648975,25.806879,-44.986996,-28.837706,-33.784252,-36.241493,-6.9166703,-16.756882,-16.38875,-4.3166842,12.81392,13.441576,23.95594,28.311226,28.246155,24.23489,24.246046,13.794756,-30.230711,-19.260012
11300,-42.771366,-25.768335,-41.88225,-7.1224203,-7.1339955,-12.026058,7.7746253,20.334738,28.485184,20.629932,26.5599,22.966137,22.141857,13.68433,25.30625,14.949144,-17.492493,-9.293065,-23.335012,3.2018318,14.673106,21.622828,22.494572,23.071356,23.493235,22.315811,21.49497,25.729551,-45.44113,-29.07304,-33.903946,-36.270214,-6.9660015,-16.956373,-16.08938,-4.5001826,12.566395,13.542738,23.932207,28.2369,28.056608,24.269081,24.0789,13.645389,-30.18746,-19.5703
11400,-43.076607,-26.584675,-42.623028,-7.449083,-7.1800184,-12.297987,7.8104377,20.540112,28.563705,20.662828,26.547867,22.963953,22.182728,13.694011,25.287155,14.950931,-17.646454,-9.700542,-23.710922,3.1055458,14.729807,21.669958,22.519201,23.108011,23.408802,22.31915,21.527685,25.750511,-45.602932,-29.106495,-33.68622,-35.840023,-6.920342,-16.86112,-16.41683,-4.3968487,12.62928,13.450943,23.873606,28.28974,27.87293,24.038157,23.867933,13.682803,-30.281979,-19.69356
11500,-43.22816,-26.699104,-42.98173,-7.6401277,-7.7943983,-13.479822,7.7739973,20.397783,28.626902,20.54772,26.395752,22.82034,22.056734,13.521676,25.219814,14.742068,-20.787111,-10.329163,-24.671223,3.0938714,14.6151085,21.592804,22.367987,22.85255,23.270773,22.192738,21.456451,25.645006,-46.892807,-29.602896,-33.883926,-36.55517,-7.1139765,-16.879807,-16.36919,-4.480395,12.390102,13.326127,23.839132,28.2548,28.10907,24.090862,24.033396,13.658618,-30.41351,-20.00636
11600,-43.994682,-27.098988,-43.578445,-8.054234,-8.191639,-13.789257,7.506414,20.10654,28.477945,20.354696,26.126648,22.641634,21.850285,13.341942,24.94956,14.560321,-21.367899,-10.6744995,-24.892519,2.8220925,14.31013,21.308432,22.157774,22.612497,23.315653,22.022612,21.295982,25.343575,-47.171474,-29.820135,-34.14853,-37.039635,-7.3446364,-17.142778,-16.47107,-4.713033,12.074553,13.092878,23.687418,27.9915,27.785896,23.811779,23.809525,13.440666,-30.5638,-20.180895
11700,-44.21448,-27.347656,-44.34915,-8.441512,-8.605653,-14.370735,7.1452947,19.96138,28.16039,20.216795,26.021975,22.488153,21.685848,13.104224,24.94671,14.546848,-21.57847,-10.636788,-25.631216,2.767374,14.098901,21.199167,22.002962,22.585392,22.959702,21.709951,21.162346,25.239128,-47.71778,-30.37588,-34.523117,-37.639996,-8.022598,-17.386381,-16.669926,-5.0141034,11.895169,12.981086,23.478212,27.723938,27.340715,23.477217,23.681772,13.343222,-30.574833,-20.210213
11800,-44.07581,-27.309631,-43.980457,-8.201434,-8.651801,-14.571718,7.214236,20.168873,28.43011,20.327496,26.151073,22.477201,21.727592,13.123142,24.866364,14.630697,-21.807816,-11.01766,-25.558676,2.6786299,14.217373,21.117155,21.944292,22.583263,22.834396,21.7474,21.127008,25.398167,-47.84483,-30.360754,-34.697823,-37.230713,-7.9146543,-17.394814,-16.973108,-5.047558,11.895643,13.036757,23.520006,27.902477,27.759224,23.85456,23.818317,13.452842,-30.566168,-20.226206
11900,-43.951977,-27.672375,-44.114964,-8.487149,-8.88697,-14.672268,7.156789,20.053436,28.289387,20.222393,26.018993,22.474041,21.677368,13.088237,24.924997,14.541459,-22.115149,-11.047265,-25.598701,2.8732872,14.335304,21.339537,22.07337,22.563837,23.152864,21.82722,21.144163,25.23978,-47.914577,-30.50248,-34.900913,-37.767555,-7.670531,-17.265472,-16.687473,-4.9613075,12.070052,13.029946,23.499617,27.724545,27.360273,23.398796,23.547794,13.224801,-30.601206,-20.328228
12000,-44.16899,-27.161077,-44.54365,-8.409972,-8.7706,-14.066504,7.1172113,19.805836,28.425955,20.163092,25.92776,22.42675,21.64576,13.016788,24.818823,14.503895,-21.884825,-11.05673,-25.808569,2.6834428,14.147179,21.1423,21.924118,22.44308,22.800102,21.644753,21.082258,25.263865,-48.103676,-30.627645,-34.852764,-37.58209,-8.005056,-17.549175,-17.02981,-5.188268,11.816315,12.897075,23.351074,27.716898,27.365217,23.529156,23.645788,13.240524,-30.650106,-20.224115
