,Unnamed: 0,Category,CategorySpecific,ageMin,ageMax,ageRange,ageRes,TSid,Lat,Lon,Archive,Proxy,Unit,Interp,Season,Direction,bin0ka,bin1ka,bin2ka,bin3ka,bin4ka,bin5ka,bin6ka,bin7ka,bin8ka,bin9ka,bin10ka,bin11ka,TotalDirection,TotalSlope,TotalSlopeSig,EarlyDirection,EarlySlope,EarlySlopeSig,LateDirection,LateSlope,LateSlopeSig,geometry,index_right,Continent,Type,Name,Acronym
0,0,Other,Other (uncalibrated),20.0,4070.0,4050.0,24.84662576687117,WEB720c22d6,29.3,87.2,Lake Sediment,Hybrid Grain Size,unitless,P,,negative,-0.0,-0.22142244108756254,-0.23921531581781305,0.4645917290676535,0.5737652937705489,,,,,,,,,,,,,,decreasing,-0.12258911148047005,-0.12258911148047005,POINT (87.19999999999999 29.3),34.0,ASIA,Land,Tibetan-Plateau,TIB
1,1,Other,Other (uncalibrated),20.0,4070.0,4050.0,24.84662576687117,WEB820982f9,29.3,87.2,Lake Sediment,Hybrid,mm/day,P,,positive,0.0,-0.22843098436467446,-0.2338698173257381,0.470459051132008,0.5601997949895589,,,,,,,,,,,,,,decreasing,-0.12451012350608695,-0.12451012350608695,POINT (87.19999999999999 29.3),34.0,ASIA,Land,Tibetan-Plateau,TIB
2,2,Other,Other (uncalibrated),70.6,11615.5,11544.9,288.6225,WEBc6ac156d,39.0176,73.5327,Lake Sediment,,unitless,P-E,,positive,0.0,0.2457600199911585,0.3797212015551577,0.2944836318863775,0.6379640115725794,0.8792819792204187,2.789699916905896,2.3785585026051685,2.6715326992292527,1.3686265156818438,,2.878636800931787,decreasing,-0.2743289094367235,-0.2743289094367235,,,,no trend,-0.1283895858888314,0.0,POINT (73.53270000000001 39.01759999999999),32.0,ASIA,Land,W.C.Asia,WCA
3,3,Pollen,Pollen (uncalibrated),212.55,11544.42,11331.87,290.5607692307692,WEB843e2ae7,-52.9035,-73.8019,Lake Sediment,pollen,%,P,,positive,0.0,0.2328901605890037,-0.1031315882597279,0.06592437878550894,0.3905467645064277,0.1935909447576063,0.6908920424607236,0.8643483707341215,1.281386901488969,2.6124847910361706,2.55054478518534,0.7049246474533131,decreasing,-0.2174771579912055,-0.2174771579912055,decreasing,-0.3133862589238903,-0.3133862589238903,no trend,-0.04447786342353406,0.0,POINT (-73.8019 -52.9035),15.0,SOUTH-AMERICA,Land,S.South-America,SSA
4,4,Other,Other (uncalibrated),665.0,11656.0,10991.0,164.044776119403,WEBc7a2aaa7,-52.9035,-73.8019,Lake Sediment,,g/cm2/ka,P,,positive,0.0,0.389687082806317,0.22533517949690066,0.3079091364691594,0.614867643730718,-0.08587376700398698,0.3712213167086292,1.6831232359305814,1.6646986199668132,2.841638489323073,2.7457309722499943,1.619738024389081,decreasing,-0.2389294979602237,-0.2389294979602237,decreasing,-0.3435416356757002,-0.3435416356757002,no trend,0.0325037515511045,0.0,POINT (-73.8019 -52.9035),15.0,SOUTH-AMERICA,Land,S.South-America,SSA
5,5,Pollen,Pollen (calibrated),830.0,8867.0,8037.0,143.51785714285714,WEB1392075b,-3.43,29.62,Peat,pollen,mm/a,P,,positive,0.0,0.44289831872371777,1.1200690030230032,0.7548711164709373,-0.23058349803463776,0.6389352794702813,-0.13783482843411302,0.1558692919675485,0.08345139958018231,,,,no trend,0.02408608962172551,0.0,,,,no trend,-0.09134439991566932,0.0,POINT (29.62 -3.43),24.0,AFRICA,Land,S.Eastern-Africa,SEAF
6,6,Pollen,Pollen (uncalibrated),0.0,9990.0,9990.0,13.39142091152815,GHab77d673,39.010999999999996,103.34,LakeSediment,pollen,grains/g,P-E,summerOnly,positive,0.0,-0.7815647447648422,-0.874555063740602,-1.2688730983133958,-1.3449445345741264,-1.6003381555784413,-2.1400692597677944,-0.32717723268733445,-0.29165648391466337,-0.18920445233507646,,,no trend,0.005778138643272249,0.0,decreasing,-0.5603443256659532,-0.5603443256659532,increasing,0.28779752621700583,0.28779752621700583,POINT (103.34 39.011),33.0,ASIA,Land,E.C.Asia,ECA
7,7,Pollen,Pollen (uncalibrated),10.0,11560.0,11550.0,14.171779141104295,GHb76a109a,39.010999999999996,103.34,LakeSediment,pollen,percent,P-E,summerOnly,positive,0.0,-0.13752842838036122,0.6194051884567542,0.6280323059675523,-0.17953016144726242,-0.4269726747013417,-0.5785861689661829,0.7970182491579297,1.0268960077694995,1.1056339602242704,0.5577424851831062,0.5600286308156116,decreasing,-0.07196867198566041,-0.07196867198566041,decreasing,-0.14367960079453942,-0.14367960079453942,increasing,0.06368450373646059,0.06368450373646059,POINT (103.34 39.011),33.0,ASIA,Land,E.C.Asia,ECA
8,8,Pollen,Pollen (calibrated),0.0,12000.0,12000.0,99.17355371900827,PYT1CYRXU61,-28.53,28.87,Lake Sediment,pollen,mm,P,,positive,0.0,1.3495804885512546,1.5615661598730013,2.4388510926819857,2.3303921298555648,1.4843417375825338,1.3765319662693654,2.4901490900701524,2.5669245402586887,1.8498508919565015,1.2964237952873192,-0.12623057252364878,no trend,-0.00199631229459503,0.0,increasing,0.3361721231084088,0.3361721231084088,decreasing,-0.3137007904864243,-0.3137007904864243,POINT (28.87 -28.53),26.0,AFRICA,Land,E.Southern-Africa,ESAF
9,9,Leaf Wax (dD),Leaf Wax (dD),53.0,11887.0,11834.0,124.56842105263156,WEB8d973712,33.7,79.17,Lake Sediment,dDwax,permil,P,,negative,-0.0,1.1090032029622452,0.4463433220713433,1.417736695361991,2.2180064059244904,1.8930237823458105,1.96556454653748,2.006767700598348,2.5485746683459287,2.5942753497866806,2.32921139743032,2.4251828284558985,decreasing,-0.2092976902226688,-0.2092976902226688,decreasing,-0.0954797112561086,-0.0954797112561086,decreasing,-0.4092760705763585,-0.4092760705763585,POINT (79.17 33.7),34.0,ASIA,Land,Tibetan-Plateau,TIB
10,10,Other,Other (uncalibrated),0.0,4653.5,4653.5,10.67316513761468,WEB5699be91,4.499,-73.935,Lake Sediment,sediment,%,P,,positive,0.0,0.0892736687835165,1.3271468688168353,0.963650037759826,-0.5480171783047771,,,,,,,,,,,,,,decreasing,-0.08920662214746078,-0.08920662214746078,POINT (-73.935 4.498999999999999),9.0,SOUTH-AMERICA,Land,N.W.South-America,NWS
11,11,Other,Other (uncalibrated),0.0,4653.5,4653.5,10.67316513761468,WEB03637fad,4.499,-73.935,Lake Sediment,sediment,%,P,,positive,0.0,-0.4202852860148125,0.7720203767817861,0.7610891615259694,1.1242815099374397,,,,,,,,,,,,,,decreasing,-0.3194894636812096,-0.3194894636812096,POINT (-73.935 4.498999999999999),9.0,SOUTH-AMERICA,Land,N.W.South-America,NWS
12,12,Other,Other (uncalibrated),0.0,4653.5,4653.5,10.67316513761468,WEB877b4230,4.499,-73.935,Lake Sediment,sediment,%,P-E,,negative,-0.0,0.1281454408034406,0.8100970745467713,0.537145072624146,-0.19839382402577266,,,,,,,,,,,,,,decreasing,-0.047861254537802614,-0.047861254537802614,POINT (-73.935 4.498999999999999),9.0,SOUTH-AMERICA,Land,N.W.South-America,NWS
13,13,Other,Other (uncalibrated),0.0,4653.5,4653.5,10.67316513761468,WEBfdaf6c10,4.499,-73.935,Lake Sediment,sediment,Atomic ratio,P-E,,negative,-0.0,-0.23099123175871905,0.6155092790196032,-0.4636444622762266,-1.6378986315160626,,,,,,,,,,,,,,increasing,0.2760431269250217,0.2760431269250217,POINT (-73.935 4.498999999999999),9.0,SOUTH-AMERICA,Land,N.W.South-America,NWS
14,14,Other,Other (uncalibrated),27.8,5586.3,5558.5,15.440277777777776,WEBfb1da3c4,-27.6,32.408,Lake Sediment,Element Ratio,unitless,P-E,,negative,-0.0,-0.43772838821896987,-2.1914555534572657,-1.1328412019130574,-0.4868060484725762,-0.15823401284397345,,,,,,,,,,,,,increasing,0.21034609357553025,0.21034609357553025,POINT (32.408 -27.6),26.0,AFRICA,Land,E.Southern-Africa,ESAF
15,15,Other,Other (uncalibrated),27.8,5586.3,5558.5,15.440277777777776,WEB039f5197,-27.6,32.408,Lake Sediment,Element Ratio,unitless,P,,positive,0.0,-0.9779748751877444,-1.6586435011694851,-1.4330081387200517,-0.8486716876353945,-1.048885952838035,,,,,,,,,,,,,increasing,0.3068336915906293,0.3068336915906293,POINT (32.408 -27.6),26.0,AFRICA,Land,E.Southern-Africa,ESAF
16,16,Other,Other (uncalibrated),4021.0,9120.0,5099.0,36.94927536231884,WEBbbb12b1c,31.62,92.06,Lake Sediment,d18O,permil (PDB),P,,negative,,,,,,,,,,,,,decreasing,-0.5450618011004486,-0.5450618011004486,decreasing,-0.2220647802527925,-0.2220647802527925,,,,POINT (92.06 31.62),34.0,ASIA,Land,Tibetan-Plateau,TIB
17,17,Other,Other (uncalibrated),4048.0,9073.0,5025.0,59.11764705882353,WEB8b32a2e0,31.62,92.06,Lake Sediment,Hybrid,unitless,P-E,,positive,,,,,,,,,,,,,decreasing,-0.5631402986343367,-0.5631402986343367,,,,,,,POINT (92.06 31.62),34.0,ASIA,Land,Tibetan-Plateau,TIB
18,18,Leaf Wax (dD),Leaf Wax (dD),140.0,11960.0,11820.0,157.6,WEBecd5f91f,1.155,98.066,MarineSediment,dDwax,permil (VSMOW),P,,negative,-0.0,2.086672021128796,0.7070002279609731,1.2823599640383638,1.0917082171724823,0.4503863811749785,0.6950844937818554,2.617408548596634,1.2653374866396243,0.8470708991277429,1.3601770035754572,2.1845512661715483,no trend,-0.06143601498684144,0.0,no trend,-0.05257345755085504,0.0,no trend,0.04990579573610388,0.0,POINT (98.066 1.155),38.0,ASIA,Land-Ocean,S.E.Asia,SEA
19,19,Other,Other (uncalibrated),0.0,11142.38,11142.38,7.3112729658792635,WEB98bf1888,-10.7002,-76.0605,Lake Sediment,d18Ocarbonate,permil (VPDB),P,,negative,-0.0,-0.5327170655002891,-0.5171162379677152,-0.8079196132739359,-1.1813866001245272,-1.7996477482562054,-2.255668803104394,-2.2559230325709314,-2.6249443669492747,-3.3614105336403908,-2.263399819490015,0.24869991045334605,increasing,0.2911939124252992,0.2911939124252992,increasing,0.010471229005423412,0.010471229005423412,increasing,0.30620970026441,0.30620970026441,POINT (-76.0605 -10.7002),9.0,SOUTH-AMERICA,Land,N.W.South-America,NWS
20,20,Leaf Wax (dD),Leaf Wax (dD),0.0,11460.0,11460.0,272.85714285714283,WEB1afc8afc,19.9734,90.0339,Marine Sediment,dDwax,permil (SMOW),P,,negative,-0.0,-0.2044806351146504,-0.1918223100837444,0.3235704956897043,0.02091375439888732,0.5170015561118277,0.9329481896524968,2.0526384251622867,1.886386778351683,0.8697170438339931,-0.3887248843939386,-1.9067925063279247,no trend,-0.04515444749016394,0.0,increasing,0.4954670583379973,0.4954670583379973,decreasing,-0.1254013644552039,-0.1254013644552039,POINT (90.03389999999999 19.9734),37.0,ASIA,Land,S.Asia,SAS
21,21,Speleothem,Speleothem (d18O),382.3386381,8658.143893,8275.8052549,21.55157618463542,S2LRZeoXM3hqeb,51.1,7.9,Speleothem,d18O,permil,P-E,winterOnly,negative,-0.0,1.5359892438723866,1.1164336936869927,0.4995380917269837,0.3399166126301126,0.3261004359509637,0.5437826004925004,-0.2764890749338508,0.06744810186800076,,,,increasing,0.18416621667987376,0.18416621667987376,,,,increasing,0.2056684379295504,0.2056684379295504,POINT (7.9 51.1),17.0,EUROPE,Land,West&Central-Europe,WCE
22,22,Other,Other (uncalibrated),779.0,10422.0,9643.0,200.89583333333331,LS12WOQU,64.21,-145.82,LakeSediment,,permil,M,,increase,0.0,-0.5378206542134092,-1.9911055959248605,-1.1611372548167218,-1.3387057588572902,-1.3913186489433846,-0.9178026381685348,-1.3913186489433844,-0.8125768579963465,-0.8388833030393936,-1.1019477534698654,,increasing,0.0746907845081363,0.0746907845081363,no trend,0.035378324903761874,0.0,increasing,0.3939060065992155,0.3939060065992155,POINT (-145.82 64.20999999999999),1.0,NORTH-AMERICA,Land,N.W.North-America,NWN
23,23,Leaf Wax (dD),Leaf Wax (dD),177.0,10432.0,10255.0,189.90740740740745,WEB1f2d5fc5,7.3045,134.4385,Lake Sediment,dDwax,permil (VSMOW),P,,negative,-0.0,-0.5736279655007046,-1.080986822362808,0.14227049216905524,-0.3429346336892258,-1.6887737921714292,0.19541383532851345,0.2306293036871904,0.22390635063689746,0.22742789747276515,0.20181664775736372,,decreasing,-0.032017626469966684,-0.032017626469966684,no trend,-0.0026519528311711948,0.0,increasing,0.2175598411743359,0.2175598411743359,POINT (134.4385 7.304499999999998),,,,,
