,Name,Count,geometry,EarlySlope,LateSlope,bin6ka
0,Tibetan-Plateau,11,"POLYGON ((75 30, 75 30.4375, 75 30.875, 75 31.3125, 75 31.75, 75 32.1875, 75 32.625, 75 33.0625, 75 33.5, 75 33.9375, 75 34.375, 75 34.8125, 75 35.25, 75 35.6875, 75 36.125, 75 36.5625, 75 37, 75.43859649122807 37, 75.87719298245614 37, 76.31578947368421 37, 76.75438596491227 37, 77.19298245614036 37, 77.63157894736842 37, 78.07017543859649 37, 78.50877192982456 37, 78.94736842105263 37, 79.3859649122807 37, 79.82456140350877 37, 80.26315789473684 37, 80.70175438596492 37, 81.14035087719299 37, 81.57894736842105 37, 82.01754385964912 37, 82.45614035087719 37, 82.89473684210526 37, 83.33333333333333 37, 83.7719298245614 37, 84.21052631578948 37, 84.64912280701755 37, 85.08771929824562 37, 85.52631578947368 37, 85.96491228070175 37, 86.40350877192982 37, 86.84210526315789 37, 87.28070175438596 37, 87.71929824561403 37, 88.15789473684211 37, 88.59649122807018 37, 89.03508771929825 37, 89.47368421052632 37, 89.91228070175438 37, 90.35087719298245 37, 90.78947368421052 37, 91.2280701754386 37, 91.66666666666666 37, 92.10526315789474 37, 92.54385964912281 37, 92.98245614035088 37, 93.42105263157895 37, 93.85964912280701 37, 94.29824561403508 37, 94.73684210526315 37, 95.17543859649123 37, 95.6140350877193 37, 96.05263157894737 37, 96.49122807017544 37, 96.92982456140351 37, 97.36842105263158 37, 97.80701754385964 37, 98.24561403508773 37, 98.68421052631578 37, 99.12280701754386 37, 99.56140350877193 37, 100 37, 100 36.5625, 100 36.125, 100 35.6875, 100 35.25, 100 34.8125, 100 34.375, 100 33.9375, 100 33.5, 100 33.0625, 100 32.625, 100 32.1875, 100 31.75, 100 31.3125, 100 30.875, 100 30.4375, 100 30, 99.58620689655173 29.86206896551724, 99.17241379310344 29.72413793103448, 98.75862068965517 29.58620689655172, 98.34482758620689 29.44827586206896, 97.93103448275862 29.31034482758621, 97.51724137931035 29.17241379310345, 97.10344827586206 29.03448275862069, 96.68965517241379 28.89655172413793, 96.27586206896552 28.75862068965517, 95.86206896551724 28.62068965517241, 95.44827586206897 28.48275862068965, 95.03448275862068 28.3448275862069, 94.62068965517241 28.20689655172414, 94.20689655172414 28.06896551724138, 93.79310344827586 27.93103448275862, 93.37931034482759 27.79310344827586, 92.96551724137932 27.6551724137931, 92.55172413793103 27.51724137931035, 92.13793103448276 27.37931034482759, 91.72413793103448 27.24137931034483, 91.31034482758621 27.10344827586207, 90.89655172413794 26.96551724137931, 90.48275862068965 26.82758620689655, 90.06896551724138 26.68965517241379, 89.65517241379311 26.55172413793104, 89.24137931034483 26.41379310344828, 88.82758620689656 26.27586206896552, 88.41379310344827 26.13793103448276, 88 26, 87.58064516129032 26.12903225806452, 87.16129032258064 26.25806451612903, 86.74193548387096 26.38709677419355, 86.3225806451613 26.51612903225806, 85.90322580645162 26.64516129032258, 85.48387096774194 26.7741935483871, 85.06451612903226 26.90322580645161, 84.64516129032258 27.03225806451613, 84.2258064516129 27.16129032258064, 83.80645161290323 27.29032258064516, 83.38709677419355 27.41935483870968, 82.96774193548387 27.54838709677419, 82.54838709677419 27.67741935483871, 82.12903225806451 27.80645161290322, 81.70967741935483 27.93548387096774, 81.29032258064517 28.06451612903226, 80.87096774193549 28.19354838709678, 80.45161290322581 28.32258064516129, 80.03225806451613 28.45161290322581, 79.61290322580645 28.58064516129032, 79.19354838709677 28.70967741935484, 78.7741935483871 28.83870967741936, 78.35483870967742 28.96774193548387, 77.93548387096774 29.09677419354839, 77.51612903225806 29.2258064516129, 77.09677419354838 29.35483870967742, 76.6774193548387 29.48387096774194, 76.25806451612902 29.61290322580645, 75.83870967741936 29.74193548387097, 75.41935483870968 29.87096774193548, 75 30))",-0.07687789061824869,-0.19928001833809417,1.2922699598722063
1,W.C.Asia,13,"POLYGON ((40 30, 40 30.42857142857143, 40 30.85714285714286, 40 31.28571428571428, 40 31.71428571428572, 40 32.14285714285715, 40 32.57142857142857, 40 33, 40 33.42857142857143, 40 33.85714285714285, 40 34.28571428571428, 40 34.71428571428572, 40 35.14285714285714, 40 35.57142857142857, 40 36, 40 36.42857142857143, 40 36.85714285714285, 40 37.28571428571428, 40 37.71428571428572, 40 38.14285714285714, 40 38.57142857142857, 40 39, 40 39.42857142857143, 40 39.85714285714285, 40 40.28571428571428, 40 40.71428571428572, 40 41.14285714285714, 40 41.57142857142857, 40 42, 40 42.42857142857143, 40 42.85714285714285, 40 43.28571428571428, 40 43.71428571428572, 40 44.14285714285714, 40 44.57142857142857, 40 45, 40.4375 45, 40.875 45, 41.3125 45, 41.75 45, 42.1875 45, 42.625 45, 43.0625 45, 43.5 45, 43.9375 45, 44.375 45, 44.8125 45, 45.25 45, 45.6875 45, 46.125 45, 46.5625 45, 47 45, 47.4375 45, 47.875 45, 48.3125 45, 48.75 45, 49.1875 45, 49.625 45, 50.0625 45, 50.5 45, 50.9375 45, 51.375 45, 51.8125 45, 52.25 45, 52.6875 45, 53.125 45, 53.5625 45, 54 45, 54.4375 45, 54.875 45, 55.3125 45, 55.75 45, 56.1875 45, 56.625 45, 57.0625 45, 57.5 45, 57.9375 45, 58.375 45, 58.8125 45, 59.25 45, 59.6875 45, 60.125 45, 60.5625 45, 61 45, 61.4375 45, 61.875 45, 62.3125 45, 62.75 45, 63.1875 45, 63.625 45, 64.0625 45, 64.5 45, 64.9375 45, 65.375 45, 65.8125 45, 66.25 45, 66.6875 45, 67.125 45, 67.5625 45, 68 45, 68.4375 45, 68.875 45, 69.3125 45, 69.75 45, 70.1875 45, 70.625 45, 71.0625 45, 71.5 45, 71.9375 45, 72.375 45, 72.8125 45, 73.25 45, 73.6875 45, 74.125 45, 74.5625 45, 75 45, 75 44.57142857142857, 75 44.14285714285715, 75 43.71428571428572, 75 43.28571428571428, 75 42.85714285714285, 75 42.42857142857143, 75 42, 75 41.57142857142857, 75 41.14285714285715, 75 40.71428571428572, 75 40.28571428571428, 75 39.85714285714286, 75 39.42857142857143, 75 39, 75 38.57142857142857, 75 38.14285714285715, 75 37.71428571428572, 75 37.28571428571428, 75 36.85714285714286, 75 36.42857142857143, 75 36, 75 35.57142857142857, 75 35.14285714285715, 75 34.71428571428572, 75 34.28571428571428, 75 33.85714285714286, 75 33.42857142857143, 75 33, 75 32.57142857142857, 75 32.14285714285715, 75 31.71428571428572, 75 31.28571428571428, 75 30.85714285714286, 75 30.42857142857143, 75 30, 74.57142857142857 30, 74.14285714285714 30, 73.71428571428571 30, 73.28571428571429 30, 72.85714285714286 30, 72.42857142857143 30, 72 30, 71.57142857142857 30, 71.14285714285714 30, 70.71428571428571 30, 70.28571428571429 30, 69.85714285714286 30, 69.42857142857143 30, 69 30, 68.57142857142857 30, 68.14285714285714 30, 67.71428571428571 30, 67.28571428571429 30, 66.85714285714286 30, 66.42857142857143 30, 66 30, 65.57142857142857 30, 65.14285714285714 30, 64.71428571428572 30, 64.28571428571429 30, 63.85714285714286 30, 63.42857142857143 30, 63 30, 62.57142857142857 30, 62.14285714285715 30, 61.71428571428572 30, 61.28571428571428 30, 60.85714285714286 30, 60.42857142857143 30, 60 30, 60 29.56666666666667, 60 29.13333333333333, 60 28.7, 60 28.26666666666667, 60 27.83333333333333, 60 27.4, 60 26.96666666666667, 60 26.53333333333333, 60 26.1, 60 25.66666666666666, 60 25.23333333333333, 60 24.8, 60 24.36666666666667, 60 23.93333333333333, 60 23.5, 59.6125 23.703125, 59.225 23.90625, 58.8375 24.109375, 58.45 24.3125, 58.0625 24.515625, 57.675 24.71875, 57.2875 24.921875, 56.9 25.125, 56.5125 25.328125, 56.125 25.53125, 55.7375 25.734375, 55.35 25.9375, 54.9625 26.140625, 54.575 26.34375, 54.1875 26.546875, 53.8 26.75, 53.4125 26.953125, 53.025 27.15625, 52.6375 27.359375, 52.25 27.5625, 51.8625 27.765625, 51.475 27.96875, 51.0875 28.171875, 50.7 28.375, 50.3125 28.578125, 49.925 28.78125, 49.5375 28.984375, 49.15000000000001 29.1875, 48.7625 29.390625, 48.375 29.59375, 47.9875 29.796875, 47.6 30, 47.17777777777778 30, 46.75555555555556 30, 46.33333333333334 30, 45.91111111111111 30, 45.48888888888889 30, 45.06666666666667 30, 44.64444444444445 30, 44.22222222222222 30, 43.8 30, 43.37777777777778 30, 42.95555555555556 30, 42.53333333333333 30, 42.11111111111111 30, 41.68888888888889 30, 41.26666666666667 30, 40.84444444444445 30, 40.42222222222222 30, 40 30))",0.3661763147204431,-0.03234818938183052,0.5843578417447863
2,S.South-America,3,"POLYGON ((-79 -56, -79 -55.57142857142857, -79 -55.14285714285715, -79 -54.71428571428572, -79 -54.28571428571428, -79 -53.85714285714285, -79 -53.42857142857143, -79 -53, -79 -52.57142857142857, -79 -52.14285714285715, -79 -51.71428571428572, -79 -51.28571428571428, -79 -50.85714285714286, -79 -50.42857142857143, -79 -50, -79 -49.57142857142857, -79 -49.14285714285715, -79 -48.71428571428572, -79 -48.28571428571428, -79 -47.85714285714286, -79 -47.42857142857143, -79 -47, -78.58333333333333 -47, -78.16666666666667 -47, -77.75 -47, -77.33333333333333 -47, -76.91666666666667 -47, -76.5 -47, -76.08333333333333 -47, -75.66666666666667 -47, -75.25 -47, -74.83333333333333 -47, -74.41666666666667 -47, -74 -47, -73.58333333333333 -47, -73.16666666666667 -47, -72.75 -47, -72.33333333333333 -47, -71.91666666666667 -47, -71.5 -47, -71.4235294117647 -46.58823529411764, -71.34705882352941 -46.1764705882353, -71.27058823529411 -45.76470588235294, -71.19411764705882 -45.35294117647059, -71.11764705882354 -44.94117647058823, -71.04117647058824 -44.52941176470588, -70.96470588235294 -44.11764705882353, -70.88823529411765 -43.70588235294117, -70.81176470588235 -43.29411764705883, -70.73529411764706 -42.88235294117647, -70.65882352941176 -42.47058823529412, -70.58235294117647 -42.05882352941177, -70.50588235294119 -41.64705882352941, -70.42941176470589 -41.23529411764706, -70.35294117647059 -40.82352941176471, -70.2764705882353 -40.41176470588236, -70.2 -40, -69.76969696969697 -40, -69.33939393939394 -40, -68.90909090909091 -40, -68.47878787878788 -40, -68.04848484848485 -40, -67.61818181818182 -40, -67.18787878787879 -40, -66.75757575757576 -40, -66.32727272727273 -40, -65.89696969696971 -40, -65.46666666666667 -40, -65.03636363636363 -40, -64.60606060606061 -40, -64.17575757575757 -40, -63.74545454545455 -40, -63.31515151515151 -40, -62.88484848484848 -40, -62.45454545454545 -40, -62.02424242424242 -40, -61.59393939393939 -40, -61.16363636363636 -40, -60.73333333333333 -40, -60.3030303030303 -40, -59.87272727272727 -40, -59.44242424242425 -40, -59.01212121212122 -40, -58.58181818181818 -40, -58.15151515151516 -40, -57.72121212121212 -40, -57.29090909090909 -40, -56.86060606060606 -40, -56.43030303030303 -40, -56 -40, -56 -40.43243243243244, -56 -40.86486486486486, -56 -41.2972972972973, -56 -41.72972972972973, -56 -42.16216216216216, -56 -42.5945945945946, -56 -43.02702702702702, -56 -43.45945945945946, -56 -43.89189189189189, -56 -44.32432432432432, -56 -44.75675675675676, -56 -45.18918918918919, -56 -45.62162162162162, -56 -46.05405405405406, -56 -46.48648648648648, -56 -46.91891891891892, -56 -47.35135135135135, -56 -47.78378378378378, -56 -48.21621621621622, -56 -48.64864864864865, -56 -49.08108108108108, -56 -49.51351351351352, -56 -49.94594594594595, -56 -50.37837837837838, -56 -50.81081081081081, -56 -51.24324324324324, -56 -51.67567567567568, -56 -52.10810810810811, -56 -52.54054054054054, -56 -52.97297297297298, -56 -53.4054054054054, -56 -53.83783783783784, -56 -54.27027027027027, -56 -54.7027027027027, -56 -55.13513513513514, -56 -55.56756756756756, -56 -56, -56.43396226415094 -56, -56.86792452830188 -56, -57.30188679245283 -56, -57.73584905660378 -56, -58.16981132075472 -56, -58.60377358490566 -56, -59.0377358490566 -56, -59.47169811320754 -56, -59.90566037735849 -56, -60.33962264150944 -56, -60.77358490566038 -56, -61.20754716981132 -56, -61.64150943396226 -56, -62.0754716981132 -56, -62.50943396226415 -56, -62.9433962264151 -56, -63.37735849056604 -56, -63.81132075471698 -56, -64.24528301886792 -56, -64.67924528301887 -56, -65.11320754716981 -56, -65.54716981132076 -56, -65.98113207547169 -56, -66.41509433962264 -56, -66.84905660377359 -56, -67.28301886792453 -56, -67.71698113207547 -56, -68.15094339622641 -56, -68.58490566037736 -56, -69.01886792452831 -56, -69.45283018867924 -56, -69.88679245283019 -56, -70.32075471698113 -56, -70.75471698113208 -56, -71.18867924528303 -56, -71.62264150943396 -56, -72.05660377358491 -56, -72.49056603773585 -56, -72.9245283018868 -56, -73.35849056603774 -56, -73.79245283018868 -56, -74.22641509433961 -56, -74.66037735849056 -56, -75.09433962264151 -56, -75.52830188679245 -56, -75.9622641509434 -56, -76.39622641509433 -56, -76.83018867924528 -56, -77.26415094339623 -56, -77.69811320754717 -56, -78.13207547169812 -56, -78.56603773584905 -56, -79 -56))",-0.3133862589238903,0.019751802071876202,0.3712213167086292
3,S.Eastern-Africa,20,"POLYGON ((27 -10, 27 -9.560714285714285, 27 -9.121428571428572, 27 -8.682142857142857, 27 -8.242857142857142, 27 -7.803571428571429, 27 -7.364285714285714, 27 -6.925, 27 -6.485714285714286, 27 -6.046428571428571, 27 -5.607142857142857, 27 -5.167857142857143, 27 -4.728571428571428, 27 -4.289285714285714, 27 -3.85, 27 -3.410714285714285, 27 -2.971428571428571, 27 -2.532142857142857, 27 -2.092857142857142, 27 -1.653571428571428, 27 -1.214285714285714, 27 -0.7749999999999986, 27 -0.3357142857142854, 27 0.1035714285714295, 27 0.5428571428571445, 27 0.9821428571428577, 27 1.421428571428573, 27 1.860714285714288, 27 2.3, 27.43333333333333 2.3, 27.86666666666667 2.3, 28.3 2.3, 28.73333333333333 2.3, 29.16666666666667 2.3, 29.6 2.3, 30.03333333333333 2.3, 30.46666666666667 2.3, 30.9 2.3, 31.33333333333334 2.3, 31.76666666666667 2.3, 32.2 2.3, 32.63333333333333 2.3, 33.06666666666666 2.3, 33.5 2.3, 33.93333333333334 2.3, 34.36666666666667 2.3, 34.8 2.3, 35.23333333333333 2.3, 35.66666666666667 2.3, 36.1 2.3, 36.53333333333333 2.3, 36.96666666666667 2.3, 37.4 2.3, 37.83333333333334 2.3, 38.26666666666667 2.3, 38.7 2.3, 39.13333333333333 2.3, 39.56666666666666 2.3, 40 2.3, 40.43333333333334 2.3, 40.86666666666667 2.3, 41.3 2.3, 41.73333333333333 2.3, 42.16666666666667 2.3, 42.6 2.3, 43.03333333333333 2.3, 43.46666666666667 2.3, 43.90000000000001 2.3, 44.33333333333334 2.3, 44.76666666666667 2.3, 45.2 2.3, 45.63333333333333 2.3, 46.06666666666666 2.3, 46.5 2.3, 46.5 1.860714285714286, 46.5 1.421428571428571, 46.5 0.9821428571428568, 46.5 0.5428571428571425, 46.5 0.1035714285714282, 46.5 -0.3357142857142863, 46.5 -0.7750000000000004, 46.5 -1.214285714285715, 46.5 -1.653571428571429, 46.5 -2.092857142857143, 46.5 -2.532142857142857, 46.5 -2.971428571428572, 46.5 -3.410714285714286, 46.5 -3.850000000000001, 46.5 -4.289285714285715, 46.5 -4.72857142857143, 46.5 -5.167857142857144, 46.5 -5.607142857142859, 46.5 -6.046428571428572, 46.5 -6.485714285714287, 46.5 -6.925000000000002, 46.5 -7.364285714285715, 46.5 -7.80357142857143, 46.5 -8.242857142857144, 46.5 -8.682142857142857, 46.5 -9.121428571428574, 46.5 -9.560714285714287, 46.5 -10, 46.06666666666667 -10, 45.63333333333333 -10, 45.2 -10, 44.76666666666667 -10, 44.33333333333334 -10, 43.9 -10, 43.46666666666667 -10, 43.03333333333333 -10, 42.6 -10, 42.16666666666666 -10, 41.73333333333333 -10, 41.3 -10, 40.86666666666667 -10, 40.43333333333334 -10, 40 -10, 39.56666666666666 -10, 39.13333333333333 -10, 38.7 -10, 38.26666666666667 -10, 37.83333333333333 -10, 37.4 -10, 36.96666666666667 -10, 36.53333333333333 -10, 36.1 -10, 35.66666666666666 -10, 35.23333333333333 -10, 34.8 -10, 34.36666666666667 -10, 33.93333333333334 -10, 33.5 -10, 33.06666666666666 -10, 32.63333333333333 -10, 32.2 -10, 31.76666666666667 -10, 31.33333333333333 -10, 30.9 -10, 30.46666666666667 -10, 30.03333333333333 -10, 29.6 -10, 29.16666666666666 -10, 28.73333333333333 -10, 28.3 -10, 27.86666666666667 -10, 27.43333333333333 -10, 27 -10))",0.0,-0.05181922974300919,1.2038585308576921
4,E.C.Asia,10,"POLYGON ((75 37, 75 37.42105263157895, 75 37.8421052631579, 75 38.26315789473684, 75 38.68421052631579, 75 39.10526315789474, 75 39.52631578947368, 75 39.94736842105263, 75 40.36842105263158, 75 40.78947368421053, 75 41.21052631578947, 75 41.63157894736842, 75 42.05263157894737, 75 42.47368421052632, 75 42.89473684210526, 75 43.31578947368421, 75 43.73684210526316, 75 44.1578947368421, 75 44.57894736842105, 75 45, 75.4375 45, 75.875 45, 76.3125 45, 76.75 45, 77.1875 45, 77.625 45, 78.0625 45, 78.5 45, 78.9375 45, 79.375 45, 79.8125 45, 80.25 45, 80.6875 45, 81.125 45, 81.5625 45, 82 45, 82.4375 45, 82.875 45, 83.3125 45, 83.75 45, 84.1875 45, 84.625 45, 85.0625 45, 85.5 45, 85.9375 45, 86.375 45, 86.8125 45, 87.25 45, 87.6875 45, 88.125 45, 88.5625 45, 89 45, 89.4375 45, 89.875 45, 90.3125 45, 90.75 45, 91.1875 45, 91.625 45, 92.0625 45, 92.5 45, 92.9375 45, 93.375 45, 93.8125 45, 94.25 45, 94.6875 45, 95.125 45, 95.5625 45, 96 45, 96.4375 45, 96.875 45, 97.3125 45, 97.75 45, 98.1875 45, 98.625 45, 99.0625 45, 99.5 45, 99.9375 45, 100.375 45, 100.8125 45, 101.25 45, 101.6875 45, 102.125 45, 102.5625 45, 103 45, 103.4375 45, 103.875 45, 104.3125 45, 104.75 45, 105.1875 45, 105.625 45, 106.0625 45, 106.5 45, 106.9375 45, 107.375 45, 107.8125 45, 108.25 45, 108.6875 45, 109.125 45, 109.5625 45, 110 45, 110.4375 45, 110.875 45, 111.3125 45, 111.75 45, 112.1875 45, 112.625 45, 113.0625 45, 113.5 45, 113.9375 45, 114.375 45, 114.8125 45, 115.25 45, 115.6875 45, 116.125 45, 116.5625 45, 117 45, 116.6785714285714 44.71428571428572, 116.3571428571429 44.42857142857143, 116.0357142857143 44.14285714285715, 115.7142857142857 43.85714285714285, 115.3928571428571 43.57142857142857, 115.0714285714286 43.28571428571428, 114.75 43, 114.4285714285714 42.71428571428572, 114.1071428571429 42.42857142857143, 113.7857142857143 42.14285714285715, 113.4642857142857 41.85714285714285, 113.1428571428571 41.57142857142857, 112.8214285714286 41.28571428571428, 112.5 41, 112.1785714285714 40.71428571428572, 111.8571428571429 40.42857142857143, 111.5357142857143 40.14285714285715, 111.2142857142857 39.85714285714286, 110.8928571428571 39.57142857142857, 110.5714285714286 39.28571428571428, 110.25 39, 109.9285714285714 38.71428571428572, 109.6071428571429 38.42857142857143, 109.2857142857143 38.14285714285715, 108.9642857142857 37.85714285714286, 108.6428571428571 37.57142857142857, 108.3214285714286 37.28571428571428, 108 37, 107.56 37, 107.12 37, 106.68 37, 106.24 37, 105.8 37, 105.36 37, 104.92 37, 104.48 37, 104.04 37, 103.6 37, 103.16 37, 102.72 37, 102.28 37, 101.84 37, 101.4 37, 100.96 37, 100.52 37, 100.08 37, 99.64 37, 99.2 37, 98.76000000000001 37, 98.31999999999999 37, 97.88 37, 97.44 37, 97 37, 96.56 37, 96.12 37, 95.68000000000001 37, 95.23999999999999 37, 94.8 37, 94.36 37, 93.92 37, 93.48 37, 93.03999999999999 37, 92.59999999999999 37, 92.16 37, 91.72 37, 91.28 37, 90.84 37, 90.40000000000001 37, 89.96000000000001 37, 89.52 37, 89.08 37, 88.64 37, 88.2 37, 87.76000000000001 37, 87.31999999999999 37, 86.88 37, 86.44 37, 86 37, 85.56 37, 85.12 37, 84.68000000000001 37, 84.23999999999999 37, 83.8 37, 83.36 37, 82.92 37, 82.48 37, 82.03999999999999 37, 81.59999999999999 37, 81.16 37, 80.72 37, 80.28 37, 79.84 37, 79.40000000000001 37, 78.96000000000001 37, 78.52 37, 78.08 37, 77.64 37, 77.2 37, 76.76000000000001 37, 76.31999999999999 37, 75.88 37, 75.44 37, 75 37))",-0.14367960079453942,-0.21933510095855047,0.8738584060853534
5,E.Southern-Africa,4,"POLYGON ((25 -10, 25.43877551020408 -10, 25.87755102040816 -10, 26.31632653061224 -10, 26.75510204081633 -10, 27.19387755102041 -10, 27.63265306122449 -10, 28.07142857142857 -10, 28.51020408163265 -10, 28.94897959183674 -10, 29.38775510204082 -10, 29.8265306122449 -10, 30.26530612244898 -10, 30.70408163265306 -10, 31.14285714285714 -10, 31.58163265306122 -10, 32.02040816326531 -10, 32.45918367346939 -10, 32.89795918367347 -10, 33.33673469387755 -10, 33.77551020408163 -10, 34.21428571428572 -10, 34.6530612244898 -10, 35.09183673469388 -10, 35.53061224489796 -10, 35.96938775510204 -10, 36.40816326530612 -10, 36.8469387755102 -10, 37.28571428571428 -10, 37.72448979591837 -10, 38.16326530612245 -10, 38.60204081632653 -10, 39.04081632653061 -10, 39.47959183673469 -10, 39.91836734693877 -10, 40.35714285714285 -10, 40.79591836734694 -10, 41.23469387755102 -10, 41.67346938775511 -10, 42.11224489795919 -10, 42.55102040816327 -10, 42.98979591836735 -10, 43.42857142857143 -10, 43.86734693877551 -10, 44.30612244897959 -10, 44.74489795918367 -10, 45.18367346938776 -10, 45.62244897959184 -10, 46.06122448979592 -10, 46.5 -10, 46.27536231884058 -10.3768115942029, 46.05072463768116 -10.7536231884058, 45.82608695652174 -11.1304347826087, 45.60144927536232 -11.50724637681159, 45.3768115942029 -11.88405797101449, 45.15217391304348 -12.26086956521739, 44.92753623188405 -12.63768115942029, 44.70289855072464 -13.01449275362319, 44.47826086956522 -13.39130434782609, 44.2536231884058 -13.76811594202898, 44.02898550724638 -14.14492753623188, 43.80434782608695 -14.52173913043478, 43.57971014492754 -14.89855072463768, 43.35507246376812 -15.27536231884058, 43.1304347826087 -15.65217391304348, 42.90579710144927 -16.02898550724638, 42.68115942028985 -16.40579710144927, 42.45652173913044 -16.78260869565217, 42.23188405797102 -17.15942028985507, 42.00724637681159 -17.53623188405797, 41.78260869565217 -17.91304347826087, 41.55797101449275 -18.28985507246377, 41.33333333333334 -18.66666666666666, 41.10869565217391 -19.04347826086957, 40.88405797101449 -19.42028985507246, 40.65942028985507 -19.79710144927536, 40.43478260869566 -20.17391304347826, 40.21014492753623 -20.55072463768116, 39.98550724637681 -20.92753623188406, 39.76086956521739 -21.30434782608696, 39.53623188405797 -21.68115942028986, 39.31159420289855 -22.05797101449275, 39.08695652173913 -22.43478260869565, 38.86231884057971 -22.81159420289855, 38.63768115942029 -23.18840579710145, 38.41304347826087 -23.56521739130435, 38.18840579710145 -23.94202898550725, 37.96376811594203 -24.31884057971014, 37.73913043478261 -24.69565217391304, 37.51449275362319 -25.07246376811594, 37.28985507246377 -25.44927536231884, 37.06521739130434 -25.82608695652174, 36.84057971014493 -26.20289855072464, 36.61594202898551 -26.57971014492754, 36.39130434782609 -26.95652173913043, 36.16666666666666 -27.33333333333333, 35.94202898550725 -27.71014492753623, 35.71739130434783 -28.08695652173913, 35.49275362318841 -28.46376811594203, 35.26811594202898 -28.84057971014493, 35.04347826086956 -29.21739130434783, 34.81884057971014 -29.59420289855073, 34.59420289855073 -29.97101449275362, 34.3695652173913 -30.34782608695652, 34.14492753623188 -30.72463768115942, 33.92028985507247 -31.10144927536232, 33.69565217391305 -31.47826086956522, 33.47101449275362 -31.85507246376812, 33.2463768115942 -32.23188405797102, 33.02173913043478 -32.60869565217391, 32.79710144927536 -32.98550724637681, 32.57246376811594 -33.36231884057971, 32.34782608695652 -33.73913043478261, 32.1231884057971 -34.11594202898551, 31.89855072463768 -34.49275362318841, 31.67391304347826 -34.8695652173913, 31.44927536231884 -35.2463768115942, 31.22463768115942 -35.6231884057971, 31 -36, 30.57142857142857 -36, 30.14285714285714 -36, 29.71428571428572 -36, 29.28571428571428 -36, 28.85714285714286 -36, 28.42857142857143 -36, 28 -36, 27.57142857142857 -36, 27.14285714285714 -36, 26.71428571428572 -36, 26.28571428571428 -36, 25.85714285714286 -36, 25.42857142857143 -36, 25 -36, 25 -35.56666666666667, 25 -35.13333333333333, 25 -34.7, 25 -34.26666666666667, 25 -33.83333333333334, 25 -33.4, 25 -32.96666666666667, 25 -32.53333333333333, 25 -32.1, 25 -31.66666666666666, 25 -31.23333333333333, 25 -30.8, 25 -30.36666666666667, 25 -29.93333333333333, 25 -29.5, 25 -29.06666666666667, 25 -28.63333333333333, 25 -28.2, 25 -27.76666666666667, 25 -27.33333333333333, 25 -26.9, 25 -26.46666666666667, 25 -26.03333333333333, 25 -25.6, 25 -25.16666666666666, 25 -24.73333333333333, 25 -24.3, 25 -23.86666666666667, 25 -23.43333333333333, 25 -23, 25 -22.56666666666667, 25 -22.13333333333333, 25 -21.7, 25 -21.26666666666667, 25 -20.83333333333333, 25 -20.4, 25 -19.96666666666667, 25 -19.53333333333333, 25 -19.1, 25 -18.66666666666666, 25 -18.23333333333333, 25 -17.8, 25 -17.36666666666667, 25 -16.93333333333333, 25 -16.5, 25 -16.06666666666667, 25 -15.63333333333333, 25 -15.2, 25 -14.76666666666667, 25 -14.33333333333333, 25 -13.9, 25 -13.46666666666667, 25 -13.03333333333333, 25 -12.6, 25 -12.16666666666666, 25 -11.73333333333333, 25 -11.3, 25 -10.86666666666667, 25 -10.43333333333333, 25 -10))",0.1338062074265896,0.22446974306532258,0.27952711136959113
