"","dataset","tsid","longitude","latitude","ipccReg","recordRange","recordRes","recordResPlus","season","climInterp","source","direction","ka_0.5","ka_6"
"25","Altenweiher.DeValk.1981","Ry2oSKE2D2P",6.99,48.01,"WCE",10771.53,91.0799999999999,91.0799999999999,"annual","T","Temp12k","positive",7.082,7.996
"26","Ammersee.vonGrafenstein.1996","LS96VOAM01",11.1167,48,"WCE",11983.81,11.2800000000007,11.5,"annual","T","Temp12k","positive",-4.812,-4.376
"27","Andy.Szeicz.1995","RSvtIc0N66Y",-128.08,64.65,"NWN",9803,174,161.5,"annual","T","Temp12k","positive",-2.444,-0.075
"28","Arapisto.Sarmaja-Korjonen.2007","PYTXFMZ1EQU",24.8,60.58,"NEU",8888.5,17.5999999999995,17.5499999999997,"annual","T","Temp12k","positive",3.795,6.782
"29","Atocas.Gauthier.1981","M2L68fmqq0lP",-73.31,45.54,"ENA",10399,298,298,"annual","T","Temp12k","positive",5.214,5.433
"30","Austerkjosen.Seppa.2009","PYTLCCXN62R",17.2667,68.5333,"NEU",8819.42,234.175,235.08,"summerOnly","T","Temp12k","positive",11.039,12.003
"31","AwengCo.Li.2017","WEB7e132cbf",81.67,32.75,"TIB",11639,201,192.5,"annual","T","Temp12k","positive",4.508,-1.2
"32","B997_321.Castaneda.2004","T2L_B997_321_d18o_pachyderma_SST_from_d18o_pachyderma",-18.9744,66.8911,"GIC",7468,253,253,"annual","T","Temp12k","positive",6.306,6.822
"33","B997_324.Castaneda.2004","T2L_B997_324_d18o_pachyderma_SST_from_d18o_pachyderma",-21.1522,66.5239,"GIC",11910,191,189,"annual","T","Temp12k","positive",7.014,8.133
"34","B997_327.Castaneda.2004","T2L_B997_327_d18o_pachyderma_SST_from_d18o_pachyderma",-20.8631,66.6414,"GIC",3893,72,72,"annual","T","Temp12k","positive",6.301,NA
"35","BaiedeSeineestuary.Garnaud.2003","Reuxqn1aPrN",-0.03,49.42,"WCE",8426.56,112.540000000001,112.54,"annual","T","Temp12k","positive",9.49,10.631
"36","BanksIsland-15.Gajewski.2000","M2Lqd7jeqa8P",-120.22,73.53,"NWN",10169,127,135,"annual","T","Temp12k","positive",-11.361,-7.484
"37","BasadelaMoraLake.Tarrats.2018","RXVKcelUtDs",0.326,42.5445,"MED",8619.115,185.217,180.851999999999,"summerOnly","T","Temp12k","positive",NA,8.904
"38","Basse-Ville.Voeltzel.1987","R4JjJRueZkB",-1.86,47.19,"WCE",8460.69,63.0500000000002,63.0500000000002,"annual","T","Temp12k","positive",9.06,9.831
"39","Bastien.Bennett.1987","M2Lqrusrc3gP",-78.92,46.4,"ENA",10833,159.5,159,"annual","T","Temp12k","positive",4.659,5.354
"40","BattleGround.Whitlock.1985","M2Lx72gur5lP",-122.4917,45.8,"WNA",10539.6,236.3,236.3,"annual","T","Temp12k","positive",7.267,8.531
"41","BC01Lake.Peros.2010","WEBa45174e3",-111.92,75.18,"NWN",11532,631,632,"summerOnly","T","Temp12k","positive",3.975,4.405
"42","Beaverhouse.Ritchie.1976","M2L6n22fvlcP",-101.68,54.74,"NEN",9993,197,197,"annual","T","Temp12k","positive",3.29,4.781
"43","BebrukasLake.Shulija.1967","RsHcCZf3F0Z",24.12,54.09,"WCE",10603.73,221.26,212.77,"annual","T","Temp12k","positive",4.964,6.033
"44","BeefPasture.Petersen.1985","M2Lgb6c2jm2P",-108.16,37.47,"WNA",6025.2,32.8,32.8,"annual","T","Temp12k","positive",2.12,1.345
"45","BellsLake.Szeicz.1995","RAP1dzJLThI",-127.48,65.02,"NWN",11702,208,208,"annual","T","Temp12k","positive",-1.28,1.108
"46","Berkut.Ilyashuk.2005","RmGezmouka1",36.66,66.34,"NEU",10104,237,237.5,"summerOnly","T","Temp12k","positive",11.874,11.661
"47","Berry.Whitehead.1979","M2Lsemj4z4fP",-73.32,42.5,"ENA",10933,292.5,292.5,"annual","T","Temp12k","positive",6.864,7.097
"48","BI2Lake.Gajewski.1992","M2La2ua5w4kP",-76.38,57.12,"NEN",7639,185,192,"annual","T","Temp12k","positive",-6.602,-6.938
"49","BiglandTarn.Barber.2013","RtcHGLf9lJV",-2.99,54.24,"NEU",4794,100,100,"summerOnly","T","Temp12k","positive",14,NA
"50","Billys.Jacobson.1975","M2Lqditl4qyP",-94.55,46.27,"CNA",10942,137.65,137.6,"annual","T","Temp12k","positive",4.969,4.143
"51","BiskupinskieLake.Noryskiewicz.1995","R7DxiAHp0lf",17.73,52.78,"WCE",10695.27,62.095,62.21,"annual","T","Temp12k","positive",6.546,6.621
"52","BJ8_03_10GGC.Linsley.2010","T2L_BJ8_03_10GGC_d18o_ruber_SST_from_d18o_ruber",115.25,-7.3667,"SEA",11556,194,194,"annual","T","Temp12k","positive",30.353,30.213
"53","BJ8_03_13GGC.Linsley.2010","T2L_BJ8_03_13GGC_mgca_ruber_SST_from_mgca_ruber",115.2,-7.4,"SEA",10414,42,42,"annual","T","Temp12k","positive",29.243,29.812
"54","BJ8_03_13GGC.Linsley.2010","T2L_BJ8_03_13GGC_d18o_ruber_SST_from_d18o_ruber",115.2,-7.4,"SEA",10446,39.5,42,"annual","T","Temp12k","positive",30.528,30.589
"55","BJ8_03_70GGC.Linsley.2010","T2L_BJ8_03_70GGC_mgca_ruber_SST_from_mgca_ruber",119.3833,-3.5667,"SEA",11749,101,101,"annual","T","Temp12k","positive",30.213,31.184
"56","BJ8_03_70GGC.Linsley.2010","T2L_BJ8_03_70GGC_d18o_ruber_SST_from_d18o_ruber",119.3833,-3.5667,"SEA",11749,111,106,"annual","T","Temp12k","positive",29.962,30.562
"57","Bjornfjell.Brooks.2006","RcHJOeUBfxw",18.07,68.43,"NEU",3437.31,164.81,167.84,"summerOnly","T","Temp12k","positive",10.36,NA
"58","BledowoLake.Binka.1988","R2yzkU2ca31",20.67,52.55,"WCE",10839.52,40.77,41.8249999999998,"annual","T","Temp12k","positive",6.546,6.625
"59","BloodPond.Marsicek.2013","WEBf9c0d6bd",-71.96,42.08,"ENA",11921.2342,90.6680000000001,90.6679999999997,"annual","T","Temp12k","positive",1.683,2.703
"60","BN7Lake.Gajewski.1991","M2L3m70t46oP",-73.52,55.01,"NEN",6389,321,321,"annual","T","Temp12k","positive",-5.242,-5.661
"61","BoehnigseeGoldmoos.Markgraf.1969","R4NdhyHXypE",7.84,46.26,"WCE",10727.86,151.255,153.48,"annual","T","Temp12k","positive",3.021,3.288
"62","BolshieToroki.Zhilich.2017","RST39AsmE0I",80.62,55.39,"WSB",7864.5,101.6,101.6,"summerOnly","T","Temp12k","positive",17.326,17.753
"63","Boone.White.1986","M2Lxytve3doP",-119.43,55.58,"NWN",10085,85,85,"annual","T","Temp12k","positive",2.088,3.133
"64","BorderBeacon.Lamb.1985","M2Lmp6pxlgjP",-63.2,55.33,"NEN",7687.7,311.5,311,"annual","T","Temp12k","positive",-0.623,-1.891
"65","BoundaryPond.Mott.1977","M2L4wwg6oi5P",-70.68,45.57,"ENA",10835.2,226.5,226.5,"annual","T","Temp12k","positive",3.719,4.845
"66","BrayaSo.vonGunten.2012","WEB0c142d5f",-51.0333,66.9875,"GIC",6947,10,10,"summerOnly","T","Temp12k","positive",6.011,5.737
"67","Breitnau-Neuhof.Roesch.2009","RQHbe4cH6UU",8.07,47.93,"WCE",10559.58,132.29,142.15,"annual","T","Temp12k","positive",6.963,9.768
"68","brurskardstjorni.Velle.2005","PYTIRA0OPDR",8.67,61.42,"NEU",10797.949,172.624,172.624,"summerOnly","T","Temp12k","positive",8.767,10.704
"69","BS79_38.Cacho.2001","GH07da367f_SST_from_Uk37",13.6,38.4,"MED",10908,259,259.5,"annual","T","Temp12k","positive",16.141,15.345
"70","BuntesMoor.Weirich.1980","RLrZViFiuLZ",11.14,47,"WCE",6190.69,75.6899999999996,78.895,"annual","T","Temp12k","positive",2.756,4.931
"71","Cadagno.Niemann.2012","LPDdb9440cb",8.7139,46.5507,"WCE",10913,146,148.5,"annual","T","Temp12k","positive",-0.027,-0.11
"72","Camp11.Brubaker.1975","M2L215porczP",-88.02,46.67,"ENA",10475,321,353.5,"annual","T","Temp12k","positive",4.12,5.306
"73","CandelabraLake.Cwynar.1995","RAll4J7F1rY",-130.65,61.68,"NWN",10800,191,170.5,"annual","T","Temp12k","positive",-0.872,-0.061
"74","CangoCave.Talma.1992","RrLXMslDM70",22.214,-33.3926,"WSAF",6395.8,57.3999999999996,58,"annual","T","Temp12k","positive",17.104,16.787
"75","CapeGhir.Kim.2007","GH14bc173e",-10.2685,30.85,"NAO",10502,29,31,"annual","T","Temp12k","positive",19.125,20.062
"76","Caribou-Qubec.Jett.1992","M2L4201jbr2P",-64.94,48.2,"ENA",10420,349,540,"annual","T","Temp12k","positive",-3.337,-3.764
"77","CaribouHill.Lamb.1985","M2Lmxwfo4uxP",-63.25,55.67,"NEN",6825,237.5,249,"annual","T","Temp12k","positive",-0.103,-0.895
"78","CarletonLake.Upiter.2014","RclKPHfeaEb",-110.1008,64.2572,"NWN",5925,100.400000000001,100.4,"summerOnly","T","Temp12k","positive",-0.065,0.458
"79","Carp.Whitlock.1985","M2Lyvstpj8pP",-120.88,45.92,"WNA",10008.7,270.6,270.6,"annual","T","Temp12k","positive",3.78,5.906
"80","CascadeFen.Maher.1963","M2Lvhsqfd0bP",-107.81,37.65,"WNA",6481.8,68.5,68.5,"annual","T","Temp12k","positive",1.749,0.866
"81","Castor.Larouche.NA","M2Lb1ru7x97P",-73,46.61,"ENA",10764,217,219,"annual","T","Temp12k","positive",3.941,5.268
"82","CC04.Gibb.2015","RxPYP3y92HP",-58.0365,61.4639,"NEN",11895.918,93.1000000000004,93.1000000000004,"annual","T","Temp12k","positive",2.371,2.235
"83","Century.Johnsen.1972","PYT295BX2KQ",-61.13,77.17,"GIC",6940,20,20,"annual","T","Temp12k","positive",-29.31,-28.527
"84","CF8.Axford.2011","RdV4LGpfddw",-68.9519,70.5569,"NEN",7038.637,107.686500000001,104.690000000001,"summerOnly","T","Temp12k","positive",NA,-1.883
"85","CH2.Garralla.1992","M2Lkgti4u2yP",-74.58,49.68,"ENA",8331,85,85,"annual","T","Temp12k","positive",-3.934,-4.161
"86","ChallaLake.Damst.2012","RVIIY9tLqwu",37.7,-3.3167,"SEAF",11874,56,56,"annual","T","Temp12k","positive",20.493,21.457
"87","Chaohu.Li.2018","Rf9ndgRNF2y",117.39,31.56,"EAS",10383,137,137,"annual","T","Temp12k","positive",12.739,14.635
"88","Chuna.Jones.2005","PYTNKAW5ZDO",32.48,67.95,"NEU",8818.77,216.4615,216.461,"summerOnly","T","Temp12k","positive",12.473,13.156
"89","Churruca.Caniupan.2014","WEB7c7a30a0",-73.9,-53.03,"SSA",11400,200,200,"summerOnly","T","Temp12k","positive",9.284,10.926
"90","Clapeyret.deBeaulieu.1977","Rq20hfvJwc3",7.24,44.15,"MED",9785.21,176.17,193.77,"annual","T","Temp12k","positive",4.351,7.115
"91","ClarksJunction.Wilmshurst.2007","RM0SQ5BKOUx",170.12,-45.72,"NZ",10042.173,421.46,421.46,"annual","T","Temp12k","positive",7.252,7.559
"92","ClearLakeIA.Baker.1992","M2L8muhrctrP",-93.43,43.13,"CNA",10577,221,216,"annual","T","Temp12k","positive",6.855,5.001
"93","ClearLakeIN.Bailey.1972","M2La3lgwa79P",-86.54,41.64,"ENA",10778.2,253.1,337.4,"annual","T","Temp12k","positive",9.254,9.149
"94","ClearPond.Hussey.1993","M2Lbtzi9joeP",-78.95,33.8,"ENA",10811,160,160,"annual","T","Temp12k","positive",18.621,19.233
"95","CN01.Cheung.2017","WEBfc1570c4",91.1778,30.5619,"TIB",9678,146,144.5,"annual","T","Temp12k","positive",3.508,6.348
"96","Coghill.King.1986","M2L511e6mjbP",-66.77,53.9,"NEN",5760,267,282.5,"annual","T","Temp12k","positive",-5.369,-3.737
"97","Compass.Macpherson.1986","M2Lfqrx9sloP",-56.2,50.03,"NEN",10790,181,187,"annual","T","Temp12k","positive",-5.094,-4.114
"98","Copley.Fall.1997","M2L4attyxxdP",-107.08,38.87,"WNA",10476,216,212,"annual","T","Temp12k","positive",-0.134,-0.167
"99","CoppermineSaddleback.Nichols.1975","M2Lo0iw64l3P",-115.32,67.83,"NWN",4104.4,53.6,71.5,"annual","T","Temp12k","positive",-11.189,NA
"100","Corser.Nichols.2014","PYTUQPUNFJT",-145.45,60.53,"NWN",11013,213,213,"annual","T","Temp12k","positive",5.839,4.601
"101","CottonwoodLake.Grimm.1987","M2Lwg7wsrd5P",-99.91,44.84,"CNA",10948,254.5,272,"annual","T","Temp12k","positive",5.613,7.728
"102","CottonwoodPassPond.Fall.1997","M2L8nwh67cmP",-106.41,38.83,"WNA",9193,262,277,"annual","T","Temp12k","positive",-0.139,1.126
"103","Cranberry.McAndrews.NA","M2Loy7jz53zP",-78.1,44.1,"ENA",10894,108,115,"annual","T","Temp12k","positive",6.339,6.183
"104","D13882.Tierney","T2L_D13882_uk37_SST_from_uk37",-9.4542,38.6345,"MED",11554,22,22,"annual","T","Temp12k","positive",15.399,17.664
"105","DajiuhuPeatland.Huang.2013","WEBddd2abef",110,31.4667,"EAS",11751.66,73.3299999999999,73.3299999999999,"annual","T","Temp12k","positive",1.676,4.415
"106","Dalene.Seppa.2009","PYTPSOT4O3M",8,58.25,"NEU",8902.94,177.96,175.54,"summerOnly","T","Temp12k","positive",14.629,15.734
"107","Dalmutladdo.Bjune.2004","RJ46xwfMboE",20.72,69.17,"NEU",9924,148,148,"annual","T","Temp12k","positive",-0.001,0.749
"108","DANA12_11_2_GC01.VanNieuwenhove.2018","RLVhTGXvCnW",-20.7027,61.6089,"NAO",11785,136,136,"annual","T","Temp12k","positive",9.16,8.661
"109","DarzlubieForest.Polska-JasiewiczOwa.1996","REW23yVFq2c",18.17,54.7,"WCE",10815.13,112.039999999999,111.435,"annual","T","Temp12k","positive",6.683,8.868
"110","DavisLake.Barnosky.1981","M2Lqsgb2az4P",-73.41,42.14,"ENA",10704.1,0,298.1,"annual","T","Temp12k","positive",7.902,6.667
"111","Decoy.Szeicz.1991","M2Lhd1b9ejrP",-80.37,43.23,"ENA",10903,102,102,"annual","T","Temp12k","positive",7.794,7.399
"112","Delorme1.Bouchard.1982","M2LfdkrvgyhP",-69.92,54.42,"NEN",5645,361,361.5,"annual","T","Temp12k","positive",-5.315,-8.075
"113","Delorme2.Bouchard.1982","M2LqxikmeduP",-69.93,54.42,"NEN",6677,148,148,"annual","T","Temp12k","positive",-5.277,-6.563
"114","Deltasoe.Axford.2019","RvZFkpE8BK4",-67.61,76.7595,"GIC",10580.888,311.11,342.21,"summerOnly","T","Temp12k","positive",-0.212,1.73
"115","Demont.Kapp.NA","M2Lvlvf54mwP",-85,43.48,"ENA",10779,222.5,222,"annual","T","Temp12k","positive",6.761,8.71
"116","DempsterPeatland.Porter.2019","WEBfb6b61e3",-138.32,65.21,"NWN",11385,195,217.5,"summerOnly","T","Temp12k","positive",-0.125,-0.32
"117","Devils.Shuman.2016","M2Lmcalxjr0P",-89.73,43.42,"ENA",10865,111.8,111.8,"annual","T","Temp12k","positive",7.342,7.651
"118","DevonIceCap.Paterson.1977","PYT8NX1Q5ZA",-82.5,75.3167,"NEN",11950,50,50,"annual","T","Temp12k","positive",-27.945,-26.072
"119","DevonIslandGlacier.McAndrews.1984","M2Lp7ovi4zuP",-82.5,75.35,"NEN",8682,43,42,"annual","T","Temp12k","positive",-3.253,-4.133
"120","DolgoeLake.Wolfe.2000","PYTQGF9UT2H",127.07,71.87,"RAR",11918.2,216.95,217.825,"summerOnly","T","Temp12k","positive",15.224,17.215
"121","DomeF.Uemura.2018","Rdf2KmRVOb2",39.67,-77.3167,"EAN",11916,70,70,"annual","T","Temp12k","positive",-0.354,-0.3
"122","Donvold.Nilssen.1983","RFnXAgxg0hG",13.58,68.13,"NEU",9451.67,155.82,153.355,"annual","T","Temp12k","positive",7.319,1.195
"123","Duck.Winkler.1985","M2Lhauzlyt3P",-70,41.93,"ENA",10831,337,337,"annual","T","Temp12k","positive",6.923,6.783
"124","Dura-Moor.Seiwald.1980","RmWAcZM7Ri5",11.46,46.64,"WCE",10854.36,107.305,106.59,"annual","T","Temp12k","positive",2.49,5.122
"125","Duranunlak.EPD","RXKfG1yd0lA",28.55,43.67,"MED",10129.55,200.64,200.64,"annual","T","Temp12k","positive",15.233,10.479
"126","DYE3.Dahl-Jensen.1998","WEB1bc4c057",-43.8248,65.1857,"GIC",11817,160,148,"annual","T","Temp12k","positive",-20.222,-18.69
"127","Dye3.Vinther.2006","PYTAUVXNNEA",-43.82,65.1833,"GIC",11640,20,20,"annual","T","Temp12k","positive",-27.858,-27.693
"128","EagleTarn.Rees.2010","R3Ypu5QP5eP",146.5914,-42.6799,"SAU",11724.8,156.972,149.045,"summerOnly","T","Temp12k","positive",8.679,NA
"129","EC1.Gajewski.1993","M2L1fcqp9rpP",-75.1,56.28,"NEN",6552,166,163.5,"annual","T","Temp12k","positive",-5.211,-5.319
"130","EC2.Gajewski.1991","M2L5adu400zP",-74.95,56.02,"NEN",6300,134,134,"annual","T","Temp12k","positive",-5.434,-5.524
"131","EDML.Stenni.2010","WEBef5799bb",0.0683,-75.0025,"EAN",10802,9,9,"annual","T","Temp12k","positive",NA,0.344
"132","Egelsee.Larocque.2010","RHkrEHLrEmG",8.58,47.18,"WCE",10347.857,197.445,190.063,"summerOnly","T","Temp12k","positive",NA,15.332
"133","ELake.Ritchie.1976","M2L4110p1qwP",-99.66,50.69,"NEN",10487,218.5,274,"annual","T","Temp12k","positive",1.031,2.536
"134","Eldora.Maher.1969","M2Lm8jxg50yP",-105.58,39.94,"WNA",8630.9,175.4,184.65,"annual","T","Temp12k","positive",1.236,2.334
"135","Eleanor.Gavin.2011","WEB9a26a54b",-124.02,47.68,"WNA",10874,18.9000000000001,18.8000000000001,"summerOnly","T","Temp12k","positive",18.24,32.055
"136","Elfstadalsvatn.Langdon.2008","Rc9cuWIUbO5",-22.4064,65.5612,"GIC",6605.768,327.799999999999,327.8,"summerOnly","T","Temp12k","positive",NA,9.435
"137","ElGygytgynCrater.Schwamborn.2006","WEB65af657c",172.219,67.441,"RAR",8540,181,181,"annual","T","Temp12k","positive",NA,-18.742
"138","EN32_PC6.Flower.2004","T2L_EN32_PC6_mgca_ruber_SST_from_mgca_ruber",-91.35,26.946,"CNA",3520,300,300,"annual","T","Temp12k","positive",NA,NA
"139","EN32_PC6.Flower.2004","T2L_EN32_PC6_d18o_ruber_SST_from_d18o_ruber",-91.35,26.946,"CNA",3520,290,290,"annual","T","Temp12k","positive",NA,NA
"140","Ennadai-1.Nichols.1967","M2Lzhv3nfyiP",-100.9167,61.1667,"NEN",6028.2,207,207,"annual","T","Temp12k","positive",4.953,3.037
"141","Ennadai-2.Nichols.1975","M2L846r0l61P",-100.95,61.24,"NEN",4756.2,31,31,"annual","T","Temp12k","positive",-0.111,NA
"142","EPICADomeC.Stenni.2010","WEBd30870fb",123.3953,-75.1019,"EAN",11955.0198054,18.8657199999998,18.8649899999996,"annual","T","Temp12k","positive",-0.009,0.01
"143","ERDC_092BX.Palmer.2003","T2L_ERDC_092BX_d18o_sacculifer_SST_from_d18o_sacculifer",156.998,-2.225,"EPO",11500,700,700,"annual","T","Temp12k","positive",27.811,24.089
"144","ESM-1.Mackay.2012","R9q1L6RBaPd",101.0591,52.0269,"ESB",11177,376,365,"summerOnly","T","Temp12k","positive",13.275,13.053
"145","Etangd'yCorMontana.Welten.1982","RGzc1K1TEcO",7.48,46.31,"WCE",10643.48,131.73,129.715,"annual","T","Temp12k","positive",3.842,6.465
"146","EW0408_66JC.Praetorius.2015","T2L_EW0408_66JC_uk37_SST_from_uk37",-137.1045,57.8724,"NWN",7547.375,120,120,"summerOnly","T","Temp12k","positive",NA,9.558
"147","EW0408_66JC.Praetorius.2015","T2L_EW0408_66JC_d18o_pachyderma_SST_from_d18o_pachyderma",-137.1045,57.8724,"NWN",7753,14,14,"annual","T","Temp12k","positive",NA,7.154
"148","EW0408_85JC.Praetorius.2015","T2L_EW0408_85JC_uk37_SST_from_uk37",-144.1535,59.5554,"NWN",10881,149,147.5,"summerOnly","T","Temp12k","positive",NA,8.479
"149","EW0408_85JC.Praetorius.2015","T2L_EW0408_85JC_d18o_pachyderma_SST_from_d18o_pachyderma",-144.1535,59.5554,"NWN",11004.263,75.0410000000002,74.8360000000002,"annual","T","Temp12k","positive",6.627,6.002
"150","EW0408_85JC.Praetorius.2015","T2L_EW0408_85JC_d18o_bulloides_SST_from_d18o_bulloides",-144.1535,59.5554,"NWN",11004.263,75.0410000000002,74.8360000000002,"annual","T","Temp12k","positive",5.666,5.001
"151","FanLake.Foster.2016","WEB6df77dbb",-37.053,-54.497,"SOO",6284,53,53,"summerOnly","T","Temp12k","positive",4.659,9.47
"152","Farewell.Hu.1998","PYTUWT2GQ7F",-153.63,62.55,"NWN",11530.923,192.281000000001,192.281000000001,"summerOnly","T","Temp12k","positive",4.075,4
"153","FauskeCave.Linge.2009","PYT0UICY9DO",15.81,67.22,"NEU",7494.4,25.6000000000004,25.6000000000004,"annual","T","Temp12k","negative",-6.862,-6.612
"154","Ferndale.Albert.1981","M2Luyrjjlf0P",-95.81,34.41,"CNA",7362,50,49,"annual","T","Temp12k","positive",17.013,17.116
"155","Flarken.Berglund.1966","RFh4TAxf8GA",13.67,58.58,"NEU",10605.56,76.2200000000003,81.5499999999997,"annual","T","Temp12k","positive",4.601,5.312
"156","Flarken.Seppa.2005","PYTU1B5B43Z",13.67,58.55,"NEU",8802.116,76.1230000000005,76.3055000000004,"annual","T","Temp12k","positive",5.723,7.74
"157","Flotatjonn.Seppa.2009","PYTSP55UOX3",7.55,59.67,"NEU",8894.99,181.660000000002,181.125,"summerOnly","T","Temp12k","positive",11.411,12.478
"158","FontaineHenry.Lespez.2008","RLAKtgjsUHn",-0.45,49.28,"WCE",4748,61.8100000000004,62.025,"annual","T","Temp12k","positive",8.168,NA
"159","Frozen.Rosenberg.2004","WEBd6c4bf1f",-121.467,49.6,"WNA",11361.075,241.725,241.725,"summerOnly","T","Temp12k","positive",13.015,12.641
"160","Gammelheimvatnet.Seppa.2009","PYT6ATFLR1S",17.75,68.47,"NEU",8854.48,131.18,131.18,"summerOnly","T","Temp12k","positive",11.149,12.099
"161","Gass.Webb.1983","M2Lgupr25mjP",-87.73,44.05,"ENA",10855,254,229,"annual","T","Temp12k","positive",7.468,8.288
"162","GB1.Gajewski.1991","M2Lf6mllgzvP",-75.25,55.11,"NEN",6390,324,324,"annual","T","Temp12k","positive",-5.318,-5.51
"163","GB2.Gajewski.1993","M2Lr2u9z69jP",-75.28,56.1,"NEN",7169,118,113,"annual","T","Temp12k","positive",-5.251,-5.36
"164","Gemini.Samartin.2017","RrR5q3ibRjl",10.0475,44.3894,"MED",11902,141,140.5,"summerOnly","T","Temp12k","positive",13.778,14.647
"165","GeoB10042_1.Setiawan.2015","RL64xxOUoVT_SST_from_planktic0x2EMgCa",104.6425,-7.1135,"SEA",5800,130,130,"annual","T","Temp12k","positive",NA,27.716
"166","GeoB10043_3.Setiawan.2015","R3VPL7rxXyk_SST_from_planktic0x2EMgCa",105.0587,-7.3092,"SEA",11400,220,220,"annual","T","Temp12k","positive",27.971,27.323
"167","GeoB10053_7.Mohtadi.2010","T2L_GeoB10053_7_d18o_ruber_SST_from_d18o_ruber",112.8725,-8.6765,"SEA",11690,60,60,"annual","T","Temp12k","positive",28.778,27.634
"168","GeoB10053_7.Mohtadi.2010","T2L_GeoB10053_7_d18o_bulloides_SST_from_d18o_bulloides",112.8725,-8.6765,"SEA",11690,60,60,"annual","T","Temp12k","positive",27.94,26.303
