"","dataset","tsid","longitude","latitude","ipccReg","recordRange","recordRes","recordResPlus","season","climInterp","source","direction","ka_0.5","ka_6"
"1","117_723A.Godad.2011","RL0SCEeYVWU",57.609,18.0518,"ARP",11200,325,330,"summerOnly","T","Temp12k","positive",28.306,28.684
"2","161_976.Martrat.2014","R56JsH0b7h7",-4.3127,36.2054,"MED",11761,53,79,"annual","T","Temp12k","positive",17.956,18.858
"3","161_976.Martrat.2014","Rl3oDldpRFu_SST_from_planktic0x2EMgCa",-4.3127,36.2054,"MED",11350,80,80,"annual","T","Temp12k","positive",18.65,17.88
"4","165_1002C.Herbert.2000","RYfbsh7Nj6W_SST_from_Uk37",-65.1694,10.7061,"NSA",10960,450,450,"annual","T","Temp12k","positive",25.19,26.689
"5","2005-804-006.Ledu.2010","PYT93BAHDDE",-106.5735,68.9925,"NWN",6707.2,168.1,168.1,"annual","T","Temp12k","positive",NA,0.438
"6","31Lake.Eisner.1995","M2L7yquhwzuP",-50.47,67.05,"GIC",5102,166,170,"annual","T","Temp12k","positive",1.055,-0.73
"7","3MPond.Pellatt.2000","Rlf3YywN7Sz",-121.2167,49.9833,"WNA",11719,366,366,"summerOnly","T","Temp12k","positive",7.581,12.489
"8","850Lake.Shemesh.2001","R5opojsGcHY",19.12,68.37,"NEU",9448.05949615,76.8134919999993,76.8134919999998,"summerOnly","T","Temp12k","positive",9.859,9.947
"9","850Lake.Shemesh.2001","PYTR4UFZM3W",19.12,68.37,"NEU",8992,158,158,"summerOnly","T","Temp12k","positive",25.484,27.307
"10","893A.Kennet.2007","LPD05340dbbdp_SST_from_d18O",-120.036,34.2875,"WNA",9939.134,29.6,29.6,"annual","T","Temp12k","positive",14.472,14.971
"11","893A.Kennet.2007","LPD28794972dp_SST_from_d18O2",-120.036,34.2875,"WNA",9992.952,31.4770000000002,31.7790000000005,"annual","T","Temp12k","positive",14.636,15.499
"12","A7.Sun.2005","T2L_A7_mgca_ruber_SST_from_mgca_ruber",126.9783,27.82,"EAS",10613,125,125,"annual","T","Temp12k","positive",NA,29.297
"13","A7.Sun.2005","T2L_A7_d18o_ruber_SST_from_d18o_ruber",126.9783,27.82,"EAS",10613,125,125,"annual","T","Temp12k","positive",NA,25.662
"14","Abalone.Cole.1994","M2Lhfelk1bfP",-119.98,33.96,"WNA",6112.3,204.6,227.05,"annual","T","Temp12k","positive",14.988,15.012
"15","AdelaideTarn.Jara.2015","WEB239e9c22",172.5333,-40.9333,"NZ",11516.1,150.5,150.05,"annual","T","Temp12k","positive",0.046,0.212
"16","Agassiz.Lecavalier.2017","WEBa1e48de5",-73.5,80.67,"GIC",12000,25,25,"annual","T","Temp12k","positive",0.454,2.275
"17","AgeroedsMosse.Nilsson.1964","RTdqSojg0st",13.42,55.83,"NEU",9080.15,55.445,59.27,"annual","T","Temp12k","positive",7.917,8.254
"18","AjaxBog.Wilmshurst.2007","R6lPfjM3opf",169.28,-46.42,"NZ",10977.333,185.666,179.283,"annual","T","Temp12k","positive",7.627,8.019
"19","AlanenLaanijarvi.Heinrichs.2005","Ry0uq7BMis9",20.48,67.97,"NEU",8205.06,329.82,335.465,"summerOnly","T","Temp12k","positive",10.972,10.649
"20","Alley.GISP2.2000","GH34755740",-38.5,72.6,"GIC",11897.859,12.8800000000001,12.8999999999996,"annual","T","Temp12k","positive",-31.721,-30.552
"21","AlltnaFeitheSheilich.Birks.1975","Rx3TR4XADtS",-3.9,57.32,"NEU",9298.31,338.92,338.92,"annual","T","Temp12k","positive",8.154,5.598
"22","AlpidiRobieiValBavona.Welten.1982","RNAncQhRpt8",8.52,46.45,"WCE",10836.71,175.6,175.6,"annual","T","Temp12k","positive",2.65,5.349
"23","Alsa.Mariscal.1993","RsCmrJ2LIUJ",-4.02,43.12,"MED",4856.79,144.73,144.735,"annual","T","Temp12k","positive",8.614,NA
"24","Alsopahok.Zatyko.2007","RsS9GGho4e3",17.17,46.77,"WCE",10583.84,35.62,35.62,"annual","T","Temp12k","positive",7.619,3.294
