"","dataset","tsid","longitude","latitude","ipccReg","Category","CategorySpec","recordRange","recordRes","recordResPlus","season","climInterp","source"
"413","MiddenCluster3.Harbert.2018","WEB7f9af5c1",-108.0819,36.0589,"WNA","Other","Other (calibrated)",7568,325,308,"Annual","P-E","wNA"
"414","MiddenCluster4.Harbert.2018","WEB05240426",-112.7451,43.6488,"WNA","Other","Other (calibrated)",6645,317.5,329,"Annual","P","wNA"
"415","MiddenCluster4.Harbert.2018","WEB7a49dd55",-112.7451,43.6488,"WNA","Other","Other (calibrated)",6645,317.5,317.5,"Annual","P-E","wNA"
"416","MiddenCluster5.Harbert.2018","WEB773f70f5",-106.0203,32.4659,"NCA","Other","Other (calibrated)",7670,105.5,87,"Annual","P","wNA"
"417","MiddenCluster5.Harbert.2018","WEBf0c97cde",-106.0203,32.4659,"NCA","Other","Other (calibrated)",7670,105.5,87,"Annual","P-E","wNA"
"418","MiddenCluster6.Harbert.2018","WEBf3bcbd67",-106.0203,32.4659,"NCA","Other","Other (calibrated)",11403,185,214,"Annual","P","wNA"
"419","MiddenCluster6.Harbert.2018","WEBc7c1ae1d",-106.0203,32.4659,"NCA","Other","Other (calibrated)",11403,178.5,185,"Annual","P-E","wNA"
"420","MiddenCluster7.Harbert.2018","WEB05a4e59f",-116.0048,34.1548,"WNA","Other","Other (calibrated)",10000,197,194,"Annual","P","wNA"
"421","MiddenCluster7.Harbert.2018","WEBc20aba9d",-116.0048,34.1548,"WNA","Other","Other (calibrated)",10000,197,203,"Annual","P-E","wNA"
"422","MiddenCluster8.Harbert.2018","WEB8163f7a4",-109.0977,32.3106,"NCA","Other","Other (calibrated)",7596,93,90.5,"Annual","P","wNA"
"423","MiddenCluster8.Harbert.2018","WEBf52f4207",-109.0977,32.3106,"NCA","Other","Other (calibrated)",7596,93,94,"Annual","P-E","wNA"
"424","MiddenCluster9.Harbert.2018","WEB00c20586",-115.5548,31.6387,"NCA","Other","Other (calibrated)",11361,190,172.5,"Annual","P","wNA"
"425","MiddenCluster9.Harbert.2018","WEBbae8d58a",-115.5548,31.6387,"NCA","Other","Other (calibrated)",11361,190,172.5,"Annual","P-E","wNA"
"426","Minden.Booth.2012","NAm2kHydro015",-82.83,43.61,"ENA","Other","Other (not calibrated)",3042.9,13.95,13.9000000000001,"Summer","P-E","Other"
"427","Minnetonkacave.Lundeen.2013","S2LRLzrOCKJ0i6",-111.519,42.0875,"WNA","Speleothem","Speleothem (d13C)",11115.595,6.80199999999968,6.79999999999973,"Winter","P","SISAL"
"428","Minucua.Goman.2018","WEBb09ddc98",-97.609,17.079,"SCA","Other","Other (not calibrated)",4489.582,4.173,4.173,"Summer","P","wNA"
"429","Minucua.Goman.2018","WEBae63e2cc",-97.609,17.079,"SCA","Other","Other (not calibrated)",4413,1,1,"Annual","P","wNA"
"430","MirePelisoo.EPD","RSUXSR1TBzG",22.38,58.47,"NEU","Pollen","Pollen (calibrated)",10391.31,197.82,200.26,"Annual","P","Marsicek et al. (2018)"
"431","MireSaviku.Sarv.1975","RvWQ2bFFTRO",27.23,58.4,"NEU","Pollen","Pollen (calibrated)",10529.61,156.299999999999,156.63,"Annual","P","Marsicek et al. (2018)"
"432","Miryang.Park.2021","WEB2e632027",128.7781,35.4386,"EAS","Other","Other (not calibrated)",6422,3,3,"Annual","P-E","Other"
"433","Miryang.Park.2021","WEBfbcf81a6",128.7781,35.4386,"EAS","Pollen","Pollen (not calibrated)",5192,38,38,"Annual","P-E","Other"
"434","MittlereHellelen.Welten.1982","R9IyRnOeNEu",7.84,46.28,"WCE","Pollen","Pollen (calibrated)",10739.15,156.650000000001,152.645,"Annual","P","Marsicek et al. (2018)"
"435","MLake.Ritchie.1977","M2L4g91g0giP",-133.47,68.27,"NWN","Pollen","Pollen (calibrated)",10699,102.5,110,"Annual","P","Temp12k"
"436","Mohawk_Pond.Marsicek.2013","GH9372e157",-73.283,41.817,"ENA","Pollen","Pollen (calibrated)",10800,50,50,"Annual","P","Other"
"437","Molinoscave.Moreno.2017","S2LRZ8aI3nEQ7d",-0.4492,40.7925,"MED","Speleothem","Speleothem (d13C)",8081.7591649,14.6085755849999,14.1005716549998,"Winter","P-E","SISAL"
"438","MonheganIslandMeadow.Bostwick.1978","M2L9tqeckzcP",-69.3,43.77,"ENA","Pollen","Pollen (calibrated)",10752,185.95,177,"Annual","P","Marsicek et al. (2018)"
"439","Moon.Grimm.1996","M2Lcdhn1g1wP",-98.16,46.86,"CNA","Pollen","Pollen (calibrated)",10879,81,80.5,"Annual","P","Marsicek et al. (2018)"
"440","Moore.Schweger.1983","OLS_RwLxfQP11eP",-110.5,53,"NWN","Lake Deposits","Lake Deposits",10319,1149,1145,"Annual","P-E","Oxford Lake Levels Database"
"441","MoorimWeissenstadterForst.Hahne.1992","R4HAqt50vNY",11.88,50.14,"WCE","Pollen","Pollen (calibrated)",6963.31,136.73,143.965,"Annual","P","Marsicek et al. (2018)"
"442","Moraine.Hansen.1985","M2L28xoo2wwP",-58.05,52.27,"NEN","Pollen","Pollen (calibrated)",10582,228.5,229,"Annual","P","Marsicek et al. (2018)"
"443","MorrisPond.Morris.2013","WEB90956c0c",-112.7747,37.6744,"WNA","Pollen","Pollen (not calibrated)",8668.588,76.7205000000002,77.3370000000004,"Summer","P-E","wNA"
"444","MorrisPond.Morris.2013","WEBa30eb517",-112.7747,37.6744,"WNA","Pollen","Pollen (not calibrated)",8668.588,76.7205000000002,77.3370000000004,"Summer","P-E","wNA"
"445","MV0811-14JC.Du.2018","LPD7939faee",-120,34.3,"WNA","Other","Other (not calibrated)",7153,60,63,"Annual","P","wNA"
"446","Myrtle.Janssen.1968","M2L955k1lpfP",-93.39,47.98,"CNA","Pollen","Pollen (calibrated)",10906,138.5,151,"Annual","P","Marsicek et al. (2018)"
"447","N14.Andresen.2004","GH77108454",-44.18,59.98,"GIC","Other","Other (not calibrated)",11457.933,28.4900000000016,28.4900000000016,"Annual","P","Other"
"448","Nabta.Wendorf.1976","OLS_Rrtm3chd7C5",31,23,"SAH","Lake Deposits","Lake Deposits",10319,1149,1145,"Annual","P-E","Oxford Lake Levels Database"
"449","Naivasha.Richardson.1972","OLS_RFUFyYZUb0P",36.33,-0.68,"SEAF","Lake Deposits","Lake Deposits",10319,1149,1795,"Annual","P-E","Oxford Lake Levels Database"
"450","NakuruElmenteita.Butzer.1972","OLS_RjwvXKkI618",36.17,-0.42,"SEAF","Lake Deposits","Lake Deposits",10319,1149,2899.5,"Annual","P-E","Oxford Lake Levels Database"
"451","Nar.Roberts.2016","WEB88fe721c",34.4564,38.34,"MED","Lake Sediment d18O","Lake Sediment (d18O)",11994,1,1,"Annual","P-E","Other"
"452","Nattmalsvatn.Janbu.2011","LPD2999f647",17.3943,69.1793,"NEU","Other","Other (not calibrated)",9855.829,21.9630000000002,22.1379999999999,"Winter","P","Other"
"453","NBJ2015iso.Wong.2015","WEB02d26251",-98.34,29.69,"NCA","Speleothem","Speleothem (other)",6911.542,35.3830000000007,35.3830000000007,"Annual","P-E","wNA"
"454","Nedlouc.Larouche.1981","M2Lscfsosn8P",-71.65,57.65,"NEN","Pollen","Pollen (calibrated)",4073,235,181,"Annual","P","Marsicek et al. (2018)"
"455","NEEM.Rasmussen.2013","WEB29098c59",-51.06,77.45,"GIC","Glacier Ice","Glacier Ice",11980,20,20,"Annual","P","Other"
"456","Neor.Sharifi.2015","LPDfefd61ba",48.5553,37.9603,"WCA","Leaf Wax dD","Leaf Wax (dD)",11800,237,234,"Annual","P-E","Other"
"457","Nerfloen.Vasskog.2012","LPDce500deb",6.8667,61.9333,"NEU","Other","Other (not calibrated)",7771.631,51.9965,51.674,"Winter","P","Other"
"458","NevadaPrecip.Hughes.1996","WEB75eec6a6",-115.8,37.8,"WNA","Other","Other (calibrated)",7950,1,1,"Annual","P","Other"
"459","NgamringTso.Conroy. 2017","WEB820982f9",87.2,29.3,"TIB","Other","Other (not calibrated)",4050,25,25,"Summer","P","Other"
"460","No_Bottom_Pond.Marsicek.2013","GH8d2bed43",-70.114,41.285,"ENA","Pollen","Pollen (calibrated)",11000,50,50,"Annual","P","Other"
