"","dataset","tsid","longitude","latitude","ipccReg","Category","recordRange","recordRes","recordResPlus","season","climInterp","source"
"247","Hamundarstadhahals.Caseldine.2006","R7nzsIEPl8l",-18.45,65.97,"GIC","chironomid",3052.105,89.880000000001,89.8800000000001,"summerOnly","T","Temp12k"
"248","Hanging.Cwynar.1982","M2L9ewaug0vP",-138.38,68.38,"NWN","pollen",10279.7,260,316.8,"annual","T","Temp12k"
"249","Hani.Zheng.2017","WEB1fa182ff",126.517,42.2167,"EAS","other biomarker",11960,154.1,155,"annual","T","Temp12k"
"250","HAP0212.vanderBilt.2016","LPD5c89a1b5",11.52,79.26,"ARO","alkenone",10583.6,108,108.2,"summerOnly","T","Temp12k"
"251","Harrie.King.1986","M2Luuo6xgosP",-66.95,52.93,"NEN","pollen",6708,238.5,249,"annual","T","Temp12k"
"252","Haugtjern.Eide.2009","PYTA1GJPYJV",10.88,60.83,"NEU","pollen",8878,136,135.5,"summerOnly","T","Temp12k"
"253","Haukdalsvatn.Larsen.2013","PYTHKXK8JQ3",-21.37,65.03,"GIC","biophysical",9926.989,20.0140000000001,20.0140000000001,"summerOnly","T","Temp12k"
"254","HavredeCrabec.Coutard.2006","R42P7vN8SSD",-1.28,49.68,"WCE","pollen",6832.87,127.29,127.29,"annual","T","Temp12k"
"255","HawkeHillsKettle.Macpherson.1982","M2Lum6m09hnP",-53.13,47.32,"NAO","pollen",7681,204,204,"annual","T","Temp12k"
"256","HeihaiLake.Chang.2017","RiGB29gyPkL",100.07,27.36,"EAS","chironomid",5188,117,117,"summerOnly","T","Temp12k"
"257","HeshangCave.Wang.2018","WEB4f8fa23d",110.4167,30.45,"EAS","other biomarker",8734,91,88,"annual","T","Temp12k"
"258","HiddenLakeCA.Potito.2006","RIRxCH0hUy2",-119.5365,38.2613,"WNA","chironomid",11940.93,244.595,241.83,"summerOnly","T","Temp12k"
"259","High.Fuller.1997","M2Lh5wgkh8bP",-76.6,44.52,"ENA","pollen",10566,40.5,40.5,"annual","T","Temp12k"
"260","Hinterburgsee.Heiri.2015","RD1FZyd0zs4",8.0677,46.7176,"WCE","chironomid",9231.635,177.2245,179.511,"summerOnly","T","Temp12k"
"261","Hinterburgseeli.EPD","RwrQPSdvMms",8.07,46.72,"WCE","pollen",10918.27,143.79,149.43,"annual","T","Temp12k"
"262","Hirvijaervi.Luoto.2010","RbSONPxSQmW",25.23,60.51,"NEU","chironomid",11500,223.3,224.8,"summerOnly","T","Temp12k"
"263","Hjort.Schmidt.2011","PYT88A4DF9B",-18.767,76.433,"GIC","chironomid",9285,254,251.5,"summerOnly","T","Temp12k"
