,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN
8700,-25.760489,-6.622364,-15.370919,6.848127,12.234907,7.490877,19.264935,24.929869,34.36862,21.1964,27.137924,24.134802,22.508314,9.564072,19.667957,8.085022,0.049746625,6.3882923,0.13799968,14.165044,26.937685,24.57866,24.007654,25.872976,23.889584,19.983364,19.852566,24.863375,-16.375809,-3.7706807,-8.023623,-11.29131,11.805693,4.881077,-3.2864408,10.031012,26.891047,23.938875,25.643894,27.023691,22.397842,19.116745,17.418606,9.132577,-44.1679,-28.771738
8800,-26.034058,-6.7374597,-15.606648,6.754912,12.164424,7.369088,19.100584,24.89931,33.979546,21.140968,27.10831,24.11713,22.438103,9.623587,19.673906,8.272108,-0.2762872,6.2257624,-0.02945333,14.052161,26.916054,24.525654,23.963512,25.785856,23.884783,19.963219,19.873367,24.875216,-16.480839,-4.0112104,-8.2938595,-11.269723,11.703282,4.703284,-3.476326,9.881439,26.850298,23.810198,25.634235,27.094536,22.558037,19.231113,17.437761,8.984166,-44.1669,-28.945955
8900,-25.765049,-6.8016777,-15.640219,6.769564,12.026717,7.2453594,19.114298,25.230875,34.212547,21.294485,27.36959,24.191322,22.548294,9.724631,19.706793,8.252465,-0.56371385,5.922159,-0.4243314,14.162519,27.041435,24.629,24.042248,25.88262,23.838251,20.062538,19.947317,24.96371,-16.764868,-4.257808,-8.383846,-11.193369,11.776957,4.834756,-3.4385674,9.915873,26.913797,24.055471,25.657492,27.057058,22.48218,19.272667,17.554296,8.901446,-44.090183,-28.866766
9000,-26.348286,-7.0165377,-17.655346,6.4987407,11.670999,6.14133,19.013765,25.125761,34.251354,21.085583,27.18933,23.940422,22.383652,9.589575,19.631983,8.243377,-0.79846424,5.727701,-1.1320939,14.002267,26.748226,24.420347,23.845913,25.674744,23.409533,19.9446,19.727697,24.715363,-17.48042,-4.770407,-8.622318,-11.76141,11.601805,4.708853,-3.5188544,9.830622,26.651384,23.825743,25.577642,26.95084,22.460993,19.123774,17.446493,9.032544,-44.17179,-29.026237
9100,-26.308844,-6.910687,-17.609365,6.5025535,11.686656,6.1508512,19.044937,25.227486,34.29436,21.219145,27.257408,24.05576,22.45153,9.632059,19.6507,8.205066,-0.8133059,5.741052,-0.97114915,14.105794,26.82113,24.508724,23.95858,25.815657,23.743073,19.928186,19.835669,24.820263,-17.335032,-4.8304434,-8.732008,-11.634956,11.63637,4.7360215,-3.4520721,9.855378,26.866856,24.023357,25.637445,26.982592,22.450823,19.182468,17.458256,8.987456,-44.23094,-28.899767
9200,-26.469833,-6.951537,-17.545216,6.4928837,11.77187,6.300739,19.058731,25.043318,34.250423,21.143227,27.169949,23.974035,22.390171,9.503302,19.668173,8.231537,-0.9444372,5.4453583,-1.0907493,14.0197315,26.77996,24.458513,23.933659,25.827015,23.764128,19.98669,19.827003,24.740347,-17.22764,-4.764186,-8.804612,-11.750926,11.650827,4.738648,-3.3200996,9.767653,26.889687,23.975565,25.604452,26.949373,22.394567,19.083168,17.536238,9.065858,-44.218296,-28.80878
9300,-26.57006,-6.682236,-17.6017,6.5776806,11.73285,6.2643766,19.017393,25.085802,34.276146,21.218557,27.294167,24.031752,22.471899,9.564045,19.642572,8.277033,-0.777723,5.535565,-0.93355715,14.064195,26.816185,24.545818,23.974997,25.8089,23.81064,20.017658,19.841703,24.748613,-17.321493,-4.846966,-8.877018,-11.790444,11.642828,4.6538,-3.3706741,9.807731,26.81779,23.911863,25.66821,26.997864,22.447546,19.148903,17.461744,9.189519,-44.19114,-28.849813
9400,-26.752449,-6.8598285,-17.894337,6.6034217,11.661139,6.052527,18.861345,25.363111,34.380013,21.265507,27.464602,24.06552,22.51185,9.645951,19.74,8.298481,-0.7284978,5.6186576,-1.1034151,14.044411,26.79071,24.552416,23.969875,25.761047,23.76994,20.018612,19.936586,24.92432,-17.389837,-4.881989,-8.827478,-11.778013,11.644099,4.790823,-3.370618,9.9066925,26.78698,23.946548,25.674612,27.01318,22.422329,19.213997,17.493238,8.996186,-44.29454,-29.085562
9500,-27.530293,-7.34896,-19.191746,6.467405,11.545423,5.1170535,18.865536,25.417418,34.25975,21.177288,27.259092,23.94904,22.412157,9.580751,19.680403,8.271604,-0.9639085,5.525544,-1.2730938,13.94791,26.753447,24.452007,23.87749,25.690626,23.664045,19.9147,19.784958,24.639448,-17.666111,-5.004474,-8.888723,-12.118428,11.459771,4.6887674,-3.3671784,9.826803,26.647753,23.839146,25.580627,26.977606,22.362385,19.152298,17.420246,9.046121,-44.317646,-29.110643
9600,-27.360733,-7.278621,-19.203943,6.4573655,11.513038,5.105626,18.874317,25.556566,34.273304,21.245697,27.471483,24.011898,22.467003,9.56245,19.720299,8.286537,-1.1751428,5.6068606,-1.2350101,14.021975,26.771437,24.55303,23.943325,25.692123,23.697899,20.00398,19.879124,24.778507,-17.786602,-4.983308,-8.860506,-11.968983,11.522663,4.857302,-3.4889588,9.857932,26.70931,23.89243,25.626999,26.970705,22.366379,19.116266,17.483397,8.986466,-44.284195,-29.116959
