,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN
6300,1.179733,2.3647966,2.0363498,1.0191449,2.180316,3.536063,2.5451756,3.9944303,1.9798435,4.519209,3.2631497,0.17760563,0.7188857,2.414298,1.4253914,2.4000497,1.8152823,1.5297033,1.3673112,0.8861669,0.9270046,9.356642,6.2517285,3.9502392,0.76718634,0.59667915,0.5778721,0.45925575,1.8333684,1.6887618,2.9554803,2.6949983,0.382328,1.0401841,5.141341,6.806797,0.14761701,5.3010273,7.6136007,1.3908607,0.71939975,1.1405572,0.9488873,4.7337093,0.34922534,1.1127847
6400,1.1713665,2.3551695,2.0213833,1.0187131,2.1242063,3.5416844,2.5325334,4.1901875,1.9669523,4.5093822,3.3304203,0.17705618,0.7169301,2.385403,1.360876,2.404028,1.8330551,1.5935484,1.3421197,0.9139751,0.978918,9.416509,6.266767,3.9487238,0.7833741,0.597699,0.57191974,0.48837134,1.8464451,1.6674879,2.9457386,2.7020075,0.3800957,1.0696039,5.1398396,6.7323613,0.1521504,5.2545857,7.5841684,1.3628258,0.7532501,1.098474,1.0029517,4.880441,0.35351622,1.095383
6500,1.1741849,2.3605318,2.0155437,1.0143129,2.0830765,3.4814513,2.5655477,4.173883,1.8887274,4.527024,3.3368766,0.18401164,0.74128354,2.4439309,1.4189141,2.3592303,1.8421645,1.5327495,1.377515,0.91387016,1.0436132,9.448322,6.3418756,4.004453,0.8006246,0.595095,0.57227707,0.4829702,1.818215,1.7220486,2.9071476,2.7368388,0.38763264,0.9891317,5.1336536,6.788723,0.15826456,5.382432,7.569623,1.4014745,0.7491501,1.178125,0.9898771,4.8732996,0.3588762,1.1363642
6600,1.1762913,2.365574,2.0350828,1.0251621,2.1234858,3.5637612,2.5025272,4.3857894,2.0603068,4.5295215,3.2783253,0.16989236,0.71892834,2.4307935,1.3667543,2.3408234,1.832846,1.5138304,1.338718,0.90144753,0.9518716,9.357508,6.352795,3.9781199,0.77828896,0.56492335,0.5435955,0.44172436,1.8185148,1.7153261,2.93912,2.7827504,0.3882856,1.0610567,5.1894903,6.8582015,0.17294985,5.3285747,7.6225615,1.3342605,0.68898034,1.1437119,0.981454,4.8872037,0.34630516,1.1169655
6700,1.1886626,2.3820047,2.0070522,1.0156457,2.1455607,3.5234296,2.487115,4.274708,2.003208,4.7013826,3.3251815,0.17159434,0.73648155,2.4575703,1.356888,2.406281,1.8519633,1.5744067,1.3341899,0.8675125,0.97053224,9.577444,6.396714,4.005796,0.7956182,0.6072409,0.5580581,0.4603865,1.8531551,1.7296047,2.9533849,2.6786656,0.3940176,1.0727156,5.1591716,6.868399,0.16794728,5.314911,7.5583467,1.4041065,0.71124095,1.155585,0.9696382,4.83003,0.35622913,1.1093246
6800,1.1732368,2.389173,1.9920977,1.005162,2.1606815,3.5481584,2.593399,4.3180447,1.9561824,4.6615224,3.3105717,0.182447,0.7743812,2.4519703,1.3740551,2.3761063,1.8106309,1.571832,1.268538,0.93451995,1.0837877,9.706298,6.4474144,4.0115643,0.8091513,0.5868865,0.5676171,0.5155216,1.8319377,1.7027674,2.9659216,2.7088509,0.3941375,1.0554028,5.198146,6.9045544,0.18198016,5.336621,7.6118007,1.329228,0.71888447,1.1371524,0.9859401,5.0160365,0.3610098,1.1345131
6900,1.1823508,2.3786657,1.997825,1.0412095,2.1431277,3.557817,2.4846065,4.0469804,1.9934993,4.5953727,3.2162697,0.15418941,0.7209242,2.4498942,1.4016743,2.3737955,1.8892899,1.5386771,1.3474953,0.87072814,1.0466799,9.602537,6.462339,4.0873575,0.80056363,0.5785697,0.55899036,0.47323167,1.8126328,1.705402,2.9624631,2.7521346,0.41339114,1.062253,5.1950707,6.8654327,0.19207083,5.4582825,7.653341,1.3803798,0.7344489,1.1186154,0.9605154,4.8605194,0.34019378,1.1209773
7000,1.1897764,2.3626304,1.9960074,1.0279223,2.154356,3.5000534,2.5619938,4.226917,1.9271419,4.611813,3.2482536,0.16602886,0.70938694,2.3723662,1.3554572,2.3750246,1.8181558,1.5600597,1.3338535,0.89602673,0.9996931,9.642581,6.500211,4.04535,0.81104404,0.6032121,0.5396799,0.4610528,1.8296185,1.7086661,2.958983,2.758833,0.38469878,1.0602807,5.2515187,6.812685,0.17113717,5.2599807,7.527405,1.5022957,0.7633139,1.1711957,0.94456404,4.9372087,0.3443895,1.1080283
7100,1.1541373,2.380031,1.983148,1.0414547,2.1513882,3.5376725,2.5600185,4.244982,1.9894513,4.827291,3.3819523,0.1781889,0.7988553,2.4101572,1.4160353,2.3429165,1.8534338,1.5548028,1.3401309,0.8865557,1.0392774,9.7038555,6.498436,4.0299783,0.81975406,0.61797565,0.5819191,0.4716411,1.8520801,1.6488986,2.943488,2.7009778,0.39359498,1.0817145,5.198223,6.87228,0.16676661,5.3385067,7.54894,1.3631858,0.68753624,1.1150383,0.99720997,4.8167477,0.34724888,1.1142757
7200,1.1545585,2.3729067,2.0047112,1.0144746,2.1110082,3.6076543,2.4797592,4.1481447,1.8267047,4.8154154,3.3373406,0.1684187,0.7589376,2.402754,1.4369156,2.3674242,1.8102558,1.5555855,1.35016,0.8827247,1.048712,9.669621,6.417279,4.056218,0.8104972,0.60477525,0.57690746,0.45278975,1.8284698,1.6683816,2.9466095,2.715944,0.3814977,1.0815506,5.2513094,6.952747,0.17721824,5.3651457,7.5416775,1.3676864,0.7824796,1.1916183,1.0026678,4.850991,0.34867936,1.0976517
7300,1.1534187,2.3547904,1.9834566,1.0279042,2.1310694,3.5207355,2.5848362,4.2305546,1.9089049,4.813875,3.3427358,0.17557994,0.76470643,2.374765,1.3992635,2.363345,1.8313457,1.6244252,1.3331575,0.8997563,1.0740485,9.652706,6.5245743,4.1152935,0.84255046,0.6166202,0.5824207,0.47328734,1.8140094,1.6861471,2.934011,2.7722511,0.40300155,1.069233,5.263387,6.8494935,0.18913244,5.3935423,7.54961,1.2906302,0.6876913,1.1231977,0.99588335,4.8771186,0.3419545,1.1244423
7400,1.1550303,2.3802464,1.9792701,1.0432206,2.1077762,3.5235407,2.5696282,4.4768143,1.9995825,4.7335577,3.3485193,0.16960351,0.722181,2.4057176,1.4241356,2.3092825,1.8613042,1.5628061,1.3560869,0.89814615,1.1034007,9.718079,6.4879975,4.0739393,0.83824694,0.5607643,0.5573401,0.4555606,1.8515879,1.6464212,2.94924,2.754839,0.39581424,1.0865996,5.2902346,6.847155,0.17657289,5.4225936,7.4703526,1.3137896,0.7295229,1.210311,0.9959922,4.8766685,0.34971532,1.121381
7500,1.1646945,2.365421,1.946587,1.013912,2.1205187,3.572373,2.5642629,4.0464997,1.9578878,4.8029804,3.3412426,0.1693995,0.7637483,2.3972907,1.4122413,2.3321495,1.8401268,1.5966693,1.3672882,0.85592675,1.0041292,9.775657,6.585836,4.0980372,0.8313094,0.58744824,0.54336995,0.43249893,1.8445536,1.7017354,2.9754806,2.7473655,0.40010923,1.0893823,5.365799,6.920073,0.19698818,5.4668617,7.676467,1.314782,0.74448967,1.275823,0.99065465,4.855867,0.344158,1.1274333
7600,1.1779871,2.379548,1.9654305,0.99032634,2.1009853,3.5393686,2.5838828,4.1806235,1.8404487,4.831624,3.284867,0.16210471,0.74953395,2.4310043,1.3949584,2.3487413,1.82681,1.554909,1.3433473,0.86027235,1.0525395,9.703805,6.543328,4.0955186,0.81917006,0.5991695,0.5525689,0.46369416,1.8443913,1.6776227,2.91758,2.7947295,0.37952223,1.0954719,5.4129124,6.8622465,0.18620661,5.4644504,7.6568356,1.3781873,0.7305887,1.1131723,0.94474727,4.961074,0.3425299,1.1114063
7700,1.1755818,2.3921745,1.9518006,1.0329379,2.1330853,3.6131332,2.5592275,4.251607,1.9418062,4.807929,3.275064,0.16154048,0.75821847,2.3854122,1.4483744,2.3660572,1.8141268,1.5559679,1.3598846,0.8838766,1.0559056,9.733697,6.6230865,4.1609845,0.86393315,0.60572356,0.5448816,0.4281249,1.8373357,1.7149847,2.981214,2.7685924,0.39825138,1.1139766,5.437641,7.030653,0.2138738,5.5849676,7.604213,1.3519497,0.8223139,1.2571316,1.0195575,5.0101795,0.34545168,1.1269922
7800,1.1439106,2.387057,1.9483652,1.0153366,2.069019,3.5510488,2.5725105,4.141855,1.8714914,4.9745026,3.3455634,0.16792658,0.8043737,2.409623,1.4550356,2.2735431,1.8213072,1.5495696,1.3283353,0.8669671,0.9984047,9.9015875,6.67789,4.1553993,0.87563926,0.59844154,0.58423674,0.4921521,1.840404,1.6783211,2.9731488,2.7686217,0.3909013,1.0899452,5.3749433,7.0016904,0.1932876,5.486015,7.5479736,1.3107179,0.70722055,1.201019,0.9779772,5.011926,0.3445564,1.1509832
7900,1.1725528,2.3728108,1.9444095,1.0191721,2.089749,3.6059344,2.5389566,4.1843014,1.8800021,4.940863,3.4090996,0.18058899,0.778845,2.3975015,1.3797432,2.3072932,1.7890222,1.5317429,1.3552116,0.9083035,1.1616861,9.884068,6.707179,4.2065945,0.8667137,0.5872891,0.5428832,0.44013196,1.8499115,1.735127,2.9217367,2.7626348,0.39933318,1.1062928,5.484216,6.9880357,0.20857164,5.6063476,7.6237473,1.3676728,0.751101,1.280248,0.9719232,4.879429,0.34602818,1.1003537
8000,1.1786659,2.409643,1.9489999,1.0078214,2.0653963,3.5149553,2.5774972,4.217265,1.8852125,4.933474,3.4088473,0.20005597,0.793442,2.4261084,1.3675556,2.4018087,1.8457701,1.581101,1.3443724,0.85210663,1.0649486,9.781731,6.676376,4.1866565,0.8525074,0.58460534,0.56672615,0.4406818,1.8444905,1.6949201,2.9493096,2.8133006,0.40252948,1.1199108,5.451199,6.970406,0.21922928,5.556621,7.56538,1.3786454,0.73225737,1.232838,0.98424995,4.8569875,0.34072855,1.0977739
8100,1.166529,2.3862815,1.9571539,0.97887945,2.0561233,3.5888004,2.517065,4.168499,1.9490107,4.9840827,3.405564,0.17687632,0.79720175,2.4184792,1.4104494,2.293959,1.8058418,1.5508529,1.3089277,0.87461126,1.1122792,9.804055,6.7452717,4.211301,0.8789137,0.6019878,0.5405316,0.43663028,1.8758885,1.6566092,2.9391677,2.7817876,0.40947497,1.084306,5.428264,6.9496584,0.22148763,5.5813828,7.645584,1.3935574,0.7702501,1.2801707,0.98482966,4.8604264,0.34691724,1.1125884
8200,1.1658727,2.4184563,1.9194074,0.9989042,2.0710385,3.5415833,2.525092,4.2424474,1.8631994,5.1025844,3.3782816,0.16731408,0.78712374,2.386781,1.4565179,2.2985053,1.8281962,1.5785177,1.3232019,0.8748417,1.1333702,9.836562,6.780622,4.2153745,0.86755437,0.5544914,0.5147551,0.41227633,1.8542976,1.738471,2.954232,2.8086686,0.4032711,1.0998656,5.4282017,7.0040426,0.2164394,5.6623163,7.568022,1.4034255,0.724823,1.2478098,0.9842949,4.8223896,0.3364078,1.1494553
8300,1.1409419,2.374279,1.9455608,1.0309553,2.100419,3.568565,2.5659254,4.154633,1.8794459,5.111486,3.4604712,0.185937,0.7770235,2.371219,1.3877072,2.336488,1.8363554,1.5647972,1.3335334,0.8338228,1.1276872,9.975971,6.80414,4.198717,0.86409503,0.5868274,0.5538218,0.43194905,1.8527628,1.6842368,2.9344907,2.77988,0.40751925,1.1280345,5.471693,6.9860787,0.23155722,5.591561,7.644282,1.4081922,0.75908184,1.1825931,0.97655463,4.865158,0.34446338,1.1067271
