,0,1,2,3,4,5
0,ARP,3,0.84,0.91,0.3333333333333333,0.6666666666666666
1,CAF,2,0.58,0.61,1.0,1.0
2,CAR,2,-0.69,0.05,0.5,0.5
3,CAU,1,0.31,-0.8,0.0,1.0
4,CNA,28,-0.07,0.32,0.4642857142857143,0.9642857142857143
5,EAN,3,0.99,0.99,1.0,1.0
6,EAS,53,0.84,0.82,0.8490566037735849,0.4716981132075472
7,EAU,2,-0.1,0.56,0.5,1.0
8,ECA,15,0.87,0.59,0.3333333333333333,0.8
9,EEU,3,0.84,0.94,0.6666666666666666,1.0
10,ENA,92,0.43,0.64,0.7934782608695652,0.9782608695652174
11,ESAF,6,0.52,0.89,0.6666666666666666,0.8333333333333334
12,ESB,7,0.84,0.39,0.42857142857142855,1.0
13,GIC,10,0.9,-0.65,0.9,0.6
14,MDG,2,0.94,0.79,1.0,1.0
15,MED,59,0.9,0.88,0.6101694915254238,0.7966101694915254
16,NAU,4,0.36,0.21,0.25,0.75
17,NCA,21,-0.13,-0.01,0.42857142857142855,0.9047619047619048
18,NEAF,12,0.86,0.8,0.16666666666666666,1.0
19,NEN,17,0.94,0.18,0.8235294117647058,1.0
20,NES,8,0.53,0.89,0.75,0.375
21,NEU,56,0.98,0.98,0.8571428571428571,0.9107142857142857
22,NSA,4,0.05,0.67,0.75,0.5
23,NWN,47,-0.61,0.56,0.5106382978723404,0.8936170212765957
24,NWS,11,0.01,0.76,0.8181818181818182,0.36363636363636365
25,NZ,9,0.74,0.97,0.1111111111111111,1.0
26,RAR,4,0.74,0.97,0.75,1.0
27,RFE,7,0.93,0.92,0.8571428571428571,0.8571428571428571
28,SAH,11,0.89,0.97,0.36363636363636365,1.0
29,SAM,6,-0.61,-0.22,0.3333333333333333,0.8333333333333334
30,SAS,9,0.63,0.66,0.7777777777777778,0.3333333333333333
31,SAU,16,0.58,-0.01,0.0625,1.0
32,SCA,15,-0.59,0.32,0.3333333333333333,0.6666666666666666
33,SEA,11,0.93,0.37,0.7272727272727273,0.8181818181818182
34,SEAF,19,0.96,0.38,0.47368421052631576,0.9473684210526315
35,SES,3,0.79,-0.52,0.3333333333333333,0.6666666666666666
36,SSA,4,0.48,0.58,0.75,1.0
37,SWS,3,-0.62,-0.2,0.0,1.0
38,TIB,24,0.98,0.96,0.5833333333333334,0.75
39,WAF,3,-0.62,0.62,0.3333333333333333,0.6666666666666666
40,WAN,1,0.91,0.87,1.0,1.0
41,WCA,13,0.83,0.88,0.46153846153846156,0.7692307692307693
42,WCE,65,0.99,0.94,0.9384615384615385,0.9692307692307692
43,WNA,91,0.23,-0.18,0.38461538461538464,0.8351648351648352
44,WSAF,8,-0.44,-0.24,0.5,0.625
45,WSB,15,0.99,0.95,0.8666666666666667,1.0
