,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN
10100,0.68578327,1.4674295,1.0402634,1.9102331,1.9862266,2.562503,1.5783098,1.906514,1.1242187,6.14955,4.0559974,4.386537,5.4552045,2.3268487,2.9327621,2.515355,1.6766009,1.6819594,0.9947572,1.6394219,0.48189196,4.668068,5.721416,2.4870808,2.626188,3.2324793,3.2898114,3.48127,0.8978255,1.0105971,1.3029231,1.4694754,0.84580034,0.5698811,2.3642943,3.6214542,0.1725919,2.0285416,7.451131,4.625924,1.8367472,2.2635753,1.1833417,5.2606487,0.32056597,0.88741434
10200,0.67892075,1.4768156,1.0483253,1.888471,1.9683943,2.5684845,1.4938557,1.8931859,1.121867,6.1319385,4.150924,4.461992,5.527055,2.3464918,2.9007418,2.496345,1.6631606,1.6829264,1.001319,1.615675,0.4716475,4.6062913,5.6815248,2.448059,2.5834622,3.306317,3.3251917,3.5568244,0.9166533,1.0045164,1.3012923,1.467911,0.8200191,0.5627038,2.364877,3.6525116,0.17203166,2.0841131,7.410242,4.765752,1.9034771,2.229701,1.2239816,5.2033854,0.32134977,0.88039416
10300,0.6810811,1.4876565,1.0477912,1.8873764,1.9480731,2.589372,1.5392146,1.917947,1.1075734,6.149239,4.1140294,4.5308847,5.5179825,2.325044,2.9049716,2.533465,1.6833404,1.6539986,0.99907815,1.6215001,0.45788175,4.650451,5.7205973,2.4314883,2.5434315,3.3457727,3.3443425,3.5084667,0.9043529,1.0176952,1.3029177,1.4812788,0.8346323,0.5638146,2.3341823,3.634862,0.16454588,2.0399432,7.4177623,4.7757425,1.8822074,2.2346377,1.1915482,5.240879,0.31584457,0.8796193
10400,0.69295865,1.5039814,1.05126,1.8701732,1.9754796,2.5947294,1.5367757,1.96626,1.1235405,6.144856,4.1635685,4.461919,5.498224,2.3133287,2.9233673,2.5090184,1.7345525,1.6850046,1.0287759,1.6178012,0.4640117,4.64153,5.712749,2.4755297,2.6388109,3.2649665,3.3070855,3.475515,0.9126761,1.0172487,1.3151708,1.4906896,0.8188386,0.5596021,2.3630657,3.655812,0.16561595,2.0462675,7.387616,4.676894,1.8750055,2.257025,1.2038549,5.2621145,0.31560484,0.875969
10500,0.70084244,1.4993736,1.0189967,1.8637159,1.9482503,2.5311592,1.4604529,1.9997685,1.0915143,6.2021008,4.0646024,4.4035144,5.4986987,2.3401759,2.9490259,2.5318675,1.6532598,1.6853204,1.0020964,1.6335161,0.47239554,4.6675363,5.7156444,2.4744565,2.6331048,3.298353,3.321399,3.4202418,0.887124,1.0187826,1.3122922,1.4882817,0.8171979,0.5578932,2.326505,3.656295,0.17194356,2.0405517,7.3925414,4.7144613,1.8345883,2.2054791,1.1798898,5.3253655,0.31627753,0.8708672
10600,0.7279323,1.5096056,1.0102395,1.8862131,1.9214922,2.541874,1.5255053,1.9634818,1.126997,6.11462,4.0305233,4.4781837,5.563185,2.320292,2.962082,2.5382705,1.6775072,1.6610353,1.00197,1.6237155,0.4809253,4.660095,5.746618,2.4544227,2.5536885,3.3331745,3.3360462,3.446756,0.902917,1.0072666,1.3077917,1.4868399,0.8296856,0.5843447,2.3611221,3.6555257,0.17265819,2.0592988,7.3934693,4.7576027,1.8571007,2.252858,1.161354,5.360992,0.32035887,0.8594267
10700,0.71244365,1.5048555,1.0064418,1.9074134,1.9277899,2.5264063,1.484251,1.9801625,1.1513029,6.2073116,4.0718026,4.4685936,5.545844,2.3156073,2.9653857,2.5279741,1.6477631,1.6910453,0.9834024,1.6545895,0.4983631,4.6641436,5.7484984,2.4686499,2.601917,3.3219213,3.3227956,3.5066957,0.8884981,0.9993284,1.3159959,1.4788655,0.8294578,0.54035664,2.343576,3.64517,0.17019664,2.0462108,7.3563886,4.68826,1.9366807,2.3211405,1.2358207,5.29444,0.31515953,0.86906356
10800,0.71043134,1.5115036,0.99428254,1.8902956,1.9360439,2.5366101,1.5289886,1.9559038,1.0717177,6.1818023,4.0772824,4.4374986,5.496584,2.320644,2.9174957,2.5290186,1.6611681,1.6630657,1.0148225,1.6280363,0.45607463,4.6258726,5.6991467,2.467039,2.5768983,3.242907,3.2875574,3.479733,0.8874072,1.0027372,1.3085886,1.4732214,0.841409,0.5592474,2.3836102,3.6562998,0.17910974,2.10574,7.398728,4.7183714,1.8698452,2.3101437,1.2221291,5.2725677,0.31234753,0.8540067
10900,0.72696763,1.5410556,0.98666453,1.9398935,1.9506627,2.514538,1.5367416,1.8196496,1.0144467,6.1553545,3.9941595,4.435578,5.4934,2.31117,2.9027655,2.5485072,1.6842821,1.6777246,1.0015732,1.6253246,0.43094385,4.5671797,5.744889,2.4991593,2.5909274,3.3080428,3.2818522,3.4395597,0.89601475,1.0211351,1.3304833,1.4981521,0.8498881,0.56999964,2.3676395,3.641777,0.1783543,2.0631735,7.4561386,4.6209927,1.885743,2.2399752,1.2016568,5.3991184,0.28192315,0.7447254
11000,0.73929197,1.5593697,0.98247194,1.9095775,1.9893836,2.557223,1.5718677,1.8215467,1.0485694,6.1153965,3.9659991,4.4360323,5.489647,2.2985384,2.9518945,2.5603101,1.6617702,1.6906934,1.021433,1.6338696,0.43116793,4.556478,5.717861,2.4735818,2.5753436,3.33932,3.3013756,3.394686,0.90450406,1.0288152,1.3266345,1.4954331,0.82136214,0.5539694,2.3801327,3.6468358,0.16299058,2.1020467,7.438649,4.6784577,1.8774365,2.2468855,1.1996682,5.4198008,0.2631146,0.58028346
11100,0.7126357,1.5722399,0.96697694,1.8908765,1.928186,2.5132987,1.5423336,1.8870522,1.0153394,6.0987196,3.9634507,4.5088286,5.494675,2.3033683,2.963106,2.5715706,1.669118,1.6696851,0.99822485,1.6107877,0.43161368,4.561305,5.673554,2.4451237,2.5659564,3.3604243,3.3305013,3.4803302,0.89797527,0.9950579,1.3125808,1.4667127,0.82811546,0.54958284,2.3380408,3.6731215,0.16556306,2.075525,7.484233,4.748704,1.9535458,2.300793,1.2432712,5.465226,0.2597362,0.5549497
11200,0.7203796,1.5524869,0.94145495,1.9228605,1.9651678,2.5460036,1.5639893,1.8057197,0.9921025,6.082267,3.93833,4.471589,5.500757,2.2978234,2.959392,2.5481253,1.6779225,1.6734759,0.994872,1.6331102,0.41463965,4.56262,5.731693,2.4762273,2.5743866,3.3070385,3.3278227,3.4631398,0.88618815,1.0159873,1.3188574,1.4637889,0.84597313,0.55858445,2.3705273,3.6334188,0.17118308,2.0427988,7.4861913,4.6781425,1.8289245,2.2814884,1.1801847,5.3626266,0.2604308,0.58401024
