"composite...1","composite...2","composite...3","composite...4"
-0.856901687049706,-1.26397916676587,-0.909347216184648,-0.974626980405015
-0.465244164751258,-0.947592763168619,-0.56408407062522,-0.647340310866485
0.509576003576357,-0.271703281815833,0.461223415107501,0.368485447431616
-0.242028786176416,-0.930310304055251,-0.323187560445949,-0.365265961789761
-0.280154309142024,-0.953166247883488,-0.333971247858196,-0.391121283983365
0.317969957990646,-0.471826225097136,0.24665120538811,0.17788845918408
0.778461233889836,-0.0240271008687735,0.78797020670923,0.668008189767365
0.947864331139196,0.0913844467255662,0.967411863783489,0.819832118866958
0.978000460574041,0.141374971948697,0.951595593389693,0.829769487981582
0.586146521487467,-0.195881631902767,0.632196356058307,0.492336070039411
0.414487046102138,-0.392972570582711,0.44609327488797,0.342337022088155
0.278520879578448,-0.439805310570893,0.303475561861401,0.210916232432883
0.0675973539663572,-0.583142435388834,0.113465676473046,0.0308061140864849
0.030896136608047,-0.548325781888925,0.119961553196015,0.00629973000919944
-0.00404110450757999,-0.5526550398478,0.0360867246246355,-0.0831415367793209
-0.0235426961924707,-0.554732493731198,0.0307145802336546,-0.087490782225314
0.150241116702552,-0.451623017175845,0.171964849292256,0.0393562315110813
0.0381741963677414,-0.519479524669787,0.0160440244997322,-0.11471100458674
-0.311400925573427,-0.824260426159417,-0.343421269641902,-0.470947208283179
-0.310326609881618,-0.841250072243366,-0.350320258577725,-0.4944612038012
-0.27774181601361,-0.821923256692189,-0.304557768035442,-0.434578985779371
0.0166985937261655,-0.549957752232762,-0.000770106399115947,-0.161317436233472
0.135598333639112,-0.48984459642083,0.0835018565780268,-0.0831340575574862
0.142830453820263,-0.465606089203866,0.102948448342722,-0.0923175201830837
-0.271584447906602,-0.843834587019272,-0.326747963892067,-0.513735911823821
-0.153449624166446,-0.764158144531033,-0.187651622174544,-0.355667754876188
0.0156221234277645,-0.603239073323892,-0.00195624021274462,-0.118789952994803
-0.131459802261166,-0.746818470631076,-0.122534898434737,-0.262865788539987
-0.0639889217237954,-0.686277925849925,-0.0899834956454918,-0.25056209702446
-0.21801104584115,-0.846500457478792,-0.220668285399278,-0.390568442784062
-0.558837151945542,-1.08203187300612,-0.57574718946947,-0.753280924215969
-0.182252303394205,-0.7616348795845,-0.235678523744704,-0.439954199472042
-0.179327405526093,-0.764799613251662,-0.196240704150986,-0.383181781110802
-0.479427213644671,-1.01164549040885,-0.528515461235988,-0.676538567362005
-0.0599177716212858,-0.556805062322178,-0.0991997065407052,-0.292346789617214
-0.274062975321573,-0.646628941955526,-0.28812683927602,-0.423948934666742
-0.124881907076547,-0.511611273077414,-0.132267445436508,-0.268929728479703
0.0190220224094058,-0.351782158113494,0.0441856658708444,-0.137450059113859
0.398712854879102,-0.0358724612698288,0.400003590780079,0.204318432356523
0.128870081983604,-0.27666527596284,0.14411738398019,-0.0600073863919051
0.0506363798764827,-0.265729308121453,0.065407567931885,-0.114012953199756
0.0883136970115028,-0.321549001425957,0.123652180409864,-0.0418347824178428
0.212514418302252,-0.229500903214832,0.238892029046734,0.0695046801553052
0.432521386682823,-0.0247965964538224,0.457430926561121,0.280002374580493
0.337510043654775,-0.178247740895341,0.334795156443016,0.158107010639288
0.190424136748074,-0.276280808543882,0.212626166193397,0.0284740342908467
0.460479364670678,0.023022247129499,0.49109877645132,0.288536867545305
0.608994771766142,0.215302593348511,0.659042521676872,0.392148021959472
1.03005903288251,0.616515801813311,1.12087176817052,0.865920291208971
0.832709104420866,0.496427972506189,0.921966732629419,0.660412364416413
0.40287914301166,0.116115511518443,0.417456356545906,0.180945682531709
1.00236046854801,0.746459972212576,1.10655005899332,0.810107012211984
0.685066955667275,0.466672831477986,0.795996444605835,0.497081506168219
0.747581853322984,0.446911863579064,0.842446131386778,0.529743452029857
0.446961796477477,0.078718047852627,0.571966319130198,0.288254999495059
0.560697167732036,0.200459673719886,0.70324339981691,0.407940941102993
0.278385316099595,-0.0862192661340499,0.398564485486492,0.12566380028069
0.738973590856383,0.484282207029224,0.88714150864152,0.633807158752603
0.853604293066661,0.683714297989558,1.00068182486593,0.716901685355661
0.971221657673616,0.771205322232271,1.1388770343897,0.845118978394683
1.17993106035154,0.971825658169189,1.30699283793399,1.02106127438987
1.1923145060384,0.962166968087533,1.31782823847554,1.01754536472704
1.74259353331159,1.60186445768363,1.97877442057738,1.68032417936028
2.32980213359167,2.21909565714339,2.59648751442174,2.25526565009586
2.26047806832776,2.11174047422864,2.56658181485542,2.27964464570118
1.83201864034054,1.81781904082053,2.10583237069877,1.81173954242566
1.94212007201617,1.94801483462877,2.19639762657315,1.88811882011007
1.90137425003527,1.85137760001317,2.1841390153257,1.87409502200484
1.64390948564097,1.68356955647482,1.84637610929679,1.51185661053453
1.79394984986157,1.79813595299288,2.01855964281781,1.68827649864811
1.31205810659456,1.17065121351923,1.47169083012301,1.1473671312153
1.3146908678664,1.1444725379834,1.46463568641181,1.17796116687008
1.93325952778053,1.73211734644569,2.0765855386364,1.68888095443742
1.34369026045048,1.15183820019967,1.41252608947874,1.03663742587149
0.958172889018212,0.891592042528913,0.989189667188291,0.60966180473498
1.52146762937843,1.45909784587693,1.62796894421242,1.23570147395948
1.55657576783336,1.53945491944293,1.67662075344421,1.28041538633086
1.62763987682031,1.59046656280573,1.76671998709968,1.40518164701424
1.69831402385272,1.63728302972367,1.82818596397218,1.45588003692123
1.44312034895825,1.34445519478292,1.51979875070596,1.13259521000487
1.06404070095839,1.00499121761723,1.15667436981768,0.801823506827613
1.2698784437842,1.22100956230485,1.37896577620298,1.02338817815561
