"","dataset","tsid","longitude","latitude","ipccReg","archive","proxy","Category","CategorySpec","minAge","maxAge","ageRange","ageRes","ageResPlus","season","climInterp","source","direction","ka_0.5","ka_4","ka_6","ka_8","ka_10","maxValAge","minValAge"
"338","GeoB3129_1.Weldeab.2006","T2L_GeoB3129_1_mgca_ruber_SST_from_mgca_ruber",-36.6367,-4.6133,"NES","MarineSediment","Mg/Ca","Mg/Ca","Mg/Ca",170,12000,11830,170,170,"annual","T","Temp12k","positive",27.487,27.821,27.705,27.9,27.808,10590,11330
"339","GeoB3129_1.Weldeab.2006","T2L_GeoB3129_1_d18o_ruber_SST_from_d18o_ruber",-36.6367,-4.6133,"NES","MarineSediment","d18O","isotope","isotope",170,12000,11830,170,170,"annual","T","Temp12k","positive",27.735,27.718,27.624,27.11,27.021,4050,11470
"340","GeoB3129_1.Weldeab.2006","T2L_GeoB3129_1_d18o_sacculifer_SST_from_d18o_sacculifer",-36.6367,-4.6133,"NES","MarineSediment","d18O","isotope","isotope",250,12000,11750,170,170,"annual","T","Temp12k","positive",28.971,28.494,28.642,28.064,26.88,2630,11690
"341","GeoB3129_1.Weldeab.2006","T2L_GeoB3129_1_d18o_ruber_pink_SST_from_d18o_ruber_pink",-36.6367,-4.6133,"NES","MarineSediment","d18O","isotope","isotope",250,12000,11750,170,170,"annual","T","Temp12k","positive",27.872,27.792,27.307,27.811,27.155,1900,11400
"342","GeoB33131.Lamy.2002","T2L_GeoB33131_uk37_SST_from_uk37",-74.3,-41,"SWS","MarineSediment","alkenone","alkenone","alkenone",13,6953,6940,83.5,84,"annual","T","Temp12k","positive",14.538,15.088,15.103,NA,NA,4964,13
"343","GeoB33131.Lamy.2002","T2L_GeoB33131_d18o_pachyderma_SST_from_d18o_pachyderma",-74.3,-41,"SWS","MarineSediment","d18O","isotope","isotope",85,6963,6878,46,46.5,"annual","T","Temp12k","positive",14.512,14.804,15.169,NA,NA,6274,2220
"344","GeoB3910_2.Arz.2001","T2L_GeoB3910_2_uk37_SST_from_uk37",-36.345,-4.245,"NES","MarineSediment","alkenone","alkenone","alkenone",1371,12000,10629,274,277,"annual","T","Temp12k","positive",NA,29.459,29.086,29.049,28.456,5692,12000
"345","GeoB3910_2.Arz.2001","T2L_GeoB3910_2_d18o_sacculifer_SST_from_d18o_sacculifer",-36.345,-4.245,"NES","MarineSediment","d18O","isotope","isotope",245,10699,10454,99,99,"annual","T","Temp12k","positive",27.658,28.477,28.885,27.882,27.642,6272,10481
"346","GeoB4905_4.Weldeab.2005","T2L_GeoB4905_4_mgca_ruber_pink_SST_from_mgca_ruber_pink",9.384,2.5,"CAF","MarineSediment","Mg/Ca","Mg/Ca","Mg/Ca",60,12000,11940,180,180,"annual","T","Temp12k","positive",29.502,29.455,30.043,29.828,30.226,6760,3130
"347","GeoB4905_4.Weldeab.2005","T2L_GeoB4905_4_d18o_ruber_pink_SST_from_d18o_ruber_pink",9.384,2.5,"CAF","MarineSediment","d18O","isotope","isotope",60,12000,11940,180,180,"annual","T","Temp12k","positive",28.127,29.017,31.042,31.628,31.758,7470,1040
"348","GeoB5844_2.Arz.2003","T2L_GeoB5844_2_uk37_SST_from_uk37",34.6817,27.714,"ARP","MarineSediment","alkenone","alkenone","alkenone",813.2,12000,11186.8,301.8,301.8,"annual","T","Temp12k","positive",28.604,28.657,27.588,26.918,26.464,2354.4,11751.2
"349","GeoB5844_2.Arz.2003","T2L_GeoB5844_2_d18o_ruber_SST_from_d18o_ruber",34.6817,27.714,"ARP","MarineSediment","d18O","isotope","isotope",516,9948,9432,301.8,301.8,"annual","T","Temp12k","positive",27.149,27.163,27.051,29.1,27.05,9264,1407.6
"350","GeoB5901_2.Kim.2004","T2L_GeoB5901_2_uk37_SST_from_uk37",-7.0713,36.38,"MED","MarineSediment","alkenone","alkenone","alkenone",1130,9920,8790,20,20,"annual","T","Temp12k","positive",NA,19.035,19.556,19.542,19.829,9160,4480
"351","GeoB6518_1.Schefu.2005","T2L_GeoB6518_1_uk37_SST_from_uk37",11.2217,-5.5883,"CAF","MarineSediment","alkenone","alkenone","alkenone",30,12000,11970,142,142,"annual","T","Temp12k","positive",24.692,23.783,23.939,23.371,24.203,331,8122
"352","GeoB6518_1.Schefu.2005","T2L_GeoB6518_1_d18o_ruber_SST_from_d18o_ruber",11.2217,-5.5883,"CAF","MarineSediment","d18O","isotope","isotope",30,12000,11970,142,142,"annual","T","Temp12k","positive",26.237,27.015,27.837,28.436,27.266,9149,11182
"353","GeoB65181_MBT.Weijers.2007","GHd6662417",11.2,-5.6,"CAF","MarineSediment","GDGT","other biomarker","other biomarker",0,12000,12000,139.665999999999,127.1455,"annual","T","Temp12k","positive",24.394,24.86,24.662,24.273,23.576,3982.1165,11861.515
"354","GeoB7702_3.Castaneda.2010","T2L_GeoB7702_3_tex86_SST_from_tex86",34.0667,31.652,"MED","MarineSediment","GDGT","other biomarker","other biomarker",142,12000,11858,192,192,"annual","T","Temp12k","positive",24.688,24.271,23.387,25.371,21.606,9124,11684
"355","GeoB7702_3.Castaneda.2010","T2L_GeoB7702_3_uk37_SST_from_uk37",34.0667,31.652,"MED","MarineSediment","alkenone","alkenone","alkenone",375,12000,11625,266,266,"winterOnly","T","Temp12k","positive",21.803,22.416,20.702,20.953,21.096,4458,11684
"356","GeoB7926_2.Kim.2012","T2L_GeoB7926_2_uk37_SST_from_uk37",-18.4517,20.2133,"SAH","MarineSediment","alkenone","alkenone","alkenone",226.61,12000,11773.39,491.375,491.375,"annual","T","Temp12k","positive",20.106,20.397,20.47,20.588,19.548,6652,11953.6
"357","GeoB7926_2.Kim.2012","T2L_GeoB7926_2_tex86_SST_from_tex86",-18.4517,20.2133,"SAH","MarineSediment","GDGT","other biomarker","other biomarker",226.61,12000,11773.39,212.04,212.040000000001,"annual","T","Temp12k","positive",19.561,20.072,19.352,19.286,17.822,718,9656.5
"358","GeoB9307_3.Weldeab.2014","T2L_GeoB9307_3_mgca_ruber_SST_from_mgca_ruber",37.38,-18.565,"ESAF","MarineSediment","Mg/Ca","Mg/Ca","Mg/Ca",100,12000,11900,115.5,117,"annual","T","Temp12k","positive",25.293,25.269,25.725,26.094,26.454,10100,11743
"359","GeoB9307_3.Weldeab.2014","T2L_GeoB9307_3_tex86_SST_from_tex86",37.38,-18.565,"ESAF","MarineSediment","GDGT","other biomarker","other biomarker",0,12000,12000,103.200000000001,105.8,"annual","T","Temp12k","positive",25.901,26.082,26.745,27.365,27.997,10355.6,1275.6
"360","GeoB9307_3.Weldeab.2014","T2L_GeoB9307_3_d18o_ruber_SST_from_d18o_ruber",37.38,-18.565,"ESAF","MarineSediment","d18O","isotope","isotope",100,12000,11900,125,128,"annual","T","Temp12k","positive",27.514,27.403,27.243,27.373,27.006,6606,11703
"361","GeoB9310_4.Weldeab.2014","T2L_GeoB9310_4_mgca_ruber_SST_from_mgca_ruber",37.0415,-19.2018,"ESAF","MarineSediment","Mg/Ca","Mg/Ca","Mg/Ca",419.966,12000,11580.034,94.3089999999993,93.3069999999998,"annual","T","Temp12k","positive",25.16,24.882,25.341,25.257,25.905,11300.48,10572.87
"362","GeoB9310_4.Weldeab.2014","T2L_GeoB9310_4_d18o_ruber_SST_from_d18o_ruber",37.0415,-19.2018,"ESAF","MarineSediment","d18O","isotope","isotope",419.966,12000,11580.034,84.6350000000002,85.5660000000007,"annual","T","Temp12k","positive",26.68,27.247,27.141,27.039,26.584,5406.512,10780.92
"363","GEOFAR_KF16_MgCa.Repschlager.2016","LPD736982dd_SST_from_Mg0x2FCa",-31.1283,37.999,"NAO","MarineSediment","Mg/Ca","Mg/Ca","Mg/Ca",524,11258,10734,78,75.5,"annual","T","Temp12k","positive",20.755,21.718,21.821,21.996,21.663,10716,10616
"364","GGC19.Farmer.2011","PYTLU4EW21I",-155.51,72.16,"NWN","MarineSediment","dinocyst","other microfossil","other microfossil",415.43,6511.9,6096.47,134,134.8,"summer+","T","Temp12k","positive",6.835,6.402,5.402,NA,NA,3513.4,5072.4
"365","GGC19.Farmer.2011","PYT6D3JR7SB",-155.51,72.16,"NWN","MarineSediment","dinocyst","other microfossil","other microfossil",415.43,6511.9,6096.47,134,134.8,"annual","T","Temp12k","positive",2.852,2.739,2.109,NA,NA,3513.4,5072.4
"366","Giecz.Milecka.2002","Ro3B6DNs1ql",17.36,52.32,"WCE","LakeSediment","pollen","pollen","pollen",150.97,9050.46,8899.49,116.955,112.825,"winter+","T","Temp12k","positive",-2.038,3.517,3.14,3.134,NA,5849.5,1325.82
"367","Giecz.Milecka.2002","Rd6Oiv4cg6q",17.36,52.32,"WCE","LakeSediment","pollen","pollen","pollen",150.97,9050.46,8899.49,116.955,112.825,"annual","T","Temp12k","positive",7.814,12.611,11.981,11.741,NA,3683.76,1325.82
"368","Giecz.Milecka.2002","RMr3bTfSrKG",17.36,52.32,"WCE","LakeSediment","pollen","pollen","pollen",150.97,9050.46,8899.49,116.955,112.825,"summer+","T","Temp12k","positive",17.666,21.705,20.821,20.348,NA,3683.76,1661.73
"369","Giering.Bortenschlager.1976","RcmVWMitlMg",12.36,47.47,"WCE","Peat","pollen","pollen","pollen",187.68,10970.58,10782.9,154.110000000001,158.675,"winter+","T","Temp12k","positive",-3.882,-3.692,-3.94,-3.86,1.3,9712.85,10970.58
"370","Giering.Bortenschlager.1976","RKyXg0f8sCz",12.36,47.47,"WCE","Peat","pollen","pollen","pollen",187.68,10970.58,10782.9,154.110000000001,158.675,"annual","T","Temp12k","positive",5.133,4.94,5.026,5.029,9.594,9951.2,10970.58
"371","Giering.Bortenschlager.1976","Rp7Lgyoj4uQ",12.36,47.47,"WCE","Peat","pollen","pollen","pollen",187.68,10970.58,10782.9,154.110000000001,158.675,"summer+","T","Temp12k","positive",14.149,13.573,13.993,13.918,17.888,9951.2,187.68
"372","GIK17049_6.Jung.1996","T2L_GIK17049_6_d18o_bulloides_SST_from_d18o_bulloides",-26.725,55.26,"NAO","MarineSediment","d18O","isotope","isotope",776,12000,11224,98,97.5,"annual","T","Temp12k","positive",10.022,12.695,12.388,11.417,10.372,6857,776
"373","GIK17049_6.Jung.1996","T2L_GIK17049_6_d18o_pachyderma_SST_from_d18o_pachyderma",-26.725,55.26,"NAO","MarineSediment","d18O","isotope","isotope",2567,12000,9433,524.5,338,"annual","T","Temp12k","positive",NA,9.123,9.81,6.215,4.607,6641,10140
"374","GIK17051_3.Jung.1996","T2L_GIK17051_3_d18o_bulloides_SST_from_d18o_bulloides",-31.99,56.1633,"NAO","MarineSediment","d18O","isotope","isotope",859,12000,11141,203.5,203,"annual","T","Temp12k","positive",9.774,10.799,10.764,10.826,10.706,6323,11356
"375","GIK17051_3.Jung.1996","T2L_GIK17051_3_d18o_pachyderma_SST_from_d18o_pachyderma",-31.99,56.1633,"NAO","MarineSediment","d18O","isotope","isotope",859,11569,10710,236.5,260,"annual","T","Temp12k","positive",6.267,6.703,10.15,8.459,4.331,6984,10555
"376","GIK17748-2.Kim.2002","PYTQY9TKRS3_SST_from_Uk37",-72.0333,-32.75,"SWS","MarineSediment","alkenone","alkenone","alkenone",1080,12000,10920,435,470,"annual","T","Temp12k","positive",NA,17.147,17.935,15.996,16,6310,11100
"377","GIK17940_2.Pelejero.1999","T2L_GIK17940_2_uk37_SST_from_uk37",117.3833,20.1167,"EAS","MarineSediment","alkenone","alkenone","alkenone",14,12000,11986,117,118,"annual","T","Temp12k","positive",27.395,27.007,27.055,25.956,24.695,1178,11748
"378","GIK17940_2.Pelejero.1999","T2L_GIK17940_2_d18o_ruber_SST_from_d18o_ruber",117.3833,20.1167,"EAS","MarineSediment","d18O","isotope","isotope",14,12000,11986,27.8000000000002,27.8000000000002,"annual","T","Temp12k","positive",28.614,28.558,28.276,28.398,29.22,10033,8511
"379","GIK18287_3.Kienast.2001","T2L_GIK18287_3_uk37_SST_from_uk37",110.6615,5.663,"SEA","MarineSediment","alkenone","alkenone","alkenone",3389,12000,8611,207,207,"annual","T","Temp12k","positive",NA,29.563,29.287,28.707,28.464,4114,11780
"380","GIK18287_3.Kienast.2001","T2L_GIK18287_3_d18o_ruber_SST_from_d18o_ruber",110.6615,5.663,"SEA","MarineSediment","d18O","isotope","isotope",3389,12000,8611,140.5,153,"annual","T","Temp12k","positive",NA,31.112,30.458,30.374,30.598,5019,11981
"381","GiK18515_3","R7fm0TgPac4_SST_from_planktic0x2EMgCa",119.36,-3.6298,"SEA","MarineSediment","Mg/Ca","Mg/Ca","Mg/Ca",214,12000,11786,52,52,"annual","T","Temp12k","positive",30.646,30.729,30.583,31.152,31.286,8643,1377
"382","GIK23258_2.Martrat.2003","T2L_GIK23258_2_uk37_SST_from_uk37",13.9685,74.9981,"ARO","MarineSediment","alkenone","alkenone","alkenone",760,12000,11240,125,120,"annual","T","Temp12k","positive",8.833,9.294,10.07,10.149,10.133,10610,12000
"383","GIK23258_2.Martrat.2003","T2L_GIK23258_2_d18o_pachyderma_SST_from_d18o_pachyderma",13.9685,74.9981,"ARO","MarineSediment","d18O","isotope","isotope",670,12000,11330,34,34,"annual","T","Temp12k","positive",6.481,6.057,6.472,6.775,6.171,9558,12000
"384","GIK23258.Sarnthein.2003","WEB6b4bb5c0",14,75,"ARO","MarineSediment","foraminifera","other microfossil","other microfossil",698,12000,11302,34.5,34,"winter+","T","Temp12k","positive",2.554,0.723,1.609,1.993,3.689,9570,11600
"385","GIK23258.Sarnthein.2003","WEB892a8505",14,75,"ARO","MarineSediment","foraminifera","other microfossil","other microfossil",698,12000,11302,34.5,34,"summer+","T","Temp12k","positive",5.496,3.011,4.365,4.814,6.798,9570,11600
"386","GIK23258.Sarnthein.2003","WEB3c877daf",14,75,"ARO","MarineSediment","foraminifera","other microfossil","other microfossil",698,12000,11302,34.5,34,"annual","T","Temp12k","positive",4.025,1.867,2.987,3.403,5.244,9570,11600
"387","Gilltjarnen.Antonsson.2006","PYTRNLIY93N",15.83,60.08,"NEU","LakeSediment","chironomid","chironomid","chironomid",0,10706.78,10706.78,149.8645,147.971,"summerOnly","T","Temp12k","positive",13.977,13.284,13.125,12.704,11.717,2921.116,10706.78
"388","Gilltjarnen.Antonsson.2006","PYT6LCMKNSQ",15.83,60.08,"NEU","LakeSediment","pollen","pollen","pollen",210.871,8954.761,8743.89,89.4980000000005,89.0169999999998,"annual","T","Temp12k","positive",5.025,5.723,6.106,5.057,NA,5754.065,7978.123
"389","GISP2.Kobashi.2017","LPD315357f3",-38.5,72.6,"GIC","GlacierIce","gas","other ice","other ice",0,11512,11512,1,1,"annual","T","Temp12k","positive",-31.408,-30.722,-30.584,-30.198,-31.263,7836,11369
"390","Glaswaldsee.EPD","R7dZDOFallY",8.25,48.43,"WCE","LakeSediment","pollen","pollen","pollen",376.23,10274.68,9898.45,50.1349999999993,50.6099999999997,"winter+","T","Temp12k","positive",0.658,-0.053,3.318,3.477,2.245,6828.3,2529.34
"391","Glaswaldsee.EPD","RCdkGYUfpeV",8.25,48.43,"WCE","LakeSediment","pollen","pollen","pollen",376.23,10274.68,9898.45,50.1349999999993,50.6099999999997,"annual","T","Temp12k","positive",9.145,8.679,11.554,11.32,9.35,5648.94,2529.34
"392","Glaswaldsee.EPD","RGSf66iUGGX",8.25,48.43,"WCE","LakeSediment","pollen","pollen","pollen",376.23,10274.68,9898.45,50.1349999999993,50.6099999999997,"summer+","T","Temp12k","positive",17.632,17.411,19.79,19.163,16.454,5648.94,2529.34
"393","Gloppsjon.Seppa.2009","PYTVPO5NXEA",16.53,59.83,"NEU","LakeSediment","pollen","pollen","pollen",0,8971.748,8971.748,108.8475,107.994000000001,"annual","T","Temp12k","positive",4.69,7.089,7.515,6.419,NA,5764.649,96.101
"394","GodziszewskieLake.Miotk.1986","RFzafiT2i0G",18.55,54.09,"WCE","LakeSediment","pollen","pollen","pollen",212.13,9520.91,9308.78,83.8400000000001,83.52,"winter+","T","Temp12k","positive",-2.737,1.043,-1.423,-4.325,-11.557,5089.89,9438.11
"395","GodziszewskieLake.Miotk.1986","R2omRGlE3NW",18.55,54.09,"WCE","LakeSediment","pollen","pollen","pollen",212.13,9520.91,9308.78,83.8400000000001,83.52,"annual","T","Temp12k","positive",5.922,9.237,7.108,5.745,0.278,5089.89,9438.11
"396","GodziszewskieLake.Miotk.1986","RCwRCGbOckk",18.55,54.09,"WCE","LakeSediment","pollen","pollen","pollen",212.13,9520.91,9308.78,83.8400000000001,83.52,"summer+","T","Temp12k","positive",14.58,17.431,15.639,15.815,12.113,5089.89,9438.11
"397","GondoAlpjen.Welten.1982","Rx5JZzkqphH",8.11,46.21,"WCE","LakeSediment","pollen","pollen","pollen",151.05,6577.36,6426.31,143.08,145.4,"winter+","T","Temp12k","positive",-5.22,-4.328,-2.245,NA,NA,5946.36,852.6
"398","GondoAlpjen.Welten.1982","Rc2ObsVyF57",8.11,46.21,"WCE","LakeSediment","pollen","pollen","pollen",151.05,6577.36,6426.31,143.08,145.4,"annual","T","Temp12k","positive",2.489,4.066,6.948,NA,NA,5946.36,852.6
"399","GondoAlpjen.Welten.1982","RhpSRBqCzip",8.11,46.21,"WCE","LakeSediment","pollen","pollen","pollen",151.05,6577.36,6426.31,143.08,145.4,"summer+","T","Temp12k","positive",10.199,12.459,16.141,NA,NA,5946.36,461.96
"400","Gosciaz.Welten.1982","RcSsvGezIa5",19.35,52.58,"WCE","LakeSediment","pollen","pollen","pollen",0,10986.47,10986.47,50.1700000000001,50.3200000000002,"winter+","T","Temp12k","positive",-3.493,2.821,1.253,-3.347,-6.747,3854.95,10092.02
"401","Gosciaz.Welten.1982","RgkQUSYm0tI",19.35,52.58,"WCE","LakeSediment","pollen","pollen","pollen",0,10986.47,10986.47,50.1700000000001,50.3200000000002,"annual","T","Temp12k","positive",6.841,11.994,10.59,7.132,3.26,3854.95,10092.02
"402","Gosciaz.Welten.1982","RvII85BRN76",19.35,52.58,"WCE","LakeSediment","pollen","pollen","pollen",0,10986.47,10986.47,50.1700000000001,50.3200000000002,"summer+","T","Temp12k","positive",17.174,21.167,19.926,17.612,13.267,4105.06,10376.79
"403","Gould.Anderson.2008","M2L6ew5shwrP",-69.32,44.98,"ENA","LakeSediment","pollen","pollen","pollen",0,10942,10942,178,185,"summer+","T","Temp12k","positive",19.086,18.829,18.838,19.376,18.379,24,2022
"404","Gould.Anderson.2008","M2Lqwcm0wf7P",-69.32,44.98,"ENA","LakeSediment","pollen","pollen","pollen",0,10942,10942,178,181.5,"winter+","T","Temp12k","positive",-9.454,-10.086,-9.538,-9.4,-12.153,24,9809
"405","Gould.Anderson.2008","M2Lxbc1e0kaP",-69.32,44.98,"ENA","LakeSediment","pollen","pollen","pollen",0,10942,10942,178,185,"annual","T","Temp12k","positive",5.407,5.021,5.24,5.483,3.86,24,10771
"406","GraechenSee.Krisai.2006","Rnodq2jxJiF",7.85,46.2,"WCE","LakeSediment","pollen","pollen","pollen",25.36,8318.67,8293.31,92.6100000000001,96.5800000000002,"winter+","T","Temp12k","positive",-5.154,-5.026,-4.574,-4.653,NA,7330.17,4825.44
"407","GraechenSee.Krisai.2006","Rn31CYQ7kF0",7.85,46.2,"WCE","LakeSediment","pollen","pollen","pollen",25.36,8318.67,8293.31,92.6100000000001,96.5800000000002,"annual","T","Temp12k","positive",2.939,4.813,5.994,5.047,NA,8247.13,8055.57
"408","GraechenSee.Krisai.2006","RnxedBSG27v",7.85,46.2,"WCE","LakeSediment","pollen","pollen","pollen",25.36,8318.67,8293.31,92.6100000000001,96.5800000000002,"summer+","T","Temp12k","positive",11.032,14.652,16.561,14.746,NA,8245.2,8055.57
"409","Graham.Fuller.1997","M2L1hd9elcgP",-77.35,45.18,"ENA","LakeSediment","pollen","pollen","pollen",1,10980,10979,39,39,"summer+","T","Temp12k","positive",19.144,19.267,19.517,19.976,19.129,7690.66666666667,10822
"410","Graham.Fuller.1997","M2L482cj2l6P",-77.35,45.18,"ENA","LakeSediment","pollen","pollen","pollen",1,10980,10979,39,39,"winter+","T","Temp12k","positive",-9.789,-9.798,-10.364,-11.279,-11.795,10506,10822
"411","Graham.Fuller.1997","M2LrfsovzqmP",-77.35,45.18,"ENA","LakeSediment","pollen","pollen","pollen",1,10980,10979,39,39,"annual","T","Temp12k","positive",5.384,5.478,5.351,5.239,4.476,4366.33333333333,10822
"412","GrandeBriere.Visset.1979","RPF4p4q460x",-2.25,47.37,"WCE","Peat","pollen","pollen","pollen",253.23,4951.3,4698.07,115.88,116.39,"winter+","T","Temp12k","positive",2.932,0.195,NA,NA,NA,4824.34,4307.27
"413","GrandeBriere.Visset.1979","R1IFPSGR8D4",-2.25,47.37,"WCE","Peat","pollen","pollen","pollen",253.23,4951.3,4698.07,115.88,116.39,"annual","T","Temp12k","positive",8.845,8.017,NA,NA,NA,4889.37,4729.16
"414","GrandeBriere.Visset.1979","RrTXYObncyp",-2.25,47.37,"WCE","Peat","pollen","pollen","pollen",253.23,4951.3,4698.07,115.88,116.39,"summer+","T","Temp12k","positive",14.759,15.839,NA,NA,NA,4889.37,4729.16
"415","GravelRidge.Lamb.1985","M2L6kibcpjzP",-62.63,55.03,"NEN","LakeSediment","pollen","pollen","pollen",47,7279,7232,178,187,"summer+","T","Temp12k","positive",7.65,8.032,8.74,NA,NA,5454.33333333333,6835
"416","GravelRidge.Lamb.1985","M2Lf95apbthP",-62.63,55.03,"NEN","LakeSediment","pollen","pollen","pollen",47,7279,7232,178,187,"winter+","T","Temp12k","positive",-8.605,-9.832,-10.466,NA,NA,7141,5454.33333333333
"417","GravelRidge.Lamb.1985","M2L7yts2zmyP",-62.63,55.03,"NEN","LakeSediment","pollen","pollen","pollen",47,7279,7232,178,187,"annual","T","Temp12k","positive",-1.105,-1.536,-1.45,NA,NA,7141,2163
"418","GreatBasin.Salzer.2014","LPD8d84bf64",-116.5,38,"WNA","Wood","TRW","biophysical","biophysical",0,4524,4524,1,1,"summer+","T","Temp12k","positive",-0.02,1.118,NA,NA,NA,2384,481
"419","Grenadier.McAndrews.1988","M2Lybj31kyvP",-79.47,43.64,"ENA","LakeSediment","pollen","pollen","pollen",0,4631,4631,44,44,"summer+","T","Temp12k","positive",20.452,20.188,NA,NA,NA,3312,1420
"420","Grenadier.McAndrews.1988","M2L8tu5bymcP",-79.47,43.64,"ENA","LakeSediment","pollen","pollen","pollen",0,4631,4631,44,44,"winter+","T","Temp12k","positive",-9.141,-8.493,NA,NA,NA,2188,3312
"421","Grenadier.McAndrews.1988","M2L56xlqdy9P",-79.47,43.64,"ENA","LakeSediment","pollen","pollen","pollen",0,4631,4631,44,44,"annual","T","Temp12k","positive",6.374,6.454,NA,NA,NA,2188,3972
"422","GreyIslands.Cullen.2002","M2Llyg55yq9P",-55.52,50.77,"NEN","LakeSediment","pollen","pollen","pollen",0,10862,10862,144,144,"summer+","T","Temp12k","positive",14.293,19.964,21.488,14.921,5.498,6699,10862
"423","GreyIslands.Cullen.2002","M2L8a4z7ntyP",-55.52,50.77,"NEN","LakeSediment","pollen","pollen","pollen",0,10862,10862,144,144,"winter+","T","Temp12k","positive",-14.75,-0.517,3.824,-7.398,-22.773,6699,10574
"424","GreyIslands.Cullen.2002","M2L2jfcsqvbP",-55.52,50.77,"NEN","LakeSediment","pollen","pollen","pollen",0,10862,10862,144,144,"annual","T","Temp12k","positive",-0.277,9.813,12.931,3.523,-9.436,6699,10862
"425","GRIP.Vinther.2006","PYTZPNPWL0E",-37.63,72.58,"GIC","GlacierIce","d18O","isotope","isotope",0,12000,12000,0,20,"annual","T","Temp12k","positive",-35.292,-34.82,-34.847,-34.881,-35.07,9100,11860
"426","Grostjorn.Eide.2009","PYTXLQJX3FB",7.73,58.53,"NEU","LakeSediment","pollen","pollen","pollen",0,8914,8914,146.5,144,"summerOnly","T","Temp12k","positive",14.296,15.076,14.602,14.556,NA,4341,27
"427","Gunnarsfjorden.Allen.2007","PYTE08I3BN3",28.17,71.04,"NEU","LakeSediment","pollen","pollen","pollen",0,9124.107,9124.107,98.0030000000006,97.6705000000002,"summer+","T","Temp12k","positive",11.1,13.622,14.911,15.25,NA,7884.119,389.5
"428","Gunnarsfjorden.Allen.2007","PYTHEC2VIP4",28.17,71.04,"NEU","LakeSediment","pollen","pollen","pollen",32.185,9124.107,9091.922,98.5749999999998,100.904,"winter+","T","Temp12k","positive",1.911,0.506,0.317,-0.255,NA,32.185,9124.107
"429","Gunnarsfjorden.Allen.2007","RCP5UgOcOkR",28.17,71.04,"NEU","LakeSediment","pollen","pollen","pollen",0,9124.107,9124.107,98.0030000000006,99.2149999999992,"summerOnly; winterOnly","T","Temp12k","positive",-0.461,0.097,0.647,0.531,NA,5846.646,9124.107
"430","GYXO.Self.2015","RznCZXhHXPN",92.1731,68.165,"RAR","LakeSediment","chironomid","chironomid","chironomid",0,3476,3476,130,130,"summerOnly","T","Temp12k","positive",12.478,NA,NA,NA,NA,3363,2025
"431","H214.Samson.2005","RypmpVeFWPB",177.4392,-36.9225,"NZ","MarineSediment","foraminifera","other microfossil","other microfossil",590,11660,11070,670,785,"annual","T","Temp12k","positive",0.139,0.064,1.929,1.088,1.787,10550,11660
"432","Haengstli.Heeb.1972","RiC8o7pLcFf",7.83,46.79,"WCE","Peat","pollen","pollen","pollen",211.61,7834.28,7622.67,156.545,157.030000000001,"winter+","T","Temp12k","positive",-2.423,-2.462,-2.371,3.266,NA,7680.13,1943.08
"433","Haengstli.Heeb.1972","RzyRCrnQ01a",7.83,46.79,"WCE","Peat","pollen","pollen","pollen",211.61,7834.28,7622.67,156.545,157.030000000001,"annual","T","Temp12k","positive",6.336,6.306,6.731,9.844,NA,7680.13,1943.08
"434","Haengstli.Heeb.1972","RnZjOuuIWhT",7.83,46.79,"WCE","Peat","pollen","pollen","pollen",211.61,7834.28,7622.67,156.545,157.030000000001,"summer+","T","Temp12k","positive",15.094,15.074,15.833,16.422,NA,7371.83,2125.06
"435","Hail.Cwynar.1995","PYTW12WS22J",-129.02,60.03,"NWN","LakeSediment","pollen","pollen","pollen",67,11334,11267,138,139,"winterOnly","T","Temp12k","positive",6.767,7.189,0.378,0.867,1.95,11300,7604
"436","Hail.Cwynar.1995","PYT1URDUH1H",-129.02,60.03,"NWN","LakeSediment","pollen","pollen","pollen",67,9918,9851,185,185,"summerOnly","T","Temp12k","positive",3.56,3.317,-0.306,-0.381,-0.175,67,7604
"437","Hallet.McKay.2009","PYTQ80LZ9WG",-146.2389,61.4919,"NWN","LakeSediment","BSi","biophysical","biophysical",0,8193.501,8193.501,11.7234999999999,11.723,"summerOnly","T","Temp12k","positive",1.928,2.019,3.87,4.232,NA,8193.501,2506.151
"438","Hams.Bennett.1987","M2L8sc7gn3mP",-80.41,43.24,"ENA","LakeSediment","pollen","pollen","pollen",0,10864,10864,113,129,"summer+","T","Temp12k","positive",21.463,21.54,20.99,20.975,20.267,4200,9972
"439","Hams.Bennett.1987","M2Lx32u25tbP",-80.41,43.24,"ENA","LakeSediment","pollen","pollen","pollen",0,10864,10864,113,128,"winter+","T","Temp12k","positive",-6.032,-5.969,-6.314,-7.048,-11.079,512,10147
"440","Hams.Bennett.1987","M2L7thzxje2P",-80.41,43.24,"ENA","LakeSediment","pollen","pollen","pollen",0,10864,10864,113,120.5,"annual","T","Temp12k","positive",8.299,8.378,7.843,7.547,5.498,4200,10147
"441","Hamundarstadhahals.Caseldine.2006","R7nzsIEPl8l",-18.45,65.97,"GIC","LakeSediment","chironomid","chironomid","chironomid",7686.27,10738.375,3052.105,89.880000000001,89.8800000000001,"summerOnly","T","Temp12k","positive",NA,NA,NA,10.507,7.678,8105.71,10482.875
