"","dataset","tsid","longitude","latitude","ipccReg","archive","proxy","Category","CategorySpec","minAge","maxAge","ageRange","ageRes","ageResPlus","season","climInterp","source","direction","ka_0.5","ka_4","ka_6","ka_8","ka_10","maxValAge","minValAge"
"180","ClearLakeIA.Baker.1992","M2L8muhrctrP",-93.43,43.13,"CNA","LakeSediment","pollen","pollen","pollen",0,10600,10600,218.5,214.5,"annual","T","Temp12k","positive",6.855,6.113,5.001,6.624,7.492,10600,5435
"181","ClearLakeIN.Bailey.1972","M2Lypiizu4hP",-86.54,41.64,"ENA","LakeSediment","pollen","pollen","pollen",21.8,10800,10778.2,253.1,337.4,"summer+","T","Temp12k","positive",22.32,22.424,22.276,22.229,22.237,2449,10800
"182","ClearLakeIN.Bailey.1972","M2Lr1vurcfcP",-86.54,41.64,"ENA","LakeSediment","pollen","pollen","pollen",21.8,10800,10778.2,253.1,337.4,"winter+","T","Temp12k","positive",-5.307,-5.4,-5.386,-5.443,-6.089,2449,10800
"183","ClearLakeIN.Bailey.1972","M2La3lgwa79P",-86.54,41.64,"ENA","LakeSediment","pollen","pollen","pollen",21.8,10800,10778.2,253.1,337.4,"annual","T","Temp12k","positive",9.254,9.249,9.149,9.061,8.795,2449,10800
"184","ClearPond.Hussey.1993","M2L70fguskmP",-78.95,33.8,"ENA","LakeSediment","pollen","pollen","pollen",101,10912,10811,160,160,"summer+","T","Temp12k","positive",27.126,27.197,27.429,26.669,26.625,3599,10912
"185","ClearPond.Hussey.1993","M2L1mbkfqyoP",-78.95,33.8,"ENA","LakeSediment","pollen","pollen","pollen",101,10912,10811,160,160,"winter+","T","Temp12k","positive",8.83,8.877,9.676,7.22,6.616,6098.66666666667,10912
"186","ClearPond.Hussey.1993","M2Lbtzi9joeP",-78.95,33.8,"ENA","LakeSediment","pollen","pollen","pollen",101,10912,10811,160,160,"annual","T","Temp12k","positive",18.621,18.706,19.233,17.586,17.25,6098.66666666667,10912
"187","CN01.Cheung.2017","WEBfc1570c4",91.1778,30.5619,"TIB","Peat","GDGT","other biomarker","other biomarker",243,9921,9678,146,144.5,"annual","T","Temp12k","positive",3.508,-1.073,6.348,3.168,0.927,6288,2610
"188","Coghill.King.1986","M2Lz8zzjys7P",-66.77,53.9,"NEN","LakeSediment","pollen","pollen","pollen",0,6146,6146,282.5,298,"summer+","T","Temp12k","positive",11.965,11.15,12.929,NA,NA,6146,4679
"189","Coghill.King.1986","M2Ls8oc7swkP",-66.77,53.9,"NEN","LakeSediment","pollen","pollen","pollen",0,6146,6146,282.5,298,"winter+","T","Temp12k","positive",-23.678,-17.343,-20.468,NA,NA,3967,386
"190","Coghill.King.1986","M2L511e6mjbP",-66.77,53.9,"NEN","LakeSediment","pollen","pollen","pollen",0,6146,6146,282.5,298,"annual","T","Temp12k","positive",-5.368,-2.725,-3.737,NA,NA,6146,2443
"191","Compass.Macpherson.1986","M2Lakkznb6iP",-56.2,50.03,"NEN","LakeSediment","pollen","pollen","pollen",0,10864,10864,181,184.5,"summer+","T","Temp12k","positive",9.879,10.872,11.052,10.7,9.572,4781,8514.83333333333
"192","Compass.Macpherson.1986","M2L3k86dnu3P",-56.2,50.03,"NEN","LakeSediment","pollen","pollen","pollen",0,10864,10864,181,187,"winter+","T","Temp12k","positive",-18.15,-16.512,-17.788,-16.971,-16.632,1877,4753.2
"193","Compass.Macpherson.1986","M2Lfqrx9sloP",-56.2,50.03,"NEN","LakeSediment","pollen","pollen","pollen",0,10864,10864,181,187,"annual","T","Temp12k","positive",-5.094,-3.525,-4.114,-3.878,-4.456,1877,922.333333333333
"194","Copley.Fall.1997","M2Lz7ewxd8jP",-107.08,38.87,"WNA","LakeSediment","pollen","pollen","pollen",0,10710,10710,220,232,"summer+","T","Temp12k","positive",11.34,11.85,11.371,11.998,11.148,7371,234
"195","Copley.Fall.1997","M2Lv02p3n8eP",-107.08,38.87,"WNA","LakeSediment","pollen","pollen","pollen",0,10710,10710,220,216,"winter+","T","Temp12k","positive",-11.177,-10.714,-11.214,-10.4,-11.024,7371,234
"196","Copley.Fall.1997","M2L4attyxxdP",-107.08,38.87,"WNA","LakeSediment","pollen","pollen","pollen",0,10710,10710,220,216,"annual","T","Temp12k","positive",-0.134,0.339,-0.167,0.533,-0.214,7371,234
"197","CoppermineSaddleback.Nichols.1975","M2L57gunhnaP",-115.32,67.83,"NWN","LakeSediment","pollen","pollen","pollen",0,4104.4,4104.4,53.6,71.5,"summer+","T","Temp12k","positive",6.681,7.893,NA,NA,NA,3460.6,726.2
"198","CoppermineSaddleback.Nichols.1975","M2LfavpryfiP",-115.32,67.83,"NWN","LakeSediment","pollen","pollen","pollen",0,4104.4,4104.4,53.6,71.5,"winter+","T","Temp12k","positive",-27.2,-16.603,NA,NA,NA,4104.4,115.7
"199","CoppermineSaddleback.Nichols.1975","M2Lo0iw64l3P",-115.32,67.83,"NWN","LakeSediment","pollen","pollen","pollen",0,4104.4,4104.4,53.6,71.5,"annual","T","Temp12k","positive",-11.189,-5.245,NA,NA,NA,2171.3,726.2
"200","Corser.Nichols.2014","PYTUQPUNFJT",-145.45,60.53,"NWN","Peat","GDGT","other biomarker","other biomarker",103,11116,11013,213,213,"annual","T","Temp12k","positive",5.839,6.803,4.601,4.475,4.565,8941,1359
"201","CottonwoodLake.Grimm.1987","M2Lhri5d4vvP",-99.91,44.84,"CNA","LakeSediment","pollen","pollen","pollen",0,10972,10972,252,257,"summer+","T","Temp12k","positive",21.917,24.264,22.836,22.733,21.643,5469,10901.5
"202","CottonwoodLake.Grimm.1987","M2Ldae73dbnP",-99.91,44.84,"CNA","LakeSediment","pollen","pollen","pollen",0,10972,10972,252,257,"winter+","T","Temp12k","positive",-13.033,-2.672,-8.758,-9.833,-13.814,5469,10901.5
"203","CottonwoodLake.Grimm.1987","M2Lwg7wsrd5P",-99.91,44.84,"CNA","LakeSediment","pollen","pollen","pollen",0,10972,10972,252,257,"annual","T","Temp12k","positive",5.613,10.965,7.728,7.323,5.126,5469,10901.5
"204","CottonwoodPassPond.Fall.1997","M2Lyc9a2r23P",-106.41,38.83,"WNA","LakeSediment","pollen","pollen","pollen",0,9437,9437,267,274.5,"summer+","T","Temp12k","positive",11.606,11.4,12.648,12.934,NA,2824,3616
"205","CottonwoodPassPond.Fall.1997","M2Lse70i8puP",-106.41,38.83,"WNA","LakeSediment","pollen","pollen","pollen",0,9437,9437,267,274.5,"winter+","T","Temp12k","positive",-11.297,-10.971,-9.857,-9.637,NA,7894,617
