Tsid,Variable,NewValue
OLS_RRO1Ic9Qv3B,pub2_doi,10.2172/5609291
OLS_R4y0PIxteRT,pub1_doi,"Batchelder, G.H., 1978, Personal communication."
OLS_RajLAejX7H1,pub1_doi,"Chamard, Ph.C., 1973. Monographie d'une sebkha continentale du sud-ouest saharien : la sebkha de Chemchane (Adrar deMauritanie). Bulletin de l'Institut francaisd'Afrique noire, Senegal 35A : 207-243."
OLS_RmpO87FXnN9,pub1_doi,"Faure, H., E. Manguin and R. Nydal, 1963.Formations lacustres du Quaternaire superieur duNiger oriental : diatomites et ages absolus.Bulletin du Bureau de Recherches geologiques etminieres, Paris 3 : 41-63."
OLS_RcDGJfqpBeC,pub1_doi,"Fontes, J-C., C. Moussie, P. Pouchan and M. Weidmann, 1973.  Phases humides au Pleistocene superieur et al'Holocene dans le sud de l'Afar (T.F.A.I.).Comptes rendus hebdomadaires de l'Academie desSciences, Paris 277 : 1973-1976."
OLS_R4idEFGElHM,pub1_doi,"Gonzalez, M.A., 1981. Evidencias paleoclimaticas en la Salina delBebedero (San Luis). VIII Congreso GeologicoArgentino, Actas 3 : 411-438."
OLS_Rnp35KKbNIN,pub1_doi,"Hjelmroos-Ericsson, M., 1982.""Holocene Development of Lake Wielke Gacno Area,Northwestern Poland."" Ph.D. thesis, University of Lund, 101pp."
OLS_R91mklW7AkS,pub1_doi,"Melief, A.B.M., 1985. ""Late Quaternary paleoecology of the ParqueNacional Natural los Nevados (Cordillera Central), and Sumapaz (Cordillera Oriental) areas,Colombia."" In: The Quaternary of Colombia, volume 12, (T. van der Hammen, Ed.), 162pp."
OLS_RnNx75wT6Qd,pub1_doi,"Qi, H., B. Cai and J. Yu, 1981.The C-14 age and cycle of sedimentation of somesaline lakes in the Qinghai-Xizang Plateau. Kexue Tongbao 26 : 66-70."
OLS_RXfu7xAGzWB,pub1_doi,"Dury, G.H., 1973.  Paleohydrologic implications of some pluvial lakes in northwestern New South Wales, Australia.Bulletin of the Geological Society of America 84 : 3663-3676."
OLS_RgJGZeaw0md,pub1_doi,"Gasse, F., 1987.  Diatoms for reconstructing palaeoenvironments and palaeohydrology in tropical semi-arid zones:Example of some lakes from Niger since 12000 B.P. Hydrobiologia 154 : 127-163."
OLS_RnZixdO7vMV,pub1_doi,"Harrison, S.P., 1980. ""The Geomorphic History of Breadalbane Basin, New South Wales."" M.Sc. thesis, Macquarie University, N.S.W., 292pp."
OLS_R9bib9fXM0c,pub1_doi,"Dodson, J.R., 1979. Late Pleistocene vegetation and environments near Lake Bullenmerri, western Victoria. AustralianJournal of Ecology 4 :419-427."
OLS_RhSooYiv8NM,pub1_doi,"Delcourt, H.R., P.A. Delcourt and E.C. Spiker, 1983.  A 12,000 year record of forest history from Cahaba Pond, St. Clair County, Alabama. Ecology 64 : 874-  887."
OLS_Raj0ajWk8Z1,pub1_doi,"Servant, M. and S. Servant-Vildary, 1980.L'environnement quaternaire du bassin du Tchad. In : ""The Sahara and the Nile."" (M.A.J.Williams andH. Faure, Eds.), pp.133-162. Balkema, Rotterdam,607pp."
OLS_Rtetfy6NJzz,pub1_doi,"Schreiber, J.F., Jr., G.L. Pine, B.W. Pipkin, R.C.Robinson and J.C. Wilt, 1972.Sedimentologic studies in the Willcox Playa area, Cochise County, Arizona. In : ""Playa LakesSymposium."" (C.C. Reeves Jr., Ed.), pp.133-184. International Center for Arid and Semi-arid LandStudies (ICASALS) Publication 4. Lubbock, Texas."
OLS_RSzZCo2C7Xj,pub1_doi,"Winkler, M.G., 1985a.A 12,000-year history of vegetation and climate for Cape Cod, Massachusetts. Quaternary Research 23 : 301-312."
OLS_RphnQDokp38,pub1_doi,"Bottcher, U., P-J. Ergenzinger, S.H. Jaeckel and K.Kaiser, 1972. Quartare Seebildungen und ihre Mollusken Inhalteim Tibesti-Gebirge. Zeitschrift fur Geomorphologie 16 : 182-234."
OLS_RKoQn911SXJ,pub1_doi,"Delibrias, G., M.T. Guillier and J. Labeyrie, 1966.  Gif natural radiocarbon measurements II.Radiocarbon 8 : 92."
OLS_RTxbwsdvMwm,pub1_doi,"Callen, R.A., 1976.Tentative correlation of onshore and lacustrinestratigraphy, Lake Frome area. Bureau of Mines and Resources Journal of Australian Geology and Geophysics 1 : 248-250."
OLS_RSllKp5JECx,pub1_doi,"Barton, C.E. and H.A. Polach, 1980.14C ages and magnetic stratigraphy in threeAustralian maars. Radiocarbon 22 : 728-739."
