,Dataset,TSid,RecordLength,RecordMedianResolution,AgeControl_n,AgeControl_Gap,pvalue,rvalue,RMSEvalue,QC,MeasUncertaintyTSid
534,EntarnoyePeatExposure.Anderson.2002,lcRSJMynwxHs7e3gdao,11020,570,5,5260,0.032,0.56,93.86,FALSE,lcRSguImVb6PN9VzJEm
535,ErlongwanMaarLake.Liu.2008,lcRcz0jj377ixtBeRgX,11680,735,16,10900,0.071,0.84,128.55,FALSE,lcRz0pP2j0I2kiTZXfH
536,EsgrynBottom.Fyfe.2007,lcRfgXdmXHITc5APodL,4900,100,6,2880,0.943,0.16,242.61,FALSE,lcR8zX1hQxfxFaXDVad
537,EskaLake.author.1111,lcRvHjm0DUHDDiW17ev,2150,70,5,1650,0.338,0.2,53.42,FALSE,lcRSw23V7bBMdy7pvpY
538,EtangBouquin.JouffroyBapicot.2010,lcRLvJPQXGG4gQO8mQo,2970,60,4,1580,0.319,0.17,69.74,FALSE,lcRrASOTX3O58P0cq2D
539,EtangdelaGruere.RoosBarraclough.2002,lcR36x7GDEwL4ne7WqF,11060,60,28,1330,0.258,0.35,212.52,FALSE,lcRYn8tiqWlcOy5z23H
540,EtangdelaGruere.RoosBarraclough.2002,lcRKAXcETIHb9uLVSJq,2010,30,31,570,0.059,0.13,96.87,FALSE,lcRyb3OXXfssuxEh5wc
541,EtangdelaGruere.vanderKnaap.2000,lcRZ1sEMdQIIwK6nRwO,1970,80,16,590,0.349,0.11,150.56,FALSE,lcR9a4ziX28YFBgOQOC
542,EtangdeLuisselBex.Welten.1982,lcRph5M5us8XteTLHO2,5600,130,3,2780,0.97,0.41,196.01,FALSE,lcRWh7Nc4F8jKwPvNRs
543,EtangdyCorMontana.vanderKnaap.1997,lcRR7x41VDYDCPUJV8T,11950,140,7,2400,0.013,0.46,240.54,TRUE,lcRKYNOejJ3AmZ4krkl
544,Etangpaysan.Lespez.2005,lcRDavqCYDx8c4dj4b8,2190,80,2,1980,0.199,0.17,118.08,FALSE,lcRussWxPQmVQpg2yVQ
545,EtivlikLake.author.1111,lcRW1O5kMv1J00g8TpE,11520,640,2,4590,0.008,0.28,40.66,FALSE,lcR6DoeQXVm7kf3gxtf
546,ExchequerMeadow.Davis.1988,lcRHPvLgADWfuOUeQUI,11400,660,4,3460,0.118,0.39,159.59,FALSE,lcR0CD2xjz3nfFqfoKk
547,Exebridge.Fyfe.2003,lcRB6ER7EPjNM1XMHRz,5020,100,4,2390,0.541,0.22,175.81,FALSE,lcRhowCcWQzABbKzEaR
548,FallisonLake.author.1111,lcRcyVh7qv6pubC3K19,2220,95,5,4570,0.172,0.12,42.77,FALSE,lcRLma4llVuh7Rx2hhd
549,Fangeas.deBeaulieu.2003,lcRT1xdlAkya3V1d41B,5290,95,4,1730,0.584,0.18,126.86,FALSE,lcRybEaQRYNdzUmdaEK
550,FarewellLake.Hu.1996,lcRAa4RA7lImWSf9IXC,11660,220,5,2900,0.253,0.23,44.94,FALSE,lcRDy7HCda8GhSJOMvL
551,FawnLakeCAOntario.author.1111,lcRagcJWFl0WWGz8G0N,11940,440,3,4990,0.047,0.58,99.59,FALSE,lcRAHQ7DmD7KK1s4ofn
552,Felchowsee.Jahns.2000,lcRRBl4D2Fg9Zb4tvGP,5440,50,7,1020,0.672,0.2,108.77,FALSE,lcRvAW6dmdTe2uPrcqe
553,Felchowsee.Jahns.2000,lcRpbhIeSqLqRxKnBNF,6880,105,7,1940,0.092,0.23,104.03,TRUE,lcRk1LapLUVTtky3gZQ
554,FeldAlpHolzmatten.Lotter.2006,lcReVHbqwOiozCJeKTB,1280,140,3,1000,0.734,0.23,101.72,FALSE,lcRva0qK9Hn94XEGTli
555,Fengning.Xu.2004,lcR8CV2C0F60kNg9lh9,1880,90,3,1170,0.771,0.43,82.87,FALSE,lcRGoTqJAGxW4nSKDTR
556,FerndaleBog.Albert.1981,lcRrLlio3aL5SDhGpn3,4210,170,4,1560,0.809,0.41,72.86,FALSE,lcRGNHe8MXMp9VrNtYI
557,FerndaleBog.Albert.1981,lcRcYPMcg65oBVQQzSK,6470,70,0,6470,0.809,0.41,72.86,FALSE,lcRAOeqA1HbTLjjsEK2
558,FerryLake.Hotchkiss.2007,lcR2mxPHjOxXScNX3nj,2210,40,4,850,0.836,0.37,48.35,FALSE,lcR9ok0z5jfjY2asl3r
559,FerryLane.Waller.2012,lcRyD7D6FNNLSKlFwPh,1130,20,4,2490,0.008,0.24,106.3,FALSE,lcRpa9nNyCxjLmymbDX
560,Feuenried.Rosch.1985,lcRd60lUtPOw5KnELcw,11430,60,25,1250,0.273,0.38,178.41,FALSE,lcRZB7At15c3yrStyJH
561,FiddlersPond.White.1982,lcRkUaQGlXZJoCYASMd,7900,190,3,4800,0.228,0.19,82.56,FALSE,lcRHfYG2zXV7cWF4hEG
562,FireLake.author.1111,lcRMr96rO51umgZmd5w,8560,420,4,3480,0.452,0.4,59.3,FALSE,lcRFDKD2E8n6TwA2DbW
563,FishLake.Crawford.2012,lcRClnfhvKqLHXsPmqW,2940,55,33,1360,0.776,0.26,158.04,FALSE,lcRbBPEyqNNR1jHSSUx
564,FishLake.UmbanhowarJr.2004,lcRJ18iPQkBHFPvipiK,640,60,3,390,0.967,0.23,57.25,FALSE,lcR2tSQbTEMnmlPFSLD
565,FishLakeSc.UmbanhowarJr.2004,lcR6WkCSKYnidCRje8T,1820,80,4,880,0.72,0.4,67.79,FALSE,lcR0F9sNRBdYA3qrP3H
566,Fjallnas.Konigsson.1984,lcRKMyhrpTg64dbY3t9,5590,60,14,1390,0.948,0.32,143.34,FALSE,lcRKUoQOTMXojqp3zwL
567,Flaatevatn.Odland.1985,lcRHJxEUddZwa6QGEfo,10130,270,4,4160,0.041,0.45,141.6,FALSE,lcRJrG9D402LIEdjry7
568,FlajeKiefern.Jankovska.2007,lcRT2hxZCePsN5XtM5p,10830,335,4,8200,0.412,0.41,172,FALSE,lcRgPBLH4nfYPFBPzf8
569,FlambouroPieriamountains.Gerasimidis.1995,lcRQBgFzxm5sy1ESUCI,2320,170,2,1350,0.79,0.34,128.47,FALSE,lcRee6pVbV97WwmGrF0
570,FloatingIslandLake.Burkart.1976,lcRAin60z8bnEL2zISd,10560,110,4,4940,0.129,0.59,120.82,FALSE,lcRqcqbln4xOmcrIwXi
571,FloatingIslandLake.Burkart.1976,lcRaT3arkTpsnK8rO9v,12000,120,5,4940,0.278,0.58,127.13,FALSE,lcRBBlk5ykeKcHFIR1e
572,Flogeln.Behre.1986,lcRBoFHe9aAxglaujH1,9400,90,9,5270,0.057,0.43,229.68,FALSE,lcRGmW7N4Z5YaqvRVIg
573,FlogelnFischer.Behre.1994,lcRPlLbbsCUWmhiwN68,5250,60,5,1810,0.236,0.23,160.11,FALSE,lcRFds7B36BYxbn0GTF
574,FlorenceLake.Pellatt.2015,lcRfivh7HHXhLmavqEz,560,20,12,380,0.5,0.24,180.2,FALSE,lcR6ASowTgeG6Tof1Iv
575,Flotatjonn.Birks.2007,lcRBE0e58wcWLxk8z3s,10390,190,5,3360,0.56,0.24,85,FALSE,lcRZsvDpMgA5U3FY6Hz
576,FlycatcherBasin.Anderson.2008,lcRB24cD6ksGJegrZth,8100,160,5,4350,0.001,0.36,158.16,FALSE,lcRqLgbKOrdRF9ZmW30
577,FogLake.Frechette.2008,lcR6crtWHx81KZVHdmc,10350,560,8,3800,0.487,0.67,142.64,FALSE,lcR4ejbudqe9CnMFh9L
578,FontaineHenry.Lespez.2008,lcRIa4KPySvJ9oX3o7m,4850,60,4,1770,0.223,0.15,154.07,FALSE,lcR4xxrNzhBMqL647my
579,FontCarluze.Miras.2010,lcRJ5TBwJoHMUIvG9oH,2330,120,3,1050,0.548,0.14,93.1,FALSE,lcRwrgMOcEbHNbKkYOk
580,FontSalesse.deBeaulieu.1969,lcRLWFe0Ba2JXqVryfI,580,30,2,1500,0.753,0.11,103.53,FALSE,lcRIaFaGRzySE36ArIu
581,ForestPond1.Lynch.1995,lcRXPh9MOfPVOAPuiv3,9730,340,5,4910,0.004,0.16,76.75,FALSE,lcRP1pgFB8cqLfUOhge
582,ForestPond2.Lynch.1995,lcR3ODdocopol2ZskCN,9800,380,4,5770,0.428,0.14,72.35,FALSE,lcR1HxJwkKERRQbHTjD
583,FortBraggcorePAW2.Goman.2004,lcRblev1v2syMyQkvow,11620,425,4,4220,0.129,0.51,151.31,FALSE,lcR2SN5w0kWZEt6hWWk
584,Fougeres.CletPellerin.1993,lcROIsAKWr8jwevYO4f,980,30,3,500,0.888,0.21,101.06,FALSE,lcRxpXrkV1wmi8bPsxA
585,Foula.Shotyk.1996,lcRj2gaTq99UyBJJfio,760,20,4,470,0.465,0.15,258.61,FALSE,lcRawHEw6MLRDvPO4s6
586,FoundLake.McAndrews.1981,lcRSMVjlC246WXbuLnK,11940,180,7,2860,0.008,0.64,106.74,TRUE,lcROUBKvJlAtxwsmXlK
587,FoxLake.Commerford.2016,lcRidhCvbdsyY9vj5HJ,9330,100,5,3840,0.043,0.57,63.33,FALSE,lcR8mFSL9tIGAdfxalC
588,Foyechi.Tong.1996,lcRRAApU2GIgGK3o4sg,940,40,2,4510,0.305,0.66,71.4,FALSE,lcRtDqYz1QQ5IZJgfw4
589,FoyLake.Power.2006,lcRv2LOUzVUadfcmNhw,11990,110,16,3160,0.123,0.49,154.46,FALSE,lcRb5RrX9egIAcK3utc
590,FracasLake.Weng.1999,lcRHJU4boJ4ZFI7oOFz,11700,400,4,4760,0.702,0.41,130.74,FALSE,lcRLGQuYqgXD2OJmuVW
591,FrainsLake.Kerfoot.1974,lcRLMklxnJQxiDndH6D,11840,440,8,3630,0.104,0.66,105.61,FALSE,lcRNDHAdid7LiRJyMCe
592,FranzSennHutte.Weirich.1980,lcRfiPAoewdpPqIjUV0,11170,135,3,4470,0.958,0.15,139.45,FALSE,lcRnazh7mqxDN18qqil
593,Frechencourt.vanZeist.1980,lcRKKBJ6j334zCND9v4,4740,90,3,2010,0.012,0.21,72.16,TRUE,lcRn59xhsPaN637DzDw
594,FrenchLake.Grimm.1983,lcRBTzod50VvVHUKlPv,3960,90,4,1810,0.001,0.38,61.74,FALSE,lcRwEODx0l1HKjA7CMf
595,Frengstadsetra.Paus.1987,lcRg6rvwU2Kf62dsnwa,8910,285,4,3450,0.037,0.41,126.43,FALSE,lcRKqGNhEVdmkXLrTry
596,FreshPond.Dunwiddie.1990,lcR66Bdxcs184GthqYp,11640,220,4,4030,0.36,0.55,121.69,FALSE,lcRh6hxm32cbePxT1am
597,FreshPond.Parshall.2002,lcRH8gTMu3DyeQBGVzB,2320,30,12,570,0.837,0.14,60.65,FALSE,lcR4y59bYKYvCYWQXCH
598,FryingPanLake.Shafer.1989,lcRj9K0WEwtrdq0K1sq,10230,385,5,3390,0.123,0.16,70.83,FALSE,lcRRn2SfqVANqR5VITt
599,Fuchsschwanzmoos.Krisai.1991,lcRArEK7GlBJNGpAHFB,11310,300,4,6250,0.699,0.33,200.72,FALSE,lcR3CObDAylKqkfEW6c
600,FulderaPaluLunga.Stahli.2006,lcR8KLsKDwzaC3wwBmU,5970,150,3,3820,0.511,0.38,229.89,FALSE,lcR9IS5H8gkcQkJuLKT
601,FullerLake.UmbanhowarJr.2004,lcRgHmz1NISwJW91DJX,1740,80,3,1070,0.794,0.3,51.7,FALSE,lcRg6VRzAPU8UUcwDce
602,FurnivalLake.author.1111,lcRz2y1SQED2XldE1lG,10530,270,2,6780,0.009,0.61,84.3,FALSE,lcRt7ttHxkRtqb2pGNH
603,Fuschlsee.Voigt.1996,lcRuMBn0kLApy7KCbY9,11790,70,18,1240,0.509,0.35,185.44,FALSE,lcRrdAscgACt3IBHdpv
604,Gagra.Kvavadze.1989,lcR3Z9UmXW1qZ3VHG2x,11520,170,4,4770,0.357,0.38,69.94,FALSE,lcRV1vfOJhTaBVgJwdI
605,Gaienhofen.Rosch.1988,lcR2TYhk2e0xzURZDIF,4560,60,6,3700,0.896,0.3,176.59,FALSE,lcRfggeDYPYQT5YLsIU
606,GallanechBeg.Davies.1997,lcRQz7vdye6CXMQO3SI,11930,80,13,2550,0.002,0.25,184.48,TRUE,lcRNVqNlGhDmke2b6Ax
607,Gammelheimenvatnet.Bjune.2009,lcRt2EATilwwF1o37fy,10210,110,8,1880,0.583,0.41,157.22,FALSE,lcRWa9iup2cY7yAzQXK
608,Gamperfin.Fah.1986,lcRT8GpIYw8qXTFF8c0,11750,170,10,2170,0.145,0.3,239.13,FALSE,lcR2XVuvjGoKJ4RWKgM
609,Ganlanba.Xu.1998,lcRIraUlxIoVhKPFIvL,7950,360,1,11420,0.561,0.49,180.5,FALSE,lcRBq7kKqybsRCb7YSq
610,GansemoosSchwarzenburg.vanderKnaap.1997,lcRRIfPqcGIdVwf8Vfy,10820,225,9,3220,0.134,0.47,237.07,FALSE,lcRnnsONOTnqxFJFyuk
611,Gantang.Yue.2012,lcR72SOf0NTH5WjiF2o,11950,90,0,11950,0.373,0.58,203.89,FALSE,lcR4sPfDI4ruL2OvbCK
612,Gaoximage.Li.2003,lcRORzLpE9dt6Y9MwLV,5880,130,4,2260,0.355,0.71,106.23,FALSE,lcRNz1zJ2RVkvR43y8T
613,GassLake.Webb.1983,lcRTb5zMDr6Wnt7Uuv7,11900,270,5,4020,0.058,0.56,79.43,FALSE,lcRge6rrikyljujdjyc
614,GekLake.Anderson.2002,lcRNQSiXhPQa10c87Xc,9530,280,5,3770,0.007,0.26,20.66,FALSE,lcRURUio84vz3v9SKcY
615,Gelmyazevskoye.Artyushenko.1982,lcR1Kfh66fBD8HksIFw,11660,680,7,2740,0.002,0.35,55.59,FALSE,lcRK3UgM5wjy9Ahb1xi
616,GemLake.Calder.2016,lcR8BM3uGw3UDeBmJN7,1400,70,4,590,0.093,0.36,105.25,FALSE,lcRQdrQNNl8wp5uArbf
617,GeorgenfelderHochmoor.Stebich.1997,lcRavwuhCC2OU0GvQUm,3070,80,10,920,0.362,0.12,156.97,FALSE,lcRBiXEYuByXKUOiQVu
618,Gerlos.Bortenschlager.1984,lcR0c6p5AIWxCSHHlEs,11800,195,7,7440,0.826,0.37,199.85,FALSE,lcRdf4Y7WDgSuxe0OFV
619,GerryLake.Gavin.2009,lcRg0FX7kDsVlxAdcdh,11140,125,10,1940,0.003,0.57,195.26,TRUE,lcRVclDAvd77e4mGZim
620,GiannitsaB.Bottema.1974,lcRpdQjezIpHG0Fb8x9,1630,40,2,610,0.579,0.26,91.32,FALSE,lcRJpiSj1uHmmCmop6H
621,Giecz.Milecka.1991,lcR6s4J7zkw265pZ3NX,8860,140,4,4590,0.258,0.29,94.61,FALSE,lcRHxWVUoG7FusguEww
622,Giles.Russell.1993,lcR8KTkeiEEYnj1CgCi,360,20,13,150,0.42,0.17,65.19,FALSE,lcRdpHWvNnFiFnu8e4X
623,GladkoyeBog.Anderson.2002,lcRTqdPXHtWaFMq3hMc,11040,165,12,2050,0.001,0.55,80.78,TRUE,lcRp6uJKHaQ4OsRfGEv
624,GlaisinnaMarbh.OSullivan.1991,lcRomOBSY77ddLLBxdb,11430,310,5,3870,0.688,0.24,185.93,FALSE,lcRb8Va0KXr3ivk1H5F
625,GlendaloughValley.author.1111,lcRMkoD5Tw4eHGZCVC8,12010,60,7,5220,0.122,0.31,228.27,FALSE,lcRtT38vP9eG8NcQykn
626,GlendaloughValley.Haslett.2006,lcRUoyIIBBWEX8eFUro,12010,60,7,5220,0.139,0.31,228.27,FALSE,lcRtZtZeTp7eFryauX5
627,Glenmire.Anderson.2013,lcRfUnv3cHvF1JlMHUH,9420,120,11,3320,0.103,0.6,279.93,FALSE,lcRqVrocP3weBQAd1Ld
628,GlenWest.Plunkett.2009,lcRECcJLBB2WwL6cU17,820,20,8,1470,0.461,0.08,88.35,FALSE,lcR1oVbL3iQ4TOoS9P5
629,GlimmerglassLake.Brugam.2004,lcRG4cLvVMSrMfa0BEt,11260,330,6,3360,0.531,0.42,65,FALSE,lcRVtfSe4Fg6ldEtc3P
630,GoatLake.Anderson.2017,lcRQ9mDBHfr9XBLQbUd,9150,140,12,1330,0.019,0.6,149.76,TRUE,lcReKa8NYBDhxvNG1zc
631,GoldCreekLake.Calder.2016,lcRVBIySmqtyBVtc2Xh,2060,60,7,910,0.049,0.46,116.31,FALSE,lcR7pnSzVXAMfzvXKet
632,GoldLakeBog.Sea.1995,lcRCpWcQWTKvHitVnoS,11160,390,6,4450,0.018,0.65,191.87,FALSE,lcRnBJ9VVG3lLwhV6S7
633,GoluboyeLake.Anderson.2002,lcReFmmRzICKioRG2cZ,11580,220,9,2770,0.837,0.12,35.06,FALSE,lcR8v2YlJEmZS457yNs
634,Gomishan.Leroy.2013,lcRfkhpLwl5zDhzsObe,10820,150,9,3970,0.015,0.45,97.77,TRUE,lcRfIakWwA8slVBNj8O
635,GondoAlpjen.vanderKnaap.1997,lcR5QmIMiQzW9SN98VE,6560,160,5,1930,0.376,0.21,98.15,FALSE,lcRFMeze8FwUAbg01QP
636,GooseBayMarsh.Rippke.2010,lcRlao41kuFDZ74153k,8210,80,10,1860,0.062,0.6,102,TRUE,lcRUcceaIZziy6CkAQY
637,GorgoBasso.Calo.2012,lcRX0NeJxeDanUjpmvb,10690,100,11,2250,0.708,0.33,88.13,FALSE,lcRMzwUvHcbOByk3pOG
638,GorgoBasso.Tinner.2009,lcRAXTk4ZkMtc1knDXG,10700,100,10,2250,0.763,0.33,88.13,FALSE,lcR0rqIk5ZuoSoiDHRe
639,GorgoLungo.Tinner.2016,lcRNphrKUnQXRvg6Zlk,3740,50,3,2070,0.997,0.32,111.74,FALSE,lcR8lr89pam4z9fgksW
640,GorgoTondo.Tinner.2016,lcR8XtDaeXDnluq77SM,5210,80,5,1840,0.517,0.34,102.61,FALSE,lcRPUIHOxXuxkcyvPM7
641,GorsFawrBog.Fyfe.2007,lcRpcEPojCzX6qfHA8t,5540,80,6,1910,0.354,0.24,181.77,FALSE,lcR8s3QHil0Y3OAFl27
642,GoshenSprings.Delcourt.1980,lcRPHt8fRuk7QBLJ0Wo,11800,570,3,5160,0.38,0.59,139.68,FALSE,lcRWKvRhMn9hXRVekHx
643,Gotnavolok.Elina.1981,lcRMOMfeYFQ8FBKazwu,12010,170,3,6850,0.005,0.39,84.04,FALSE,lcRwH62xZS6RdeZvsbR
644,GouilleLoere.Tinner.2003,lcROdrTVdvVTcFB6EfL,11190,310,5,4400,0.202,0.32,190.98,FALSE,lcRcSM8ZgYFJcId3lxg
645,GouldPond.JacobsonJr.1987,lcRpmbA744mctx0iYnT,11990,130,7,2630,0.008,0.58,121.38,TRUE,lcRZfRe1BZihouS7pMV
646,GourteMires.Fyfe.2003,lcRPLapnDV2efwo6TjM,4300,90,4,1630,0.193,0.32,128.16,FALSE,lcR9TgDp19qjJzsdrXQ
647,GrachenSee.vanderKnaap.1997,lcRQNnJ7W7IKng8MaOe,9280,100,9,1620,0.039,0.21,213.5,TRUE,lcRAp4dYLv0HKTeQqtu
648,GrachenSee.Welten.1982,lcRlRC6LpYTBsgJLC8a,7440,170,5,2730,0.75,0.21,184.75,FALSE,lcRQmOrs6x9v7HS1Zk4
649,Gradenmoos.Krisai.2006,lcRRLo2gcOhgDNwkEGC,2500,100,3,1330,0.381,0.29,137.42,FALSE,lcRwYJL7REAbduufZQj
650,GrahamLake.Fuller.1995,lcRCyUpvGwoKyOEvQkq,11870,40,6,2420,0.013,0.63,107.1,TRUE,lcRzw9x5n3QqPKvGG3Y
651,GrandeBriere.Visset.1979,lcRmOmrZ1GmmblFM6W3,6070,130,8,1920,0.022,0.49,254.06,TRUE,lcR53ZpNdfDXftXzc0a
652,GrandfatherLake.Hu.1995,lcRrVpuR40zFODyDl6g,12010,400,5,3180,0.008,0.21,48.63,FALSE,lcRxZTIVDJ7b6bjciJI
653,GrandMez.McGhee.1975,lcRxpfJdiveK5ycIbFS,950,50,2,500,0.486,0.15,101.32,FALSE,lcRjDCEOwfVs2IoINa7
654,GrandRapids.Ritchie.1975,lcRFQId9atYy70spfCC,8360,315,3,4260,0.61,0.47,107.92,FALSE,lcRizyS0src3zeV1WmX
655,GrandRatzlePellet.Clerc.1988,lcRCwUKKwld2ed16mDx,11710,100,5,6980,0.349,0.46,245.8,FALSE,lcRcxFqgjCjUxhUGqCO
656,GrantsBog.Lacourse.2019,lcR811cfIlc7gPTWct5,12000,130,7,2870,0.005,0.66,349.97,TRUE,lcReLxmvGbzhBFSc6Mg
657,GrassLake.Hakala.2004,lcRSYd7jAJdCGV6i3q1,11440,535,1,7110,0.096,0.33,131.25,FALSE,lcRpVNsA8rWdTyBWWEQ
658,GrassyLake.Edlund.1996,lcRx9GTqcS9mVfmj5oM,11840,495,4,5040,0.066,0.35,133.83,FALSE,lcRjpcxXwqfdfC5ZmyH
659,Grasvatn.Moe.1996,lcRaZI95pzisAqfMKRi,11740,250,7,3110,0.023,0.5,177.41,TRUE,lcRPlyklyz2hsNDTn9T
660,Grauthelleren.Birks.2007,lcRnIpyPbn3NeTPahIe,10200,140,9,2090,0.103,0.34,85.35,FALSE,lcRTsh6Q6T0uzXDEwlx
661,GravelRidge.Lamb.1982,lcRnC4O4I5ZMm79y1YV,7620,130,9,2030,0.206,0.6,105.31,FALSE,lcR9aufFY5uMXuVaLIE
662,GraysLake.Beiswenger.1987,lcR89DqINtE3c8u2oBa,10810,220,5,2870,0.006,0.51,113.97,TRUE,lcR6OmCRl9vDSKuWFXN
663,GraysLake.Beiswenger.1987,lcRGJ1lqKWfMC8k7w8B,6690,750,2,2850,0.44,0.61,181.51,FALSE,lcRxyXApfltTwN7LcYk
664,GreatSwampHighbushBlueberry.Momsen.2007,lcRudHpUIOdcQkUl8z7,2930,320,1,2360,0.103,0.52,101.4,FALSE,lcRu4tUrsRgtOZIwWUt
665,GreenLake.Lawrenz.1975,lcROTcTOtXtKmJr2H4d,11450,290,1,8590,0.011,0.72,115.78,FALSE,lcRZTj35rKP1XqfHjii
666,GreenPond.Fuller.1998,lcRVLMt6DubGouYp4zH,2440,40,4,930,0.704,0.21,68.07,FALSE,lcR9wR0rUZwyH6Gytez
667,GreenPond.Oswald.2018,lcRlIFSoNLXL1ihzLew,12020,455,6,4460,0.09,0.36,78.97,FALSE,lcRpyV1J1ZYwMH3DDcX
668,GreicheralpRiederalp.vanderKnaap.1997,lcRako3Wf6JIQPGAlpe,6840,90,5,3810,0.077,0.25,116.56,FALSE,lcRbhsBl4zyKWE3uXM6
669,GrenadierPond.McCarthy.1986,lcR93osNCzTNl0WKIer,4730,60,7,1510,0.404,0.52,86.74,FALSE,lcRr9SAJvFSTr91FIQC
670,GreyIslands.Evans.2002,lcRquihWeSVoCRQXYyT,11420,130,6,3200,0.017,0.59,157.91,TRUE,lcRKjvyBDOPAwayAqwM
671,GrosserKrebssee.Jahns.1999,lcRCOiuJmrTNYijSm8z,6870,20,13,1530,0.083,0.35,130.61,TRUE,lcR8iz7Hs12wgkzX9PW
672,GrosserKrebssee.Jahns.1999,lcRabb4phk9C2IJ0xj0,4480,30,5,1060,0.379,0.32,84.43,FALSE,lcRum07SPtV6pVPpixo
673,GrosserTreppelsee.Giesecke.2001,lcRXL5O17jqvsKieqDr,12010,70,6,4720,0.035,0.2,108.39,FALSE,lcRJbpcPL3eSCgnP9jR
674,GrossesUberlingSchattseitMoor.Krisai.1991,lcRbP21VKpEZhN5pBWZ,11800,245,4,3900,0.071,0.47,237.7,FALSE,lcRePx9lEnrq6rMhorX
675,GrossesUberlingSchattseitMoor.Krisai.1991,lcR84yIlO8vBGSSfdPY,11890,240,4,3900,0.073,0.47,237.7,FALSE,lcRfYxkjt7QdZakJaGx
676,GrossvillarsAlterSee.Rosch.2005,lcR8ril0WSYCTczqxWk,2310,80,3,1600,0.261,0.25,137.06,FALSE,lcR0d55juuj24baSI9l
677,GrossvillarsAlterSee.Rosch.2005,lcRf38F5E2QzlzI9cHR,4040,60,5,1070,0.849,0.45,262.72,FALSE,lcRiIY72mHajU7UpSX8
678,Grostjorna.Birks.2007,lcRaRxSb7BTrEFU4t9I,12040,130,7,3330,0.264,0.24,83.94,FALSE,lcR4uKxAsV3tbEOFHWD
679,Grozon.Gauthier.2001,lcROQ0SjXBxF8UCeJFx,2680,60,5,1060,0.833,0.32,129.93,FALSE,lcRdPVor3vph0XvEeAM
680,GrunseeReschenscheideck.Welten.1982,lcRwgzqYJma2qK5YhN2,12010,200,4,4310,0.026,0.35,193.15,FALSE,lcRZqdFYKiDHYjBxGz3
681,GS05.Leroy.2013,lcR15eFDANZmXjECXS0,7690,340,10,2220,0.401,0.54,96.71,FALSE,lcRSQdwXDTPOSiqQWJ5
682,GS18.Leroy.2014,lcRanDbxuCPaEILH7oR,9520,100,4,5400,0.49,0.52,97.93,FALSE,lcRabglsmzBrZCreQ6U
683,Guangrunpo1.Zhang.2007,lcRrZp947LQlou6Ija1,7080,180,5,2800,0.338,0.44,77.02,FALSE,lcRxwvvUnKy7FATxOSl
684,Guangtangtou.Han.2000,lcRbhr8EAkI4c8lQvh1,1170,110,1,1280,0.098,0.52,79.61,FALSE,lcReCOLt7ZxCF4cJL03
685,GuilderPond.Oswald.2018,lcRfeN3uSiWXxxPnLKg,11540,270,9,3300,0.235,0.31,93.33,FALSE,lcRhGMYWdLMd0wvBC7S
686,GulfofKosmodemyanskaya2Exposure5705.Korotky.1994,lcRFktlqp076c5asg05,7640,200,3,4960,0.908,0.23,67.49,FALSE,lcRUbERCMpavdzVzNmB
687,GulfofKosmodemyanskaya3Exposure5815.Anderson.2002,lcRRazVBixeCgUtw2K3,2660,230,3,1260,0.248,0.45,79.36,FALSE,lcRBK7SLsIsvLC8S3zh
688,GunNur.Tarasov.1996,lcR0jcmBsGD3GgSUT6a,11170,240,7,5280,0.454,0.13,48.33,FALSE,lcR3uWJESzciG2Lb8tX
689,GunNurLake.Gunin.1999,lcRFBN1F4dkCXjHwG2o,10960,200,7,3380,0.64,0.13,44.55,FALSE,lcRa1JwMOLKjkFvWvy7
690,Gur.Mokhova.2009,lcRGzeoFV49AbtHJxKb,11910,190,9,2880,0.081,0.73,100.21,TRUE,lcREJkSxTxWUmJ7Df7Z
691,GurskiiPeatSite4381.Anderson.2002,lcRQJ7kUSo5ER9Rh6IK,11580,440,5,2660,0.019,0.73,102.76,FALSE,lcRpUS34jf86tWjI4Lw
692,GytgykaiLake.Anderson.2002,lcRy7IhuBaQ6uF11NxS,4990,120,2,2410,0.065,0.39,70.21,TRUE,lcRgUbFT3L1PJ5Ckfa7
693,Hachihama.Miyoshi.1994,lcR4HDzWOXsLQG4JQc4,0,0,1,11900,0.767,0.74,242.81,FALSE,lcRieSiIx2AP2rTI4tu
694,HachimanNuma.Morita.1985,lcRT96T0a5fz9bHV6Ej,6100,310,3,3950,0.534,0.19,120.18,FALSE,lcRXYBtMm8qnl2tbPIg
695,HackPond.Stuiver.1969,lcRDmogHUFn5HcuM4QQ,11930,520,1,10890,0.092,0.52,96.88,FALSE,lcRrpQsIknKReTO9bcR
696,Hailaer.Xia.1993,lcRJNQDWKHtUA3cNle0,6800,360,3,2940,0.726,0.18,52.73,FALSE,lcRouhPtX2YRZWzPIto
697,HailLake.Cwynar.1995,lcRzxniarU5TTRDhKkh,11770,120,8,2990,0.001,0.5,119.98,TRUE,lcRd5RziyvzVhUdrZ3H
698,HaircutLake.Edwards.2015,lcRjEweSTJryZAYGb1l,7370,290,6,2370,0.014,0.52,73.91,TRUE,lcRrbtwWCaP1rjk5kXZ
699,HakullsMosse.Berglund.1986,lcR0UCJvAuTwWJNvs1j,1610,70,4,800,0.741,0.25,132.91,FALSE,lcRwKzygp5RvzkYSDG5
