,Dataset,TSid,RecordLength,RecordMedianResolution,AgeControl_n,AgeControl_Gap,pvalue,rvalue,RMSEvalue,QC,MeasUncertaintyTSid
24,AlbiFlue.Appleby.1998,lcR24h77f7jOlGo9D2e,160,0,22,50,0.288,0.2,104.29,FALSE,lcRL1ds1eYNjcZeH1mg
25,AlbuferaAlcudia.Burjachs.1994,lcRMQn1S9rMkenPhYVh,8070,60,4,4640,0.572,0.38,121.53,FALSE,lcRPexw2IFNYBSw4yGW
26,Aletschwald.vanderKnaap.1997,lcRfK4nY7u3H7zUKDIS,10700,180,8,2130,0.7,0.26,156.95,FALSE,lcRbOuEWuAWvjqPJqhr
27,Aletschwald.vanderKnaap.2000,lcRiYRjgoNGWbLRAWNk,140,0,31,10,0.519,0.16,150.66,FALSE,lcRGYq9qb16PeadIeEV
28,Aletschwald.Welten.1982,lcR7cb0MDC7eVwX0ysn,7630,80,4,4210,0.428,0.32,179.18,FALSE,lcRgcmOiQl9J1DqaK52
29,AlexanderLake.Jordan.1975,lcRXvyenKCV9Cfl6pps,3130,110,4,2230,0.283,0.53,172.41,FALSE,lcRLBQF9VerfTFhOkwi
30,Algendar.Yll.1995,lcRSYySdh5KlDXH8SZO,6490,40,5,2640,0.602,0.29,174.73,FALSE,lcROdQrDew4ckW27s9E
31,AlltnaFeitheSheilich.Birks.1975,lcRxxwROTIIyPKgqnDd,12030,220,2,5120,0.579,0.38,255.85,FALSE,lcRE9NHLryzHLQwQGdC
32,AlmenaradeAdaja.LopezMerino.2009,lcR8swRDTc6rwZ5x1TS,2930,110,2,1480,0.89,0.35,107.12,FALSE,lcRxrZoXyKaOh6SiPlv
33,AlpidiRobieiValBavona.vanderKnaap.1997,lcRcrOAeCGKlpw7dDWb,10560,180,7,3620,0.555,0.28,163.26,FALSE,lcRpftuLF4qYerLwlGl
34,AlpidiRobieiValBavona.vanderKnaap.1997,lcRFvM8H6kSGBg3XxqT,8150,190,2,3880,0.151,0.33,194.44,FALSE,lcRdbVwyszf0BhsbkkQ
35,AlpidiRobieiValBavona.vanderKnaap.1997,lcRY9uRWnnv8rQFl6q6,11750,280,2,6240,0.768,0.17,154.62,FALSE,lcRxAJdfC042qjThkW2
36,AlpLusgaBelalp1.vanderKnaap.1997,lcR2SXIdl9wohfxxdbD,7700,295,4,2920,0.086,0.13,97.72,TRUE,lcRkNkoDre3lrlVJa0Z
37,AlpLusgaBelalp2.Welten.1982,lcRVGH15kBkzmev32Mb,8180,270,4,3520,0.094,0.22,99.63,FALSE,lcR4dMgfN4pnZhUejJU
38,Alsa.Mariscal.1993,lcRz8vFDD4x8NcGJF5G,4610,160,3,2670,0.777,0.24,146.99,FALSE,lcR7AOgrLQgh5uv3qrk
39,Alsopahok.Zatyko.2007,lcR0HYB8rX1KYAF7wl8,11900,40,3,7650,0.441,0.31,143.88,FALSE,lcRDL41iFb6OahmOTDh
40,AltarLough.Fossitt.1994,lcRLN1ygzEuDOiulFpE,12030,180,4,3060,0.503,0.36,240.8,FALSE,lcRoz2irZWynKkbRGko
41,Altenweiher.deValk.1981,lcRV4zHbAVsbrfqSJOL,11880,110,8,2190,0.127,0.47,239.45,FALSE,lcRqhy3k3aB1BoU530r
42,AltesMoorWachel.Dorfler.1989,lcRRuqWrl79RFArE71y,9020,80,7,2440,0.232,0.39,178.63,FALSE,lcRSP7BGMzuTjiXr1H1
43,AlutLake.Anderson.2002,lcRDoKSlINMOkI1PqMf,11470,335,14,2630,0.059,0.26,54.97,TRUE,lcRnfGEUZfm5hqrDedh
44,AmberLake.UmbanhowarJr.2004,lcRfOrZkmY3XwjyWtYO,820,50,3,430,0.412,0.38,23.97,FALSE,lcRZ73wIwIbqp34Vkqf
