"time","CNA","EAS","ECA","ENA","ESAF","ESB","GIC","MED","NCA","NEAF","NEN","NES","NEU","NWN","NWS","NZ","RFE","SAH","SAM","SAS","SAU","SCA","SEA","SEAF","TIB","WCA","WCE","WNA","WSAF","WSB","EAN","SSA"
0,0.773171910839673,-1.69069443044955,-0.0538528921025114,0.77158535874294,1.78113776220132,-0.0199192857358551,1.46088465229786,0.606642898324736,2.13748349519904,-1.24668973241579,0.679685838175034,-0.698987570723884,1.40535944714811,-0.0295159346391743,0.955756985574551,1.36058935492676,-0.558523856098678,NA,0.538275310729365,-1.42033392490387,-0.85187790338421,-0.0277546168861637,0.654928285329898,-0.442311360377327,-0.920179315754078,0.216795654910609,0.730877480296656,1.2758588837158,0.0725745526245643,0.944857348790186,2.64439732908316,-0.310205669147652
100,0.428684338089159,-1.48933177033979,-0.0653399858476368,0.810887887040253,1.8163139264531,0.00291551571090781,0.942901240654266,1.22292797014671,1.08702542098357,-1.51603115401137,0.73557384398639,-0.484941086832865,1.49586429924157,-0.00343793739605381,0.945500716325818,2.72922940647423,-0.563934512425763,NA,0.256046621452012,-1.51726725686963,0.953471529076125,-0.417266790285147,0.222499946202691,-1.3139812082497,-1.16129361454453,0.219229050974395,0.719855365792473,1.49859196944098,0.290759956649049,0.650843584376188,-0.534793253406681,-0.365404673882077
200,0.733685543372349,-1.61047767157686,-0.483459750918325,0.888165344650014,1.15445009449997,-0.0192449342686677,0.59037696618292,0.838480582697708,-0.393454621786235,-1.43001182672767,0.62192067737351,-0.457935266730324,1.18321186481959,0.0094839380042774,1.24881908386901,1.35091526338639,-0.122604525048416,NA,0.216371456268429,-0.479681473946424,0.826081705134024,0.0112162633987026,-0.0149803727261238,-1.29767483433139,-1.10831427685415,0.01156148277706,0.918194077026101,1.04180305690879,0.611170298532716,0.701035520788722,-1.752587892318,-0.423021732686493
300,0.767377603960034,-1.390387524848,-0.382802661946416,0.911686157687567,1.36866750581686,0.103131421083554,0.387561924621477,1.16516394461161,-0.561526886445961,-1.47272587959673,0.620755935278424,-0.433581260298268,1.11435793572732,-0.0155295198495689,1.43571346616283,1.35073429312167,0.129423979055233,NA,0.477339010884512,-0.38812559342313,1.05999618398217,-0.321513141591898,-0.00620400177600595,-0.575621370715416,-1.12915193567972,-0.784786927555232,0.788290622264377,1.05763196681963,0.588071155963875,0.721938340175143,-1.35038856552457,-0.478771742056448
400,0.794294921127563,-1.27269216074795,-0.136976757902474,1.06109830703888,1.04203107802603,0.25596583433746,0.35656441094652,0.592076337571246,-0.552070755266493,-1.33587278906157,0.652764050344637,-0.472299676771293,0.758244412603353,-0.0532384876907011,1.48098243697773,1.40125415850586,0.0684382129555109,NA,0.606256669085169,-1.34477801969247,0.71091242699936,-0.0423388773661875,-0.212977775875118,-0.960970509799306,-1.27043832836607,-0.620164131561326,0.966898675087081,1.60616053110614,0.323039883557035,0.676844399253938,-0.485691351580847,-0.0959028383954542
500,0.903037656406813,-1.17333934143761,0.0924389349053043,1.04663545077012,1.78445631575334,-0.266191792599183,0.402928321892408,0.788405453384145,-0.408641286957123,-1.29206344869576,0.752663874712347,-0.497142381742034,0.681151809802221,-0.0961555249432333,1.40397498717564,0.98478506346995,0.190175331557599,-1.27461307215611,0.513336640422672,-0.739093411251453,-0.220689388302893,0.384347468206038,-0.0242608672153284,-0.948573537132771,-1.0005396569691,-0.0181654233345463,0.949149920931903,1.43219701440683,0.382477806999233,0.698057325046208,-0.748319705310681,-0.109203946990269
600,0.967560953564334,-1.13175817573736,0.786594750850925,1.0783513996138,0.692813814175596,-0.465644738334903,0.385476765428197,0.160552924995922,-0.298985487927593,-1.32662570153101,0.715702030545687,-0.459041756722296,0.748360750071159,-0.0653357505366813,1.10974534250432,0.120959142857366,0.212045236745065,-1.27461307215611,0.512072344588165,-0.382314912182474,-0.107938628146833,-0.212110854406256,-0.101453090118699,-1.79448581931719,-1.08606316887995,-0.273283425914329,0.936899671913365,1.43319051258881,0.583418555890673,0.685444294312653,-0.638022467901183,0.139013088075226
700,0.789395156037922,-1.4524957419444,0.284296251062713,1.06530271600871,0.99387108084931,-0.299722695967494,0.422630669751524,0.271187431387421,-0.300000362492369,-1.36179261696163,0.58383641053047,-0.475223917928029,0.701164315411796,-0.0981918130450776,1.21090041093224,0.114080633162324,-0.0816361927816658,-1.27461307215611,0.715881340515369,-0.405994717256619,0.217142326444052,-0.347993644553571,0.132484875784157,-1.6184244553043,-1.140425997639,-0.433964586037928,0.973662900914243,1.1416882098931,0.584561849598849,0.521067604409612,-1.99732766099803,-0.511839893881013
800,0.778162038648417,-1.37194222981242,-0.500060683639515,1.14545589986482,0.903301861132629,-0.657833001791988,0.38988777630379,0.12706298684312,-0.971607268963744,-1.37591389362154,0.690699631337832,-0.485091147145033,0.796572401980104,-0.074458915353722,1.16238407009238,1.07432130440652,-0.0576453501733249,-1.30024650939963,0.75060307435112,-0.146351795206156,0.260130293685957,-0.479959390007506,-0.0198050191364915,-1.70896099459015,-0.944842495431808,-0.303107086039741,0.885966377718731,1.68140619412311,0.458268933586483,0.572910894410582,-0.67483418994611,-0.611565803525976
900,0.540587932506927,-1.30017108730461,-0.189848734105296,1.21816553672945,1.02215581359358,-0.317053302710985,0.426407524749319,0.23484664935735,-1.42352583304802,-1.29593643566776,0.754961406785269,-0.515947913454233,0.740213591689261,-0.062950870160376,1.39045441077333,1.18819351596672,0.398302879173239,-1.2876895562144,0.568604326966099,-0.154599676093243,0.686090968994103,-0.994844479565302,-0.155982684497734,-1.7960569580383,-0.844588231263164,-0.481321566122685,0.897613187193841,1.0708750812779,0.4915296787524,0.837439899419039,-1.43648649439961,-0.769990423059288
