"time","CNA","EAS","ECA","ENA","ESAF","ESB","GIC","MED","NCA","NEAF","NEN","NES","NEU","NWN","NWS","NZ","SAH","SAM","SAS","SAU","SCA","SEA","SEAF","TIB","WCA","WCE","WNA","WSAF"
-100,NA,-2.93436473986192,-0.778673247233516,2.41606672508041,NA,NA,NA,-0.362729122533209,NA,NA,3.28071652521223,NA,0.65515694248236,0.439499078619767,-1.1450756023042,NA,NA,NA,NA,-1.15238557484444,-3.02815775276213,-1.58074948129258,NA,-0.0752540501958025,0.677809067617438,0.891212876347206,0.801589890355612,NA
0,0.58300015277486,-1.94827608949203,-0.385064419518592,1.62424615490335,0.231513523063327,-0.365054380236641,5.24104460493462,0.249277400796964,1.4663303288154,-1.92000958996136,-0.253411844418998,1.61229108982704,-0.060026308366399,-0.663846913041802,0.017459878126714,1.71400946026744,NA,0.169264728188211,1.60305120872654,-0.841409674040594,-0.614653040467617,-0.5796110723375,-0.213372836961544,-0.50828948891694,-0.226539972592372,0.27833757621707,0.999707005469418,1.28404578155376
100,0.615595045972765,-2.15569710773679,-0.467628305449595,1.44311785287522,-0.31587923207161,-0.40687326299103,3.06362747289441,0.0447017102369756,0.941933596763773,-1.94325394359569,-0.502372010433041,0.723164657921354,0.549296687922303,-0.250287602601657,-0.0565761417046942,2.87071717410361,NA,-0.0818527456539993,1.60305120872654,0.726667697379184,-0.760963361194182,-1.30980718062286,0.403745826255414,-0.7805735076297,-0.516382345186797,0.386886292266976,0.852874373897571,2.10245450563565
200,0.396703351731306,-1.85881014483171,-0.311078021112694,1.1155921178901,-0.804310064621101,-0.452541832818453,0.991926083186565,-0.0158515313361686,0.044580276638905,-1.61819856648375,-0.412198345113082,0.923334445158672,0.231856772939376,-0.199284315443313,0.55399282823946,1.43877780292953,NA,-0.453180555241921,0.758202205923568,0.641776227828082,-0.391573769460049,-1.43587120467886,0.933506424473208,-0.644479598122741,-0.60728123091725,1.01830599501715,0.542267728291898,1.97469444701199
300,0.605729265011284,-1.84447472784848,-0.552864087779029,0.937739059144787,-0.0834909590922053,-0.44683151067581,-0.379125662322886,0.448802863098648,0.10386508879706,-1.5153890865809,-0.435069133696144,-0.107497215096837,-0.0772533571056958,-0.178267525418197,0.728757100304688,1.49009021345937,NA,-0.0281461540050333,0.37357495954802,0.876493954014421,-0.782636438904281,-1.25783622313989,1.08522349588527,-0.347697859588641,-0.917588439817439,0.732279012577322,0.685416849819676,1.06876489365946
400,0.896905916901171,-1.79961811941359,-0.446125051187444,1.06632617193613,-0.342240557218559,-0.285562473736818,-0.269202779217095,0.22648521562745,0.111218654355519,-1.31403204704444,-0.37157599341738,0.00721400025827909,0.0200891060997241,-0.417102087366924,0.82843030307015,1.67236908343527,NA,-0.181419949300753,0.37357495954802,0.616888622059157,-0.444013813714193,-0.598736027465115,0.973640288053302,-0.33876644966327,-0.953693037613329,0.366573210576517,0.802358745519624,0.990231030381229
500,0.868451062544076,-1.4948832545719,-0.188444950077163,0.821048889128613,0.0518527873767538,-0.531505143415186,-0.126128430083812,0.0885770691970469,0.0499163415378179,-1.65362127200194,-0.422891240148575,-3.72093887102368,0.0178427310185445,-0.292356193174561,-0.0449754448340459,1.07012292098737,-1.45978036646642,0.364607297412626,-0.6130055811054,-0.311833972242836,-0.10328570838497,-0.646342636220893,0.290791037061041,-0.547017843563011,-0.630009345543818,0.584100266442698,0.716225311916174,0.63177194397699
600,1.01352070364653,-1.59644373196789,-0.0604096937144188,0.751380508017293,0.416904475994137,-0.667604618581289,-0.30253369985164,-0.253732753382466,0.0208645490869658,-1.68597278010713,-0.160462260230721,-0.0844846678217001,0.283606290380611,-0.248443316762428,0.303863234741296,0.221369417786155,-1.45978036646642,0.183564648371034,-1.30670401027254,-0.24362429903445,-0.561116673354325,-0.486642710351767,-1.1473975997378,-0.61477869372342,-0.445713773987131,0.365395662593989,0.639515096438877,0.612120499819251
700,1.39341903728667,-1.94953588888533,-0.163428912128689,0.619713646706565,-0.306195961509427,-0.688997237062452,0.0454485520819641,-0.322572373148219,-0.0986877066262759,-1.74924361912278,-0.134828959046329,-4.5830155697971,0.161024525177474,-0.143681956980038,0.621204645810494,0.525815621375631,-1.46378449793423,0.0348544172144238,-1.36830179927286,-0.00860695434490736,-0.887007220386909,-0.326938379942418,-0.710369197838613,-0.626776039925441,-0.601131167428548,0.449228425539786,0.412140623817476,1.01646547426301
800,0.852567321818211,-1.69757828600699,-0.635427166184725,0.592785250832044,-0.19081695914958,-0.856169401206896,-0.0925550555885794,-0.0581013978098747,-0.301246945186713,-1.70060383612526,-0.492580550771112,-4.65136530399018,-0.0330772231716331,-0.0463849935217626,0.480078871677014,1.33844985220972,-1.47980102380544,-0.196568683622766,-1.36830179927286,-0.0346317613475744,-0.705298712329621,-0.308008959002336,-0.786852583554154,-0.433850606856447,-0.505932901693704,0.347816386685459,0.645681740779751,0.68821041901865
900,0.760921737688108,-1.90811059483666,-0.645498767226545,0.712371884428958,0.0320784542576521,-0.65323419408468,-0.0406854773909471,0.0207235306228447,-0.386383302621017,-1.60383892237001,-0.440622727378995,-1.48878073506713,-0.00563910635657374,-0.137734328269649,0.810443339242426,1.36607922950148,-1.47980102380544,-0.20357420079219,-1.11030272018878,-0.0728189628370675,-0.856803714416355,-0.230297690169201,-1.2936605491674,-0.466969961793568,-0.262606581632622,0.295196957313753,0.193153856153033,0.491060887918304
1000,0.861288833657286,-1.6761639020022,-0.634670383577899,0.730296987050627,-0.0424382145276026,-0.50898539801862,0.144014636738091,-0.0820679634841083,0.747471792253977,-1.03667492081391,-0.271007877191438,-2.18697298780342,-0.0794132521497966,-0.279498369164258,1.1651237841087,0.881904450153117,-1.47480027562899,0.0276929416177189,-0.0827022246560997,0.135629368770096,-0.327620355009988,-0.22665415199538,-1.12302071568649,-1.06349620878562,-0.842326324431914,0.400725554084372,0.448710871150056,0.517527599276325
