"time","CNA","EAS","ECA","ENA","ESAF","ESB","GIC","MED","NCA","NEAF","NEN","NES","NEU","NWN","NWS","NZ","SAH","SAM","SAS","SAU","SCA","SEA","SEAF","TIB","WCA","WCE","WNA","WSAF","EAN","SSA"
0,0.426909004974265,-2.08439178930304,-0.368375139635676,1.44079548646911,0.993588956807528,-0.37172449228279,4.77337788451761,0.322385863470824,1.4670766835271,-1.7251687225437,-0.188566165537205,-4.63007560747564,0.0887217062642304,-0.742534256980558,1.36524288158727,1.72067103877682,NA,1.28030050454384,-2.49029852023363,-0.847579080588543,-0.0725237170355015,-0.916163284853338,-0.347020201680751,-0.946142708559917,0.885484984473166,0.324614477024256,0.911851406594058,-0.232316109006553,2.51325180883754,0.38125968240306
100,0.478667182731947,-2.20070447646058,-0.446626624859547,1.28089765872236,1.04125405708675,-0.421777691901916,2.5607912331448,0.154026208273831,0.940795680886908,-1.75303445294979,-0.433770496763659,-3.67656189489934,0.680468836202124,-0.276906522255388,1.06966353048265,2.85639020852739,NA,0.743010283633569,-2.49029852023363,0.771493876688046,-0.398878816775619,-0.86552549443193,-0.961260904709159,-1.26627555560897,0.426333499152797,0.457592430787876,0.77175616156291,0.209627797067823,-0.527825570664294,0.208617217163099
200,0.271811148158889,-1.81234779153673,-0.273933514287969,0.956410453901536,0.556010239458617,-0.456236743535624,0.727721327764365,0.0789148434943075,0.0804223979852381,-1.44085669377408,-0.322245095421409,-3.86937484960318,0.360089911679995,-0.208472604273261,1.76563550949748,1.48035163608073,NA,0.657265690476196,-1.5768973204836,0.677636266911659,0.0211104206435151,-1.09448789217054,-1.16179383956167,-1.07320258815332,0.256064994035772,1.12359888332988,0.470533664544884,0.783800024461058,-1.59120708826433,0.145202350415181
300,0.47879311111876,-1.78934072653135,-0.524707663209599,0.785431833902927,0.820474319790659,-0.449210882537018,-0.713300223098881,0.491366294715553,0.110925041175901,-1.33785445771354,-0.38276461136764,-2.86079437631928,-0.0207258369499836,-0.184163866390577,2.11077833218659,1.54115618140219,NA,1.22067776415324,-1.20291186712319,0.978285035971976,-0.363420311189718,-0.8923770122503,-0.758460705236664,-0.896952402174551,-0.554698389403583,0.813375253066764,0.586803009188357,0.877255821730418,-1.24617067537256,0.00182368679620504
400,0.791860920535383,-1.76925103661321,-0.421517728073181,0.906218626074517,0.586242381407536,-0.30326215772885,-0.71892483675888,0.294836802869089,0.136168581790415,-1.1545663447434,-0.295570912978817,-2.98189777965422,0.135156561943873,-0.401607849425588,2.20831644626993,1.75607499697455,NA,1.40314309417546,-1.20291186712319,0.721343527894208,-0.180832493086482,-0.930430858799817,-0.988225231751113,-1.23268632197976,-0.172450910949478,0.423471015915911,0.704054017850191,0.236685830427934,-0.520659629870741,0.820157283216362
500,0.735356316779079,-1.49776932775485,-0.182983103190519,0.657914979451714,1.10557050619909,-0.538418931165926,-0.597958214128263,0.133075606834614,0.0633737778449368,-1.38797725120982,-0.366512779922375,-4.87636323466084,0.111747605105425,-0.285019480278139,1.42542583342572,1.14373959366624,-1.29131355430303,1.61476365093133,-1.14338269275368,-0.329222864270438,0.203512784607609,-0.607909332133631,-0.584471333021055,-0.982265201214723,0.341837197448573,0.642317820952388,0.609831809013526,0.423806576169408,-0.62885840096202,0.795891757787631
600,0.867385126297506,-1.60755574198754,-0.0519697744580131,0.596475123189736,0.370199437117732,-0.677007512494764,-0.815983255452951,-0.187470064356687,0.0269850709300721,-1.41993741130079,-0.102294595518804,-2.88443888198608,0.356198667572477,-0.221858363370611,1.10720521204013,0.297667615984183,-1.29131355430303,1.60562242168523,-0.525041321345515,-0.234172512004721,-0.206059551861929,-0.539902017196892,-2.27580096474046,-1.18985664639401,-0.0597659808150059,0.420834949371603,0.55720301855379,0.783434984863686,-0.572724658036744,1.1641979714585
700,1.26089835768073,-1.97548649368096,-0.16043175001407,0.463491750279996,0.470452508117458,-0.694726888424623,-0.50817748944573,-0.246524245802043,-0.0991235635944384,-1.48749435357533,-0.0965759202606658,-4.5650792885531,0.219317272846348,-0.118487862916102,1.30363424160727,0.575669753823827,-1.29463899109203,1.58076017560091,-0.473951529069334,0.0210471131120356,-0.557683770529406,-0.197858119939128,-1.8819859386452,-1.26008552772277,-0.26499597343474,0.516299604841746,0.313146502638706,0.796174202452379,-2.00239973348618,0.129990798523994
800,0.707530751919577,-1.69628730062937,-0.576284313890127,0.430684801245724,0.422843231213084,-0.853814775163432,-0.60206118708718,-0.00388137630129202,-0.314440367857573,-1.4428774111749,-0.42254042877226,-4.49003888450517,0.0154350718497622,-0.029380155930177,1.30105066160019,1.39699331163781,-1.30679474282281,1.707672671169,-0.473951529069334,0.0113049465649992,-0.385610346163656,-0.208620308462426,-1.97589736406689,-1.07389353458338,-0.0666455156226125,0.392943201308274,0.537369635908858,0.557416655179438,-0.459412730115915,-0.226151115370155
900,0.6395963042627,-1.87021491396802,-0.572654433495145,0.546446460210483,0.487104318579779,-0.662076301836767,-0.380381490317438,0.0773936400996715,-0.379792414532565,-1.33829648673456,-0.371278323365199,-2.84977734826907,0.0383710783764292,-0.117553561180772,1.31760790453132,1.41976936091472,-1.30679474282281,1.70467290090164,-0.693108361938107,-0.0388581677372545,-0.725294090735853,-0.514442541179357,-1.73740118364495,-1.32369120410763,0.13672440574331,0.356220976709049,0.0988211222839598,0.547261923768872,-1.23235235786969,-0.475248863041598
